工程项目合同管理台账-序号,工程项目合同管理台账-编号,工程项目合同管理台账-供应商,工程项目合同管理台账-签订日期,工程项目合同管理台账-合同金额,工程项目合同管理台账-已付款金额,工程项目合同管理台账-第一次付款,工程项目合同管理台账-第一次付款.1,工程项目合同管理台账-第一次付款.2,工程项目合同管理台账-第二次付款,工程项目合同管理台账-第二次付款.1,工程项目合同管理台账-第二次付款.2,工程项目合同管理台账-第三次付款,工程项目合同管理台账-第三次付款.1,工程项目合同管理台账-第三次付款.2,工程项目合同管理台账-质保金,工程项目合同管理台账-质保金.1,工程项目合同管理台账-质保金.2
序号,编号,供应商,签订日期, 合同金额 , 已付款金额 ,付款条件,比例,金额,付款条件,比例,金额,付款条件,比例,金额,比例,金额,质保期
1,BM8801,单位1,20**/10/01,32000.0,30400.0,签订后支付,50%,16000.0,货到甲方现场后,40%,12800.0,安装完毕，验收合格开增票,5%,1600.0,5%,1600.0,一年
3,BM8802,单位2,20**/10/02,478867.0,469289.66,签订后支付,20%,95773.4,货到现场过开具增票,40%,191546.8,安装完毕，验收合格开增票,38%,181969.46,2%,9577.34,6个月
4,BM8803,单位3,20**/10/03,303000.0,287850.0,签订后支付,30%,90900.0,完工50%以上，验收合格,30%,90900.0,工程竣工，验收合格,35%,106050.0,5%,15150.0,竣工验收合格之日起一年
6,BM8804,单位4,20**/10/04,440126.45,418120.13,进度50%验收合格,50%,220063.23,工程竣工，验收合格,45%,198056.9,,0%,-,5%,22006.32,竣工验收合格之日起一年
8,BM8805,单位5,20**/10/05,112658.44,107025.52,完成单体工程量50%,25%,28164.61,完成单体工程量80%,20%,22531.69,该单笔工程竣工，验收合格后,50%,56329.22,5%,5632.92,竣工验收合格之日起一年
10,BM8806,单位6,20**/10/06,7800.0,7800.0,签订后预付定金,30%,2340.0,安装完成，验收合格,70%,5460.0,,0%,-,,-,
12,BM8807,单位7,20**/10/08,131893.0,131893.0,货到验收合格后支付,100%,131893.0,,,-,,0%,-,,-,
13,BM8808,单位8,20**/10/09,292556.71,263301.04,合同签订10个工作日内,30%,87767.01,完成施工，验收合格,20%,58511.34,所有玻璃到场，验收合格，,40%,117022.68,10%,29255.67,竣工验收合格之日起一年
14,BM8809,单位9,20**/10/10,,-,,,-,,,-,,100%,-,,-,
15,BM8810,单位10,20**/10/11,560181.82,532172.73,工程竣工，验收合格,95%,532172.73,,,-,,0%,-,5%,28009.09,竣工验收合格之日起一年
16,BM8811,单位11,20**/10/12,117735.8,117735.8,,,-,,,-,,100%,117735.8,,,
17,BM8812,单位12,20**/10/13,183691.85,183691.85,,,-,,,-,,100%,183691.85,,,
18,BM8813,单位13,20**/10/14,2600000.0,2470000.0,项目开工10日前,30%,780000.0,隐蔽工程验收合格10个工作日,30%,780000.0,主题工程基本完工10个工作日内,35%,910000.0,5%,130000.0,一年
19,BM8814,单位14,20**/10/15,2080000.0,1976000.0,项目开工10日前,30%,624000.0,隐蔽工程验收合格10 个工作日内,30%,624000.0,主题工程基本完工10个工作日内,35%,728000.0,5%,104000.0,一年
20,BM8815,,,,,,,-,,,-,,,-,,-,
