公路工程监理企业资质复查企业名单-序号,Unnamed:1-企业名称,Unnamed:2-注册地,Unnamed:3-资质许可等级
1,北京港通路桥工程监理有限责任公司,北京,公路工程甲级
2,北京路桥通国际工程咨询有限公司,北京,公路工程甲级
3,北京路桥通国际工程咨询有限公司,北京,特殊独立大桥
4,北京路桥通国际工程咨询有限公司,北京,公路机电工程
5,北京顺通公路交通技术咨询有限责任公司,北京,公路工程甲级
6,北京泰克华诚技术信息咨询有限公司,北京,公路机电工程
7,北京兴通交通工程监理有限责任公司,北京,公路机电工程
8,北京正立监理咨询有限公司,北京,公路工程甲级
9,北京中交路通交通工程咨询有限公司,北京,公路机电工程
10,中国公路工程咨询集团有限公司（原名：中国公路工程咨询总公司、中国公路工程咨询监理总公司）,北京,公路工程甲级
11,中国公路工程咨询集团有限公司（原名：中国公路工程咨询总公司、中国公路工程咨询监理总公司）,北京,特殊独立大桥
12,中国公路工程咨询集团有限公司（原名：中国公路工程咨询总公司、中国公路工程咨询监理总公司）,北京,公路机电工程
13,福建省交通建设工程监理咨询公司,福建,特殊独立大桥
14,福建省交通建设工程监理咨询公司,福建,特殊独立隧道
15,福建省龙岩市新龙工程监理有限公司,福建,公路工程乙级
16,厦门港湾咨询监理有限公司,福建,公路工程甲级
17,厦门高诚信建设监理有限公司,福建,公路工程甲级
18,厦门市路桥咨询监理有限公司,福建,公路工程甲级
19,厦门市路桥咨询监理有限公司,福建,特殊独立隧道
20,厦门中平工程监理咨询有限公司,福建,公路工程甲级
21,甘肃恒科交通工程监理有限公司,甘肃,公路工程甲级
22,甘肃省交通科学研究所有限公司（原名称：甘肃新科公路工程监理事务所）,甘肃,公路工程甲级
23,佛山市南海纵横交通建设咨询监理有限公司（原名：佛山市南海区交通建设咨询监理公司）,广东,公路工程乙级
24,广东虎门技术咨询有限公司,广东,公路工程甲级
25,广东虎门技术咨询有限公司,广东,特殊独立大桥
26,广东华路交通科技有限公司（原名：广东省公路工程监理站）,广东,公路工程甲级
27,广东华路交通科技有限公司（原名：广东省公路工程监理站）,广东,特殊独立大桥
28,广东省路通公路工程监理有限公司,广东,公路工程甲级
29,广东翔飞公路工程监理有限公司,广东,公路工程甲级
30,广东翔飞公路工程监理有限公司,广东,特殊独立大桥
31,广州诚信公路建设监理咨询有限公司,广东,公路工程甲级
32,清远市正阳公路工程监理有限公司,广东,公路工程乙级
33,汕头市公路工程监理有限公司,广东,公路工程甲级
34,韶关市公路工程监理有限公司,广东,公路工程乙级
35,深圳高速工程顾问有限公司,广东,公路工程甲级
36,珠海市公路工程监理有限公司,广东,公路工程甲级
37,贵州陆通公路工程监理有限责任公司,贵州,公路工程甲级
38,贵州陆通公路工程监理有限责任公司,贵州,特殊独立大桥
39,河北四方公路工程咨询有限公司,河北,公路工程甲级
40,河北翼民工程咨询有限公司（原名：河北冀民公路工程咨询有限公司）,河北,公路工程甲级
41,邢台华辰交通建设监理咨询有限公司,河北,公路工程乙级
42,张家口市路桥工程监理咨询有限责任公司,河北,公路工程甲级
43,黑龙江华正交通工程监理有限责任公司,黑龙江,公路工程甲级
44,黑龙江远征路桥工程监理咨询有限公司,黑龙江,公路工程乙级
45,恩施州交通建设咨询监理有限公司,湖北,公路工程乙级
46,湖北华捷工程咨询监理有限公司,湖北,公路工程甲级
47,湖北省公路工程咨询监理中心,湖北,公路工程甲级
48,湖北省公路工程咨询监理中心,湖北,特殊独立大桥
49,湖北顺达公路工程咨询监理有限公司,湖北,公路工程甲级
50,天门市衡通公路工程咨询监理有限责任公司,湖北,公路工程乙级
51,铁四院(湖北)工程监理咨询有限公司(原名:铁四院工程监理咨询公司),湖北,公路工程甲级
52,铁四院(湖北)工程监理咨询有限公司(原名:铁四院工程监理咨询公司),湖北,特殊独立大桥
53,铁四院(湖北)工程监理咨询有限公司(原名:铁四院工程监理咨询公司),湖北,特殊独立隧道
54,武汉广益工程咨询有限公司,湖北,公路工程甲级
55,武汉交科工程咨询有限公司（原名：武汉交科交通工程咨询监理中心）,湖北,公路工程甲级
56,武汉市公路工程咨询监理公司,湖北,公路工程甲级
57,湖北利民建设工程咨询有限公司(原名:襄樊市利民公路监理咨询公司),湖北,公路工程甲级
58,宜昌市虹源公路工程咨询监理有限责任公司,湖北,公路工程甲级
59,长沙华南交通工程咨询监理公司,湖南,公路工程甲级
60,长沙中核公路工程监理咨询有限公司,湖南,公路工程甲级
