序号,钢筋连接型式,钢筋规格,见证取样部位,试件数量,见证人,委托日期,实验结果,实验报告编号及日期,备注
,电渣压力焊,12mm,13层29-59轴剪力墙柱,1组,张国青,2015-03-15 00:00:00,合格,B150303495,安城
,电渣压力焊,12mm,13层29-59轴剪力墙柱,1组,张国青,2015-03-15 00:00:00,合格,B150303496,安城
,电渣压力焊,12mm,13层29-59轴剪力墙柱,1组,张国青,2015-03-15 00:00:00,合格,B150303497,安城
,电渣压力焊,12mm,13层29-59轴剪力墙柱,1组,张国青,2015-03-15 00:00:00,合格,B150303498,安城
,电渣压力焊,12mm,14层1-28轴剪力墙柱,1组,张国青,2015-03-18 00:00:00,合格,B150303593,安城
,电渣压力焊,12mm,14层1-28轴剪力墙柱,1组,张国青,2015-03-18 00:00:00,合格,B150303594,安城
,电渣压力焊,12mm,14层1-28轴剪力墙柱,1组,张国青,2015-03-18 00:00:00,合格,B150303595,安城
,电渣压力焊,12mm,14层1-28轴剪力墙柱,1组,张国青,2015-03-18 00:00:00,合格,B150303596,安城
,电渣压力焊,12mm,14层29-59轴剪力墙柱,1组,张国青,2015-03-18 00:00:00,合格,B150303597,安城
,电渣压力焊,12mm,14层29-59轴剪力墙柱,1组,张国青,2015-03-18 00:00:00,合格,B150303598,安城
,电渣压力焊,12mm,14层29-59轴剪力墙柱,1组,张国青,2015-03-18 00:00:00,合格,B150303599,安城
,电渣压力焊,12mm,14层29-59轴剪力墙柱,1组,张国青,2015-03-18 00:00:00,合格,B150303600,安城
8.0,电渣压力焊,12mm,15层29-59轴剪力墙柱,1组,张国青,2015-03-20 00:00:00,合格,LJJ1503007714,阳光
7.0,电渣压力焊,12mm,15层29-59轴剪力墙柱,1组,张国青,2015-03-20 00:00:00,合格,LJJ1503007715,阳光
6.0,电渣压力焊,12mm,15层29-59轴剪力墙柱,1组,张国青,2015-03-20 00:00:00,合格,LJJ1503007716,阳光
5.0,电渣压力焊,12mm,15层29-59轴剪力墙柱,1组,张国青,2015-03-20 00:00:00,合格,LJJ1503007717,阳光
2.0,电渣压力焊,12mm,15层1-28轴剪力墙柱,1组,张国青,2015-03-20 00:00:00,合格,LJJ1503007712,阳光
3.0,电渣压力焊,12mm,15层1-28轴剪力墙柱,1组,张国青,2015-03-20 00:00:00,合格,LJJ1503007711,阳光
1.0,电渣压力焊,12mm,15层1-28轴剪力墙柱,1组,张国青,2015-03-20 00:00:00,合格,LJJ1503007713,阳光
4.0,电渣压力焊,12mm,15层1-28轴剪力墙柱,1组,张国青,2015-03-20 00:00:00,合格,LJJ1503007710,阳光
9.0,电渣压力焊,12mm,16层1-28轴剪力墙柱,1组,张国青,2015-03-24 00:00:00,合格,LJJ1503008235,阳光
10.0,电渣压力焊,12mm,16层1-28轴剪力墙柱,1组,张国青,2015-03-24 00:00:00,合格,LJJ1503008236,阳光
11.0,电渣压力焊,12mm,16层1-28轴剪力墙柱,1组,张国青,2015-03-24 00:00:00,合格,LJJ1503008237,阳光
12.0,电渣压力焊,12mm,16层1-28轴剪力墙柱,1组,张国青,2015-03-24 00:00:00,合格,LJJ1503008238,阳光
18.0,电渣压力焊,12mm,17层1-28轴剪力墙柱,1组,张国青,2015-04-03 00:00:00,合格,LJJ1504009759,阳光
20.0,电渣压力焊,12mm,17层1-28轴剪力墙柱,1组,张国青,2015-04-03 00:00:00,合格,LJJ1504009761,阳光
17.0,电渣压力焊,12mm,17层1-28轴剪力墙柱,1组,张国青,2015-04-03 00:00:00,合格,LJJ1504009758,阳光
19.0,电渣压力焊,12mm,17层1-28轴剪力墙柱,1组,张国青,2015-04-03 00:00:00,合格,LJJ1504009760,阳光
15.0,电渣压力焊,12mm,16层29-59轴剪力墙柱,1组,张国青,2015-04-03 00:00:00,合格,LJJ1504009763,阳光
14.0,电渣压力焊,12mm,16层29-59轴剪力墙柱,1组,张国青,2015-04-03 00:00:00,合格,LJJ1504009764,阳光
13.0,电渣压力焊,12mm,16层29-59轴剪力墙柱,1组,张国青,2015-04-03 00:00:00,合格,LJJ1504009765,阳光
16.0,电渣压力焊,12mm,16层29-59轴剪力墙柱,1组,张国青,2015-04-03 00:00:00,合格,LJJ1504009762,阳光
21.0,电渣压力焊,12mm,17层29-59轴剪力墙柱,1组,张国青,2015-04-11 00:00:00,合格,LJJ504010868,阳光
22.0,电渣压力焊,12mm,17层29-59轴剪力墙柱,1组,张国青,2015-04-11 00:00:00,合格,LJJ504010869,阳光
23.0,电渣压力焊,12mm,17层29-59轴剪力墙柱,1组,张国青,2015-04-11 00:00:00,合格,LJJ504010870,阳光
24.0,电渣压力焊,12mm,17层29-59轴剪力墙柱,1组,张国青,2015-04-11 00:00:00,合格,LJJ504010871,阳光
25.0,电渣压力焊,12mm,18层1-28轴剪力墙柱,1组,张国青,2015-04-11 00:00:00,合格,LJJ504010872,阳光
26.0,电渣压力焊,12mm,18层1-28轴剪力墙柱,1组,张国青,2015-04-11 00:00:00,合格,LJJ504010865,阳光
27.0,电渣压力焊,12mm,18层1-28轴剪力墙柱,1组,张国青,2015-04-11 00:00:00,合格,LJJ504010866,阳光
28.0,电渣压力焊,12mm,18层1-28轴剪力墙柱,1组,张国青,2015-04-11 00:00:00,合格,LJJ504010867,阳光
34.0,电渣压力焊,12mm,19层1-28轴剪力墙柱,1组,张国青,2015-04-16 00:00:00,合格,LJJ504011744,阳光
34.0,电渣压力焊,12mm,19层1-28轴剪力墙柱,1组,张国青,2015-04-16 00:00:00,合格,LJJ504011743,阳光
34.0,电渣压力焊,12mm,19层1-28轴剪力墙柱,1组,张国青,2015-04-16 00:00:00,合格,LJJ504011742,阳光
33.0,电渣压力焊,12mm,19层1-28轴剪力墙柱,1组,张国青,2015-04-16 00:00:00,合格,LJJ504011741,阳光
31.0,电渣压力焊,12mm,18层29-59轴剪力墙柱,1组,张国青,2015-04-16 00:00:00,合格,LJJ504011739,阳光
30.0,电渣压力焊,12mm,18层29-59轴剪力墙柱,1组,张国青,2015-04-16 00:00:00,合格,LJJ504011738,阳光
29.0,电渣压力焊,12mm,18层29-59轴剪力墙柱,1组,张国青,2015-04-16 00:00:00,合格,LJJ504011736,阳光
32.0,电渣压力焊,12mm,18层29-59轴剪力墙柱,1组,张国青,2015-04-16 00:00:00,合格,LJJ504011740,阳光
,电渣压力焊,12mm,19层29-59轴剪力墙柱,1组,张国青,2015-04-18 00:00:00,合格,LJJ1504012022,阳光
,电渣压力焊,12mm,19层29-59轴剪力墙柱,1组,张国青,2015-04-18 00:00:00,合格,LJJ1504012023,阳光
,电渣压力焊,12mm,19层29-59轴剪力墙柱,1组,张国青,2015-04-18 00:00:00,合格,LJJ1504012024,阳光
,电渣压力焊,12mm,19层29-59轴剪力墙柱,1组,张国青,2015-04-18 00:00:00,合格,LJJ1504012025,阳光
,电渣压力焊,12mm,20层1-28轴剪力墙柱,1组,张国青,2015-04-20 00:00:00,合格,LJJ1504012295,阳光
