广东省2017年提前第一批本科理科第一次投档情况-院校代码,广东省2017年提前第一批本科理科第一次投档情况-院校名称,广东省2017年提前第一批本科理科第一次投档情况-计划数,广东省2017年提前第一批本科理科第一次投档情况-投档人数,广东省2017年提前第一批本科理科第一次投档情况-第一志愿投档最低分
10001,北京大学,5,5,664
10002,中国人民大学,1,1,634
10003,清华大学,4,4,657
10006,北京航空航天大学,43,9(东航),440
10006,北京航空航天大学,43,39(南航),511
10030,北京外国语大学,5,6,570
10032,北京语言大学,7,9,545
10033,中国传媒大学,4,5,567
10036,对外经济贸易大学,1,1,604
10040,外交学院,5,6,592
10041,中国人民公安大学,175,153(男),485
10041,中国人民公安大学,175,22(女),540
10042,国际关系学院,14,8(男),547
10042,国际关系学院,14,9(女),543
10053,中国政法大学,5,6,569
10175,中国刑事警察学院,26,10(男),485
10175,中国刑事警察学院,26,3(女),534
10200,东北师范大学,2,2,555
10246,复旦大学,58,65,647
10248,上海交通大学,110,126,640
10271,上海外国语大学,5,7,592
10284,南京大学,6,8,631
10335,浙江大学,31,36,607
10358,中国科学技术大学,55,63,630
10511,华中师范大学,3,3,547
10520,中南财经政法大学,4,5,511
10558,中山大学,5,6,565
10559,暨南大学,8,9,525
10564,华南农业大学,450,509,501
10574,华南师范大学,709,749,549
10635,西南大学,5,7,542
10652,西南政法大学,7,7(男),535
10652,西南政法大学,7,1(女),561
10718,陕西师范大学,4,4,535
11105,中国人民武装警察部队学院,22,20(男),485
11105,中国人民武装警察部队学院,22,2(女),544
16301,宁波诺丁汉大学,7,8,556
16401,北京师范大学-香港浸会大学联合国际学院,133,147,498
16407,香港中文大学(深圳),22,25,604
16410,广东以色列理工学院,150,166,507
19001,北京大学医学部,10,12,580
19246,复旦大学医学院,5,6,628
80001,汕头大学医学院,40,39,485
81002,香港中文大学,16,20,624
81006,香港城市大学,6,7,613
91002,国防科技大学,29,30(男),489
91002,国防科技大学,29,2(女),603
91004,陆军工程大学,15,14(男),487
91004,陆军工程大学,15,1(女),538
91005,陆军步兵学院,7,3,485
91010,陆军边海防学院,1,0,-
91012,第三军医大学,10,11,505
91013,陆军军事交通学院,2,0,-
91016,海军工程大学,22,24,507
91017,海军大连舰艇学院,13,4(男),485
91017,海军大连舰艇学院,13,0(女),-
91024,空军工程大学,10,11,486
91030,第四军医大学,9,5,485
91034,火箭军工程大学,10,12,495
91037,解放军信息工程大学,30,30(男),504
91037,解放军信息工程大学,30,3(女),528
91039,武警工程大学,4,3(男),486
91039,武警工程大学,4,1(女),531
99001,空军航空大学,36,35,485
