实体店铺销售信息统计表-序号-序号,实体店铺销售信息统计表-日期-日期,实体店铺销售信息统计表-星期-星期,实体店铺销售信息统计表-天气-8:30-11:30,实体店铺销售信息统计表-天气-11:30-16:30,实体店铺销售信息统计表-天气-16:30-22:00,实体店铺销售信息统计表-店铺客流信息-进店时间,实体店铺销售信息统计表-店铺客流信息-用时,实体店铺销售信息统计表-店铺客流信息-客户特征,实体店铺销售信息统计表-店铺客流信息-销售顾问,实体店铺销售信息统计表-店铺客流信息-成交时间,实体店铺销售信息统计表-店铺客流信息-销售品类,实体店铺销售信息统计表-单数-单数,实体店铺销售信息统计表-成交率-成交率,实体店铺销售信息统计表-备注-备注
1,4月15日,周四,多云15°,晴18°,晴14°,9:30,30分钟,写字楼白领,木子萱,10:00,职业套装,2,40%,微信扫码
2,4月16日,周四,多云16°,晴19°,晴15°,10:30,31分钟,写字楼白领,木子萱,11:00,职业套装,3,140%,微信扫码
3,4月17日,周四,多云17°,晴20°,晴16°,11:30,32分钟,写字楼白领,木子萱,12:00,职业套装,4,240%,微信扫码
4,4月18日,周四,多云18°,晴21°,晴17°,12:30,33分钟,写字楼白领,木子萱,13:00,职业套装,5,340%,微信扫码
5,4月19日,周四,多云19°,晴22°,晴18°,13:30,34分钟,写字楼白领,木子萱,14:00,职业套装,6,440%,微信扫码
6,4月20日,周四,多云20°,晴23°,晴19°,14:30,35分钟,写字楼白领,木子萱,15:00,职业套装,7,540%,微信扫码
7,4月21日,周四,多云21°,晴24°,晴20°,15:30,36分钟,写字楼白领,木子萱,16:00,职业套装,8,640%,微信扫码
8,4月22日,周四,多云22°,晴25°,晴21°,16:30,37分钟,写字楼白领,木子萱,17:00,职业套装,9,740%,微信扫码
9,4月23日,周四,多云23°,晴26°,晴22°,17:30,38分钟,写字楼白领,木子萱,18:00,职业套装,10,840%,微信扫码
10,4月24日,周四,多云24°,晴27°,晴23°,18:30,39分钟,写字楼白领,木子萱,19:00,职业套装,11,940%,微信扫码
