售后服务部考核方案-岗位／工资构成-SA主管1人,售后服务部考核方案-姓名,售后服务部考核方案-基本工资-1100元,售后服务部考核方案-考核项目-产值目标,售后服务部考核方案-考核标准-按当月下达指标考核（按完成指标的百分比计算得分）,售后服务部考核方案-绩效权重-30%,售后服务部考核方案-提成办法-总产值的0.4%×绩效权重
SA主管               1人,,1100元,入厂台次目标,按当月下达指标考核                                    （按完成指标的百分比计算得分）,10%,总产值的0.4%×绩效权重
SA主管               1人,,1100元,续保目标,按当月下达指标考核                                    （按完成指标的百分比计算得分）,10%,总产值的0.4%×绩效权重
SA主管               1人,,1100元,客户投诉,100%受理并妥善处理,10%,总产值的0.4%×绩效权重
SA主管               1人,,1100元,CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,20%,总产值的0.4%×绩效权重
SA主管               1人,,1100元,日常5S管理,,10%,总产值的0.4%×绩效权重
SA主管               1人,,1100元,是否遵守各项规章制度（日常表现）,,10%,总产值的0.4%×绩效权重
SA代表           5人,,,产值目标,按当月下达指标考核                                    （按完成指标的百分比计算得分）,30%,（个人产值的0.8%+纯正精品营业额的3%+续保奖金＋装具营业额的4% ）×绩效权重
SA代表           5人,,700元,精品销售目标＋装具销售目标,按当月下达指标考核                                    （按完成指标的百分比计算得分）,10%,（个人产值的0.8%+纯正精品营业额的3%+续保奖金＋装具营业额的4% ）×绩效权重                     
SA代表           5人,,700元,入厂台次目标,按当月下达指标考核                                    （按完成指标的百分比计算得分）,10%,（个人产值的0.8%+纯正精品营业额的3%+续保奖金＋装具营业额的4% ）×绩效权重                     
SA代表           5人,,,续保目标,按当月下达指标考核                                    （按完成指标的百分比计算得分）,10%,（个人产值的0.8%+纯正精品营业额的3%+续保奖金＋装具营业额的4% ）×绩效权重                     
SA代表           5人,,700元,CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,20%,（个人产值的0.8%+纯正精品营业额的3%+续保奖金＋装具营业额的4% ）×绩效权重                     
SA代表           5人,,600元,准时交车率,,5%,（个人产值的0.8%+纯正精品营业额的3%+续保奖金＋装具营业额的4% ）×绩效权重                     
SA代表           5人,,,5S目标,,5%,（个人产值的0.8%+纯正精品营业额的3%+续保奖金＋装具营业额的4% ）×绩效权重                     
SA代表           5人,,600元,是否遵守各项规章制度（日常表现）,,10%,（个人产值的0.8%+纯正精品营业额的3%+续保奖金＋装具营业额的4% ）×绩效权重                     
信息员          1人,,800元,CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,20%,总产值的×0.15%×绩效权重
信息员          1人,,800元,统计数据的准确率（加上客户分析之类的报表）,,30%,总产值的×0.15%×绩效权重
信息员          1人,,800元,信息反馈及时率,,40%,总产值的×0.15%×绩效权重
信息员          1人,,800元,是否遵守各项规章制度（日常表现）,,10%,总产值的×0.15%×绩效权重
电话回访员,,700元,"CSI成绩(相关修后关怀,定保提醒)",CSI平均满意度、落实度94分以上，CSI重点管控因子达成不低于6/7,35%,总产值的0.08%×绩效权重
电话回访员,,700元,"二保回厂率,定期保养目标的完成",以当月下达指标考核(按完成指标的百分比计算),35%,总产值的0.08%×绩效权重
电话回访员,,700元,统计数据及上报得准确及时性,以当月下达指标考核(按完成指标的百分比计算),20%,总产值的0.08%×绩效权重
电话回访员,,700元,是否遵守各项规章制度（日常表现）,,10%,总产值的0.08%×绩效权重
保修鉴定员      1人,,800元,保修目标达成率,,25%,（保修工时的10%＋保修备件的2%＋其他保修利润的20%）×绩效权重
保修鉴定员      1人,,800元,报表的及时准确率,,25%,（保修工时的10%＋保修备件的2%＋其他保修利润的20%）×绩效权重
保修鉴定员      1人,,800元,保修索赔申请成功率,,40%,（保修工时的10%＋保修备件的2%＋其他保修利润的20%）×绩效权重
保修鉴定员      1人,,800元,是否遵守各项规章制度（日常表现）,,10%,（保修工时的10%＋保修备件的2%＋其他保修利润的20%）×绩效权重
车间主任        1人,,900元,工时目标,按当月下达指标考核,30%,维修总工时的1%×绩效权重
车间主任        1人,,900元,CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,10%,维修总工时的1%×绩效权重
车间主任        1人,,900元,客户投诉,100%受理并妥善处理,10%,维修总工时的1%×绩效权重
车间主任        1人,,900元,现场管理,,10%,维修总工时的1%×绩效权重
车间主任        1人,,900元,准时交车率,95%,20%,维修总工时的1%×绩效权重
车间主任        1人,,900元,返修率,3%,10%,维修总工时的1%×绩效权重
车间主任        1人,,900元,是否遵守各项规章制度（日常表现）,,10%,维修总工时的1%×绩效权重
质检员          1人,,900元,工时目标,按当月下达指标考核,20%,维修总工时的0.8%×绩效权重
质检员          1人,,900元,CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,10%,维修总工时的0.8%×绩效权重
质检员          1人,,900元,检验的合格率,98%,40%,维修总工时的0.8%×绩效权重
质检员          1人,,900元,返修率,3%,10%,维修总工时的0.8%×绩效权重
质检员          1人,,900元,客户投诉,,10%,维修总工时的0.8%×绩效权重
质检员          1人,,900元,是否遵守各项规章制度（日常表现）,,10%,维修总工时的0.8%×绩效权重
技术主管,,800元,工时目标,按当月下达指标考核,20%,维修总工时的0.8%×绩效权重
技术主管,,800元,F1率,,25%,维修总工时的0.8%×绩效权重
技术主管,,800元,返修率,2%,20%,维修总工时的0.8%×绩效权重
技术主管,,800元,业务培训,,25%,维修总工时的0.8%×绩效权重
技术主管,,800元,是否遵守各项规章制度（日常表现）,,10%,维修总工时的0.8%×绩效权重
机修技师        7人,,700元,工时目标,,40%,（小组维修工时×15%-耗材）×绩效权重
机修技师        7人,,700元,CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,10%,（小组维修工时×15%-耗材）×绩效权重
机修技师        7人,,600元           600元,准时交车率,99%,20%,（小组维修工时×15%-耗材）×绩效权重
机修技师        7人,,600元,返修率,2%,20%,（小组维修工时×15%-耗材）×绩效权重
机修技师        7人,,500元,,,,（小组维修工时×15%-耗材）×绩效权重
机修技师        7人,,500元,,,,（小组维修工时×15%-耗材）×绩效权重
机修技师        7人,,500元,是否遵守各项规章制度（日常表现）,,10%,（小组维修工时×15%-耗材）×绩效权重
钣金技师        2人,,,工时目标,,40%,（小组维修工时×15%-耗材）×绩效权重
钣金技师        2人,,700元,CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,10%,（小组维修工时×15%-耗材）×绩效权重
钣金技师        2人,,,准时交车率,99%,20%,（小组维修工时×15%-耗材）×绩效权重
钣金技师        2人,,600元,返修率,2%,20%,（小组维修工时×15%-耗材）×绩效权重
钣金技师        2人,,,是否遵守各项规章制度（日常表现）,,10%,（小组维修工时×15%-耗材）×绩效权重
喷漆技师        3人,,700元,工时目标,,40%,（小组维修工时×28%-耗材）×绩效权重×每个人分配比例
喷漆技师        3人,,300(无),CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,10%,（小组维修工时×28%-耗材）×绩效权重×每个人分配比例
喷漆技师        3人,,600元,准时交车率,99%,20%,（小组维修工时×28%-耗材）×绩效权重×每个人分配比例
喷漆技师        3人,,300(无),返修率,2%,20%,（小组维修工时×28%-耗材）×绩效权重×每个人分配比例
喷漆技师        3人,,600元,是否遵守各项规章制度（日常表现）,,10%,（小组维修工时×28%-耗材）×绩效权重×每个人分配比例
喷漆技师        3人,,600元,是否遵守各项规章制度（日常表现）,,10%,（小组维修工时×28%-耗材）×绩效权重×每个人分配比例
洗车工,,600元,客户投诉率,,30%,每台车提成2元                             CSI成绩92分，每提高1分奖励50元，每降低1分扣50元，85分以下没有提成。
洗车工,,500元,客户投诉率 ,,30%,每台车提成2元                             CSI成绩92分，每提高1分奖励50元，每降低1分扣50元，85分以下没有提成。
洗车工,,500元,洗车质量（车内外清洁）,CSI成绩92分以上,60%,每台车提成2元                             CSI成绩92分，每提高1分奖励50元，每降低1分扣50元，85分以下没有提成。
洗车工,,500元,是否遵守各项规章制度（日常表现）,,10%,每台车提成2元                             CSI成绩92分，每提高1分奖励50元，每降低1分扣50元，85分以下没有提成。
洗车工,,500元,是否遵守各项规章制度（日常表现）,,10%,每台车提成2元                             CSI成绩92分，每提高1分奖励50元，每降低1分扣50元，85分以下没有提成。
保险服务主管,,900元,产值目标,按当月下达指标考核,30%,保险产值的0.8%×绩效权重
保险服务主管,,900元,续保目标,按当月下达指标考核 ,20%,保险产值的0.8%×绩效权重
保险服务主管,,900元,回款目标,按当月下达指标考核 ,20%,保险产值的0.8%×绩效权重
保险服务主管,,900元,东风日产保险管家相关要求,按东风日产标准考核,10%,保险产值的0.8%×绩效权重
保险服务主管,,900元,客户投诉,低于1%,10%,保险产值的0.8%×绩效权重
保险服务主管,,900元,是否遵守各项规章制度（日常表现）,,10%,保险产值的0.8%×绩效权重
续保专员,,600元,产值目标,按当月下达指标考核,25%,续保台次×80元×绩效权重
续保专员,,600元,续保目标,按当月下达指标考核 ,25%,续保台次×80元×绩效权重
续保专员,,600元,回款目标,按当月下达指标考核 ,20%,续保台次×80元×绩效权重
续保专员,,600元,客户投诉,低于1%,20%,续保台次×80元×绩效权重
续保专员,,600元,是否遵守各项规章制度（日常表现）,,10%,续保台次×80元×绩效权重
保险理赔员      1人,,700元,事故车营业额,按当月下达指标考核,40%,保险产值的0.6%×绩效权重
保险理赔员      1人,,700元,保单回款率,70%,30%,保险产值的0.6%×绩效权重
保险理赔员      1人,,700元,客户投诉,低于1%,20%,保险产值的0.6%×绩效权重
保险理赔员      1人,,700元,是否遵守各项规章制度（日常表现）,,10%,保险产值的0.6%×绩效权重
保险理赔员      1人,,600元,事故车营业额,按当月下达指标考核,40%,保险产值的0.6%×绩效权重
保险理赔员      1人,,600元,保单回款率,70%,30%,保险产值的0.6%×绩效权重
保险理赔员      1人,,600元,客户投诉,低于1%,20%,保险产值的0.6%×绩效权重
保险理赔员      1人,,600元,是否遵守各项规章制度（日常表现）,,10%,保险产值的0.6%×绩效权重
保险文员,,600元,产值目标,,25%,保险维修台数×6元×绩效权重
保险文员,,600元,保单回款率,70%,25%,保险维修台数×6元×绩效权重
保险文员,,600元,客户投诉,低于1%,20%,保险维修台数×6元×绩效权重
保险文员,,600元,报表上报准确率,99%,20%,保险维修台数×6元×绩效权重
保险文员,,600元,是否遵守各项规章制度（日常表现）,,10%,保险维修台数×6元×绩效权重
备件主管        1人,,900元,备件订货任务,完成日产要求的基本订货任务,20%,出库成本金额的0.25%×绩效权重
备件主管        1人,,900元,备件的及时供应率,98%,20%,出库成本金额的0.25%×绩效权重
备件主管        1人,,900元,库存管理,库存度达到2.5,20%,出库成本金额的0.25%×绩效权重
备件主管        1人,,900元,废品回收率,,20%,出库成本金额的0.25%×绩效权重
备件主管        1人,,900元,CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,10%,出库成本金额的0.25%×绩效权重
备件主管        1人,,900元,是否遵守各项规章制度（日常表现）,,10%,出库成本金额的0.25%×绩效权重
备件计划员      1人,,700元,备件出库目标,,40%,出库成本金额的0.15%×绩效权重
备件计划员      1人,,700元,库存管理,,30%,出库成本金额的0.15%×绩效权重
备件计划员      1人,,700元,备件的及时供应率,,10%,出库成本金额的0.15%×绩效权重
备件计划员      1人,,700元,CSI成绩,CSI平均满意度、落实度92分以上，CSI重点管控因子达成不低于6/7,10%,出库成本金额的0.15%×绩效权重
备件计划员      1人,,700元,是否遵守各项规章制度（日常表现）,,10%,出库成本金额的0.15%×绩效权重
备件库管        2人,,600元,备件出库目标,,30%,出库成本金额的0.1%×绩效权重
备件库管        2人,,600元,账物管理,,30%,出库成本金额的0.1%×绩效权重
备件库管        2人,,600元,仓库整理,,30%,出库成本金额的0.1%×绩效权重
备件库管        2人,,600元,是否遵守各项规章制度（日常表现）,,10%,出库成本金额的0.1%×绩效权重
设备管理员,,600元,设备的管理及维护,,30%,出库成本金额的0.1%×绩效权重
设备管理员,,600元,工具的管理及维护,,25%,出库成本金额的0.1%×绩效权重
设备管理员,,600元,旧件回收及使用率,,35%,出库成本金额的0.1%×绩效权重
设备管理员,,600元,是否遵守各项规章制度（日常表现）,,10%,出库成本金额的0.1%×绩效权重
注：目标达成率低于80%当月提成取消（其中：机修技师、钣金技师、喷漆技师以实际完成量计算），权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消（其中：机修技师、钣金技师、喷漆技师以实际完成量计算），权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消（其中：机修技师、钣金技师、喷漆技师以实际完成量计算），权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消（其中：机修技师、钣金技师、喷漆技师以实际完成量计算），权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消（其中：机修技师、钣金技师、喷漆技师以实际完成量计算），权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消（其中：机修技师、钣金技师、喷漆技师以实际完成量计算），权重80%-100%之间以实际比例提成。,注：目标达成率低于80%当月提成取消（其中：机修技师、钣金技师、喷漆技师以实际完成量计算），权重80%-100%之间以实际比例提成。
