暖通空调专业图集-1类风机及风管系统,暖通空调专业图集,暖通空调专业图集.1,暖通空调专业图集.2,暖通空调专业图集.3
序号,图集号,图集名称,价格,备注
1,K101-1～3,通风机安装（2002合订本）,20,原94T117、94T118、98T121改号
2,05K102,风机安装,17,
3,K103-1～2,建筑防排烟系统设计和设备附件选用与安装（2007年合订本）,49,代替99K103
4,97K130-1,ZP型片式消声器、ZW型消声弯管,7,原97T710改号
5,07K104,除尘设备选用与安装,47,
6,06K105,屋顶自然通风器选用与安装,15,
7,08K106,工业通风排气罩,62,
8,K110-1～3,通风机附件安装（2002合订本）,18.5,原93T371、96T119、96T120改号
9,07K120,风阀选用与安装,25,代替94K120-1、94K120-2
,10K121,风口选用与安装,42,
11,06K131,风管测量孔和检查门,16,
12,08K132,金属、非金属风管支吊架,28,代替03K132
13,07K133,薄钢板法兰风管制作与安装,20,
14,09CK134,机制玻镁复合板风管制作与安装,19,
15,K150-1～3,风帽及附件（2002合订本）,23.3,原96T603、96T609、96T610改号
2类 水泵及管道系统,,,,
序号,图集号,图集名称,价格,备注
1,07K201,管道阀门选用与安装,31,
2,07K203,建筑空调循环冷却水系统设计与安装,30,
3,05K210,采暖空调循环水系统定压,10,
4,05K232,分（集）水器 分汽缸,10,
3类 空气处理系统及控制,,,,
序号,图集号,图集名称,价格,备注
1,06K301-1,空气-空气能量回收装置选用与安装(新风换气机部分),20,
2,06K301-2,空调系统热回收装置选用与安装,36,
3,07K304,空调机房设计与安装,38,
4类 暖通空调系统末端设备安装,,,,
序号,图集号,图集名称,价格,备注
1,K402-1～2,散热器系统安装（2002合订本）,24,原94T903、96T922改号
2,01K403、01(03)K403,风机盘管安装（含2003年局部修改版）,6.1,
3,03K404、03(05)K404,低温热水地板辐射供暖系统安装（含2005年局部修改版）,11,
4,05K405,新型散热器选用与安装,37,
5类 综合项目,,,,
序号,图集号,图集名称,价格,备注
1,03K501-1,燃气红外线辐射供暖系统设计选用及施工安装,40,
2,04K502,热水集中采暖分户热计量系统施工安装,19,
3,06K503,太阳能集热系统设计与安装,36,
4,06K504,水环热泵空调系统设计与安装,25,
5,07K505,洁净手术部和医用气体设计与安装,53,
6,07K506,多联式空调机系统设计与施工安装,28,
7,K507-1～2 R418-1～2,管道与设备绝热(2008年合订本),88,08K507-1 08R418-1代替98R418；08K507-2 08R418-2代替98R419。
8,08K508-1,通风管道沿程阻力计算选用表,82,
,10K509 10R504,暖通动力施工安装图集（一）（水系统）,51,
6类 设计图示,,,,
序号,图集号,图集名称,价格,备注
3,K601～602,民用建筑工程暖通空调及动力设计深度图样（2009年合订本）,88,代替04K601、05K602
1,05SK604,民用建筑工程设计常见问题分析及图示－暖通空调及动力专业,27,
2,06K610,冰蓄冷系统设计与施工图集,54,
不再版、可提供电子版,不再版、可提供电子版,不再版、可提供电子版,不再版、可提供电子版,不再版、可提供电子版
1,97K130-1,ZP型消声器、ZW型消声弯管,7.0,(原97T710)
2,03K202,离心式水泵安装,15.0,
3,94K302,卫生间通风器安装图　壁挂式、吊顶式,,(原94T457)
4,05SK510,小城镇住宅采暖通风设备选用与安装,25.0,
5,04K601,民用建筑工程暖通空调及动力施工图设计深度图样(含光盘),45.0,
6,05K602,民用建筑工程暖通空调及动力初步设计深度图样(含光盘),32.0,
7,05SK603,民用建筑工程设计互提资料深度及图样--暖通空调专业,43.0,
8,05SK604,民用建筑工程设计常见问题分析及图示--采暖空调及动力专业,27.0,
9,05SK605,采暖空调专业教学及见习工程师应用图册,22.0,
