中国银行-2016全年基本信息-市值,中国银行-2016全年基本信息,中国银行-贷款规模明细-核心一级资本,中国银行-贷款规模明细-1.3万亿
资产总额,18.15万亿,资本净额,1.61万亿
归母所有者权益,1.41万亿,加权风险资产净额,
归母净利润,1840亿,核心一级资本充足率,高级法11.37%
营收,4800亿,资本充足率,14%
,,,
,,不良贷款率,1.46%
利润明细表,利润明细表,不良贷款率拨备覆盖率,163%
净利息收入,3030亿,利润拨备比率,1.29-
净手续费及佣金收入,880亿,：损失准备/净利润,
其他净收入,890亿,,
业务及管理费,（1360亿）,客户贷款总额,10万亿
资产减值损失,（890亿）,公司贷款,4.3万亿
税前利润,2200亿,零售贷款,2.7万亿
所得税,380亿,：个人住房贷款,其余境外
本行股东净利润,1640亿,：信用卡贷款,
扣非净利润,1430亿,：小微贷款,
净利息收入明细,净利息收入明细,：其他,
生息资产利息总收入,5660亿,票据贴现,2500亿
：贷款和垫款,4000亿,,
：投资,1100亿,不良贷款总额,1460亿
：存拆放同业,300亿,：公司贷款,
计息负债利息支出,（2600亿）,：零售贷款,
：客户存款,2000亿,关注类贷款,3100亿
：同业存拆放,480亿,已重组贷款,X
净利息收入,3030亿,不良+关注+重组,4560+X
,,贷款损失准备,2380亿
非息收入明细,非息收入明细,,
手续费及佣金收入,980亿,主要资产,
：银行卡手续费,240亿,投资证券及其他金融资产,4万亿
：结算与清算手续费,110亿,：可出售金融资产,1.6万亿
：代理服务手续费,240亿,：持有到期投资,1.84万亿
：托管,34亿,：应收款项投资,4000亿
：其他,200亿,,
：手续费及佣金支出,97亿,负债端,16.7万亿
净手续费及佣金收入,880亿,客户存款总额,13万亿
其他非利息收入,890亿,：企业存款,7万亿
投资收益,,：零售存款,5.5万亿
非利息净收入总额,890亿,客户存款平均成本率,同业2.6万亿
,,总资产明细,总资产明细
补充财务指标,补充财务指标,资产总额,18.15万亿
净利差,1.83%,客户贷款总额,10万亿
净利息收入占比,63.00%,投资证券及其他金融资产,4万亿
非利息收入占比,36.70%,现金，贵金属及央行存款,2.2万亿
客户存款平均成本率,,同业存放款,1.1万亿
,,拆出资金及买入返售资产,
,,商誉及其他,
作者估值,扣非利润X6.2,10000亿,
,净资产X1,14000亿,
