报价表-项目名称：海南省监管局-序号,报价表-项目名称：海南省监管局,报价表-项目名称：海南省监管局-工程项目名称,报价表-项目名称：海南省监管局-单位,报价表-项目名称：海南省监管局-工程量,报价表-项目名称：海南省监管局-单价,报价表-项目名称：海南省监管局-单价.1,报价表-项目名称：海南省监管局-合价（元）,报价表-项目名称：海南省监管局-合价（元）.1,报价表-项目名称：海南省监管局-备注
序号,,工程项目名称,单位,工程量,主材,人工,主材,人工,备注
1,,一、清洗部分,一、清洗部分,一、清洗部分,一、清洗部分,一、清洗部分,一、清洗部分,一、清洗部分,一、清洗部分
2,1P,清洗室内机,个,8,90.0,10.0,720.0,80.0,
3,1P,清洗室外机,个,8,70.0,10.0,560.0,80.0,
4,1P,包扎带,个,8,3.5,6.0,28.0,48.0,
5,1P,保温棉,个,8,3.0,6.0,24.0,48.0,
,1P,补加冰种,个,8,20.0,6.0,160.0,48.0,
6,1P,药水清洗,个,8,30.0,6.0,240.0,48.0,
9,1.5P,清洗室内机,个,10,100.0,10.0,1000.0,100.0,
10,1.5P,清洗室外机,个,10,80.0,10.0,800.0,100.0,
11,1.5P,包扎带,个,10,3.5,6.0,35.0,60.0,
12,1.5P,保温棉,个,10,3.0,6.0,30.0,60.0,
,1.5P,补加冰种,个,10,20.0,6.0,200.0,60.0,
13,1.5P,药水清洗,个,10,30.0,6.0,300.0,60.0,
16,2P,清洗室内机,个,2,120.0,10.0,240.0,20.0,
,2P,清洗室外机,个,2,100.0,10.0,200.0,20.0,
17,2P,包扎带,个,2,3.5,6.0,7.0,12.0,
18,2P,保温棉,个,2,3.0,6.0,6.0,12.0,
19,2P,补加冰种,个,2,20.0,6.0,40.0,12.0,
20,2P,药水清洗,个,2,30.0,6.0,60.0,12.0,
23,3P,清洗室内机,个,3,160.0,10.0,480.0,30.0,
,3P,清洗室外机,个,3,120.0,10.0,360.0,30.0,
24,3P,包扎带,个,3,3.5,6.0,10.5,18.0,
25,3P,保温棉,个,3,3.0,6.0,9.0,18.0,
26,3P,补加冰种,个,3,20.0,6.0,60.0,18.0,
27,3P,药水清洗,个,3,30.0,6.0,90.0,18.0,
30,,清洗小计,,,,,5659.5,1012.0,
31,,二、安装部分,二、安装部分,二、安装部分,二、安装部分,二、安装部分,二、安装部分,二、安装部分,二、安装部分
32,,安装一台2P空调挂机,台,1,0.0,250.0,0.0,250.0,
,,打孔,个,2,0.0,80.0,0.0,160.0,
33,,安装小计,,,,,0.0,410.0,
34,,清洗+安装合计,,,,,"￥7,081.50","￥7,081.50 ",
35,,税费6%,,,,,￥424.89,￥424.89 ,
1,,安装合计,,,,,"￥7,506.39","￥7,506.39 ",
