成品库存-品名-品名,成品库存-批号-批号,成品库存-规格-规格,成品库存-数量(kg)-数量(kg),成品库存-包装规格,成品库存-包装规格-Kg/袋,成品库存-包装规格-Kg/箱,成品库存-产地-产地,成品库存-包装材质-包装材质,成品库存-是否合格-是否合格,成品库存-生产日期-生产日期,备注-备注
香附,201702002,选,103,1kg/袋（24kg/箱）,1,24,,塑料,合格,,
全蝎,201702001,统,0.966,0.25kg/袋（9kg/箱）,0.25,9,山西,塑料,合格,,
炙淫羊藿,201703002,统,42.143,0.25kg/袋（2.5kg/箱）,0.25,2.5,,塑料,合格,,
胖大海,201705002,统,11.24,0.5kg/袋*16kg/箱,0.5,16,广东,塑料,合格,,
龙齿,201705001,统,4,1kg/袋*30kg/箱,1,30,山西,塑料,合格,,
三七粉,201705006,极细粉,795,20支/盒*60盒/箱,20支/盒,60盒,云南,盒子,合格,,
炒川楝子,201706001,统,19,1kg/袋*12kg/箱,1,12,四川,塑料,合格,,
炒桃仁,170701,选,87,1kg/袋*19kg/箱,1,19,山西,塑料,合格,,
川楝子,170701,统,25,1kg/袋*12kg/箱,1,12,四川,塑料,合格,,
桔梗,170701,统,1,1kg/袋*15kg/箱,1,15,安徽,塑料,合格,,
罗汉果,170701,大,1136个,16个/盒,16个/盒,,广西,纸盒,合格,,
三七,170701,60头,292.5,0.5kg/袋*15kg/箱,0.5,15,云南,塑料,合格,,
麸炒枳实,170703,统,7,1kg/袋*18kg/箱,1,18,江西,塑料,合格,,
山萸肉,170701,统,25.5,0.5kg/袋*11kg/箱,0.5,11,浙江,塑料,合格,,
枳实,170701,统,1,1kg/袋*24kg/箱,1,24,江西,塑料,合格,,
巴戟天,170701,统,9,1kg/袋*12kg/箱,1,12,广东,塑料,合格,,
牡丹皮,170701,统,10,1kg/袋*14kg/箱,1,14,安徽,塑料,合格,,
山药,170702,统,116,1kg/袋*18kg/箱,1,18,河南,塑料,合格,,
赤小豆,170801,选,24,1kg/袋*24kg/箱,1,24,湖南,塑料,合格,,
山药,170801,选,16,1kg/袋*18kg/箱,1,18,河南,塑料,合格,,
