返回,定额名称,单位,工程量,设备单价,主材单价,基价单价,人工单价,材料单价,机械单价,设备合计,主材合计,基价合计,人工合计,材料合计,机械合计
3-441,换热器（公寓）SFL-4.0-1.6 V=4.0m3,台,6.0,54550,0.0,2034.4,668.37,456.3,909.74,327300,0.0,12207,4010.2,2738.0,5458.4
1-804,热水循环泵 G=4.2m3/h H=240MH2O N=1.5kw,台,6.0,1727,0.0,537.94,327.27,148.0,62.72,10362,0.0,3228,1963.6,887.7,376.32
3-438,换热器（办公室）SFL-1.5-1.6 V=1.5m3,台,6.0,32268,0.0,1102.3,414.85,318.5,368.88,193608,0.0,6614,2489.1,1911.0,2213.3
1-804,热水循环泵 G=4.2m3/h H=240MH2O N=1.5kw,台,6.0,1727,0.0,537.94,327.27,148.0,62.72,10362,0.0,3228,1963.6,887.7,376.32
3-439,换热器（六层浴室）SFL-2.0-1.0 V=2.0m3,台,2.0,41000,0.0,1260.5,445.58,336.7,478.2,82000,0.0,2521,891.16,673.4,956.4
1-804,热水循环泵 G=4.2m3/h H=240MH2O N=1.5kw,台,2.0,1727,0.0,537.94,327.27,148.0,62.72,3454,0.0,1076,654.54,295.9,125.44
5-2151,减振支架,t,1.12,0,4233.0,1447.3,769.17,210.0,468.13,0,4741.2,1621,861.47,235.2,524.31
6-1277,对夹式蝶阀DN80,个,24.0,0,163.8,28.37,19.51,6.1,2.76,0,3932.2,681,468.24,146.4,66.24
6-1275,对夹式蝶阀DN50,个,58.0,0,102.4,17.57,10.24,4.78,2.55,0,5939.2,1019,593.92,277.2,147.9
6-1273,对夹式蝶阀DN32,个,16.0,0,76.8,15.23,8.91,4.16,2.16,0,1228.8,244,142.56,66.56,34.56
6-1275,消声止回阀DN50,个,6.0,0,194.6,17.57,10.24,4.78,2.55,0,1167.4,105,61.44,28.68,15.3
6-1273,消声止回阀DN32,个,8.0,0,120.8,15.23,8.91,4.16,2.16,0,966.64,122,71.28,33.28,17.28
6-1275,法兰软接头DN50,个,12.0,0,107.5,17.57,10.24,4.78,2.55,0,1290.2,211,122.88,57.36,30.6
6-1273,法兰软接头DN32,个,16.0,0,76.8,15.23,8.91,4.16,2.16,0,1228.8,244,142.56,66.56,34.56
10-25,压力表,台,14.0,0,49.15,19.31,15.98,2.22,1.11,0,688.1,270,223.72,31.08,15.54
6-32,衬塑钢管DN80,m,97.0,0,53.08,4.34,3.01,0.59,0.74,0,5149.2,421,291.58,57.42,71.97
6-31,衬塑钢管DN70,m,65.0,0,44.62,3.7,2.54,0.53,0.63,0,2900.0,241,165.17,34.39,41.21
6-30,衬塑钢管DN50,m,151.0,0,33.09,2.68,1.99,0.28,0.41,0,4997.1,405,299.89,42.43,62.21
6-28,衬塑钢管DN32,m,52.0,0,20.22,2.14,1.62,0.23,0.29,0,1051.3,111,84.19,11.75,15.18
6-648,衬塑管卡箍连接件DN80,个,32.0,0,41.98,23.11,10.47,3.95,8.7,0,1343.4,740,335.01,126.2,278.3
6-647,衬塑管卡箍连接件DN70,个,21.0,0,35.84,20.05,9.2,3.4,7.45,0,752.64,421,193.16,71.44,156.49
6-646,衬塑管卡箍连接件DN50,个,50.0,0,28.67,13.83,7.28,1.58,4.98,0,1433.5,692,363.85,78.8,249.0
6-644,衬塑管卡箍连接件DN32,个,17.0,0,13.31,9.69,5.15,1.05,3.5,0,226.27,165,87.5,17.8,59.43
6-1506,法兰盘DN80,付,24.0,0,79.46,24.05,11.74,6.0,6.31,0,1907.0,577,281.76,144.0,151.44
6-1504,法兰盘DN50,付,76.0,0,51.2,17.11,9.12,3.28,4.71,0,3891.2,1300,693.12,249.3,357.96
6-1502,法兰盘DN32,付,40.0,0,31.54,12.48,7.01,2.17,3.3,0,1261.6,499,280.4,86.8,132.0
6-2844,管道支架制作安装,kg,363.0,0,4.23,5.25,2.97,1.22,1.06,0,1535.3,1906,1079.8,442.5,384.16
11-103,支架红丹防锈漆一遍,kg,1483.0,0,0.0,0.22,0.08,0.14,0.0,0,0.0,327,118.49,208.4,0.0
11-108,支架色漆第一遍,kg,1483.0,0,0.0,0.13,0.07,0.05,0.0,0,0.0,190,109.45,80.23,0.0
11-109,支架色漆第二遍,kg,1483.0,0,0.0,0.12,0.07,0.05,0.0,0,0.0,179,109.45,69.85,0.0
11-43,管道刷油(第一遍防锈漆),m2,130.2,0,0.0,2.38,0.92,1.46,0.0,0,0.0,310,120.04,190.1,0.0
11-44,管道刷油(第二遍防锈漆),m2,130.2,0,0.0,2.17,0.92,1.25,0.0,0,0.0,283,120.04,163.0,0.0
,工艺金属结构工程脚手架搭拆综合摊销费,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,86,21.5,64.5,0.0
,刷油工程脚手架搭拆综合摊销费,,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,46,11.5,34.5,0.0
总                            计,,,0.0,0,0.0,0.0,0.0,0.0,0.0,627086,47631.0,42290,19426.0,10510.0,12352.0
