产品,客户,第 1 季度总额
蔬菜煎饼,ERNSH,"￥             2,220.00"
法国卡门贝干酪,RICSU,"￥             1,225.00"
蒙古大草原绿色羊肉,BOTTM,"￥             6,997.00"
蒙古大草原绿色羊肉,ERNSH,"￥             5,326.00"
意大利白干酪,VICTE,"￥             8,150.00"
法国卡门贝干酪,RICAR,"￥             2,234.00"
蔬菜煎饼,HUNGO,"￥             5,401.00"
味道美五香秋葵荚,ERNSH,"￥             2,730.00"
怡保咖啡,SUPRD,"￥             3,532.00"
莱阳御贡干梨,BSBEV,"￥             3,756.00"
味道美五香秋葵荚,SUPRD,"￥             4,946.00"
金刚烈性黑啤酒,MEREP,"￥             8,786.00"
味道美辣椒沙司,RICAR,"￥           11,201.00"
怡保咖啡,KOENE,"￥             3,477.00"
上海大闸蟹,BOTTM,￥               974.00
大茴香籽调味汁,LINOD,"￥             3,066.00"
法国卡门贝干酪,FURIB,"￥             6,910.00"
金刚烈性黑啤酒,EASTC,"￥             9,526.00"
味道美辣椒沙司,QUICK,"￥             6,954.00"
罗德尼烤饼,ERNSH,"￥             3,928.00"
野人麦芽酒,WHITC,"￥             7,120.00"
莱阳御贡干梨,VICTE,"￥             3,416.00"
味道美辣椒沙司,RATTC,"￥             3,859.00"
蒙古大草原绿色羊肉,BERGS,"￥             3,747.00"
味鲜美馄饨,WARTH,"￥             6,949.00"
上海大闸蟹,PERIC,"￥           10,071.00"
意大利羊乳干酪,SUPRD,"￥             9,325.00"
上海大闸蟹,RANCH,"￥             3,476.00"
上海大闸蟹,VAFFE,"￥             4,151.00"
茶点巧克力软饼,RICAR,"￥             5,957.00"
意大利白干酪,CONSH,"￥             7,842.00"
罗德尼烤饼,KOENE,"￥             4,466.00"
长寿豆腐,MEREP,"￥             4,567.00"
罗德尼烤饼,LILAS,"￥             9,104.00"
新英格兰杰克杂烩,BERGS,"￥             4,328.00"
王大义十三香,FURIB,"￥             3,361.00"
罗德尼烤饼,QUEEN,"￥             8,910.00"
味鲜美馄饨,TOMSP,"￥             3,980.00"
野人麦芽酒,TOMSP,"￥             7,312.00"
茶点巧克力软饼,TOMSP,"￥             8,039.00"
新英格兰杰克杂烩,BOTTM,"￥             5,737.00"
茶点巧克力软饼,SUPRD,"￥             7,321.00"
上海大闸蟹,BSBEV,"￥           12,870.00"
上海大闸蟹,LAZYK,"￥             4,495.00"
茶点巧克力软饼,WARTH,"￥           10,292.00"
意大利羊乳干酪,GOURL,"￥             4,772.00"
长寿豆腐,HILAA,"￥             6,346.00"
罗德尼烤饼,PRINI,"￥             5,977.00"
茶点巧克力软饼,FAMIA,"￥             7,516.00"
长寿豆腐,QUICK,"￥             2,819.00"
金刚烈性黑啤酒,BERGS,"￥             7,392.00"
混沌皮,BLONP,"￥             3,282.00"
罗德尼烤饼,BSBEV,"￥             8,737.00"
怡保咖啡,FURIB,"￥             6,257.00"
罗德尼烤饼,OCEAN,"￥             8,820.00"
混沌皮,TOMSP,"￥             3,980.00"
蒙古大草原绿色羊肉,HUNGC,"￥             7,126.00"
茶点巧克力软饼,QUEEN,"￥             4,682.00"
意大利羊乳干酪,TOMSP,"￥             5,746.00"
上海大闸蟹,QUEEN,"￥             7,412.00"
茶点巧克力软饼,QUEDE,"￥             8,717.00"
