附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-序号-序号,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-材料名称及规格型号-材料名称及规格型号,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-单位-单位,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-2012年5月份信息价-吐鲁番市,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-2012年5月份信息价-鄯善县,附件：-2012年5月份吐鲁番地区建设工程价格信息-单位：元-2012年5月份信息价-托克逊县
1,低碳热轧盘条 HPB235 Φ6.5,t,4781.0,4811.0,4771.0
2,低碳热轧盘条 HPB235 Φ8,t,4781.0,4811.0,4771.0
3,低碳热轧盘条 HPB235 Φ10,t,4781.0,4811.0,4771.0
4,低碳热轧盘条 HPB235 Φ12,t,4741.0,4771.0,4731.0
5,低碳热轧盘条 HPB235 Φ14,t,4741.0,4771.0,4731.0
6,低碳热轧盘条 HPB235 Φ16,t,4741.0,4771.0,4731.0
7,热轧光圆钢筋 HPB235 Φ12,t,4790.0,4820.0,4780.0
8,热轧光圆钢筋 HPB235 Φ14,t,4790.0,4820.0,4780.0
9,热轧光圆钢筋 HPB235 Φ16,t,4790.0,4820.0,4780.0
10,热轧光圆钢筋 HPB235 Φ18,t,4931.0,4961.0,4921.0
11,热轧光圆钢筋 HPB235 Φ20,t,4890.0,4920.0,4880.0
12,热轧光圆钢筋 HPB235 Φ22,t,4890.0,4920.0,4880.0
13,热轧光圆钢筋 HPB235 Φ25,t,4890.0,4920.0,4880.0
14,热轧光圆钢筋 HPB235 Φ28以上,t,5041.0,5071.0,5031.0
15,热轧带肋钢筋 HRB335E Φ10,t,5040.0,5067.0,5030.0
16,热轧带肋钢筋 HRB335E Φ12,t,4991.0,5021.0,4981.0
17,热轧带肋钢筋 HRB335E Φ14,t,4991.0,5021.0,4981.0
18,热轧带肋钢筋 HRB335E Φ16,t,4741.0,4771.0,4731.0
19,热轧带肋钢筋 HRB335E Φ18,t,4741.0,4771.0,4731.0
20,热轧带肋钢筋 HRB335E Φ20,t,4741.0,4771.0,4731.0
21,热轧带肋钢筋 HRB335E Φ22,t,4741.0,4771.0,4731.0
22,热轧带肋钢筋 HRB335E Φ25,t,4741.0,4771.0,4731.0
23,热轧带肋钢筋 HRB335E Φ28,t,5020.0,5050.0,5010.0
24,热轧带肋钢筋 HRB335E Φ30,t,5020.0,5050.0,5010.0
25,热轧带肋钢筋 HRB335E Φ32,t,5020.0,5050.0,5010.0
26,热轧带肋钢筋 HRB335E Φ36以上,t,5121.0,5151.0,5111.0
27,热轧带肋钢筋 HRB400E Φ10,t,5240.0,5270.0,5230.0
28,热轧带肋钢筋 HRB400E Φ12,t,5191.0,5222.0,5181.0
29,热轧带肋钢筋 HRB400E Φ14,t,5191.0,5221.0,5181.0
30,热轧带肋钢筋 HRB400E Φ16,t,4941.0,4971.0,4931.0
31,热轧带肋钢筋 HRB400E Φ18,t,4941.0,4971.0,4931.0
32,热轧带肋钢筋 HRB400E Φ20,t,4941.0,4971.0,4931.0
33,热轧带肋钢筋 HRB400E Φ22,t,4941.0,4971.0,4931.0
34,热轧带肋钢筋 HRB400E Φ25,t,4941.0,4971.0,4931.0
35,热轧带肋钢筋 HRB400E Φ28,t,5220.0,5250.0,5210.0
36,热轧带肋钢筋 HRB400E Φ30,t,5220.0,5250.0,5210.0
