勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-序-号,勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-孔-号,勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-勘探点-类型,勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-孔口或-井口-标高-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-勘探点-深度-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-初见-水位-深度-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-初见-水位-标高-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-稳定-水位-深度-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-稳定-水位-标高-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-原状-样-(个),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-扰动-样-(个),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-岩样-(个),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-标贯-(次),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-坐标-X-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-坐标-Y-(m),勘探点一览表-工程名称:燮里村庄改造项目工程（勘察）-里程,外业日期
1,1,标贯孔,23.69,15.0,,,5.7,17.99,,,,2.0,3973237.02,494798.118,,
2,2,标贯孔,25.89,17.8,,,7.9,17.99,,,,4.0,3973237.02,494825.118,,
3,3,标贯孔,27.51,18.9,,,9.5,18.01,,,,7.0,3973237.02,494852.118,,
4,4,标贯孔,28.96,19.5,,,11.0,17.96,,,,8.0,3973237.02,494879.118,,
5,5,标贯孔,23.74,13.8,,,5.7,18.04,,,,2.0,3973237.02,494906.118,,
6,6,标贯孔,23.53,15.0,,,5.5,18.03,,,,2.0,3973237.02,494933.118,,
7,7,标贯孔,23.66,14.0,,,5.6,18.06,,,,4.0,3973237.02,494960.118,,
8,8,标贯孔,23.14,13.0,,,5.1,18.04,,,,2.0,3973237.02,494987.118,,
9,9,标贯孔,24.23,13.0,,,6.2,18.03,,,,2.0,3973237.02,495014.118,,
10,10,标贯孔,24.82,13.0,,,6.8,18.02,,,,2.0,3973237.02,495041.033,,
11,11,标贯孔,23.9,15.0,,,5.9,18.0,,,,2.0,3973219.551,494798.171,,
12,12,标贯孔,25.58,18.0,,,7.6,17.98,,,,6.0,3973222.679,494810.372,,
13,13,标贯孔,25.72,18.4,,,7.7,18.02,,,,6.0,3973220.079,494822.682,,
