学校,学院,专业名称,09报录比-报名人数,录取人数,报录比,推免人数,10报录比-报名人数,录取人数.1,报录比.1
青海师范大学,人文学院,民俗学,,,,,12.0,5.0,0.416667
青海师范大学,人文学院,汉语言文字学,,,,,26.0,10.0,0.384615
青海师范大学,人文学院,中国古典文献学,,,,,22.0,10.0,0.454545
青海师范大学,人文学院,中国古代文学,,,,,28.0,15.0,0.535714
青海师范大学,人文学院,专门史,,,,,14.0,10.0,0.714286
青海师范大学,人文学院,中国古代史,,,,,32.0,15.0,0.46875
青海师范大学,人文学院,中国哲学,,,,,23.0,15.0,0.652174
青海师范大学,法商学院,区域经济学,,,,,14.0,5.0,0.357143
青海师范大学,法商学院,马克思主义基本原理,,,,,13.0,5.0,0.384615
青海师范大学,法商学院,思想政治教育,,,,,15.0,5.0,0.333333
青海师范大学,教师教育学院,教育学原理,,,,,38.0,15.0,0.394737
青海师范大学,教师教育学院,课程与教学论,,,,,24.0,10.0,0.416667
青海师范大学,教师教育学院,发展与教育心理学,,,,,32.0,10.0,0.3125
青海师范大学,数学与信息科学系,基础数学,,,,,53.0,20.0,0.377358
青海师范大学,物理系,计算机应用技术,,,,,28.0,10.0,0.357143
青海师范大学,化学系,无机化学,,,,,46.0,20.0,0.434783
青海师范大学,生命与地理科学学院,自然地理学,,,,,16.0,5.0,0.3125
青海师范大学,生命与地理科学学院,人文地理学,,,,,12.0,5.0,0.416667
青海师范大学,生命与地理科学学院,地图学与地理信息系统,,,,,35.0,15.0,0.428571
青海师范大学,生命与地理科学学院,植物学,,,,,18.0,20.0,1.111111
青海师范大学,生命与地理科学学院,生态学,,,,,37.0,15.0,0.405405
青海师范大学,体育学院,体育教育训练学,,,,,24.0,10.0,0.416667
青海师范大学,民族师范学院,中国少数民族语言文学,,,,,28.0,10.0,0.357143
青海师范大学,外语系,课程与教学论,,,,,0.0,0.0,0.0
青海民族学院,藏学院,逻辑学,,,,,26.0,10.0,0.384615
青海民族学院,藏学院,宗教学,,,,,22.0,10.0,0.454545
青海民族学院,藏学院,中国少数民族语言文学,,,,,42.0,25.0,0.595238
青海民族学院,藏学院,历史文献学,,,,,21.0,15.0,0.714286
青海民族学院,文学院,文艺学,,,,,32.0,15.0,0.46875
青海民族学院,文学院,语言学及应用语言学,,,,,36.0,11.0,0.305556
青海民族学院,文学院,历史文献学,,,,,11.0,5.0,0.454545
青海民族学院,法学院,法学理论,,,,,40.0,15.0,0.375
青海民族学院,法学院,民商法学,,,,,62.0,25.0,0.403226
青海民族学院,法学院,经济法学,,,,,36.0,15.0,0.416667
青海民族学院,法学院,法律硕士,,,,,0.0,0.0,0.0
青海民族学院,民族学与人类学学院,人类学,,,,,42.0,15.0,0.357143
青海民族学院,民族学与人类学学院,民族学,,,,,64.0,20.0,0.3125
青海民族学院,民族学与人类学学院,马克思主义民族理论与政策,,,,,24.0,13.0,0.541667
青海民族学院,民族学与人类学学院,中国少数民族史,,,,,10.0,14.0,1.4
青海民族学院,民族学与人类学学院,专门史,,,,,18.0,15.0,0.833333
青海民族学院,经济与管理学院,中国少数民族经济,,,,,31.0,15.0,0.483871
青海民族学院,经济与管理学院,企业管理,,,,,35.0,12.0,0.342857
青海民族学院,经济与管理学院,工商管理硕士,,,,,0.0,0.0,0.0
青海民族学院,经济与管理学院,行政管理,,,,,52.0,20.0,0.384615
青海民族学院,数学学院,逻辑学,,,,,14.0,6.0,0.428571
青海民族学院,数学学院,中国少数民族经济,,,,,22.0,10.0,0.454545
青海民族学院,艺术系,中国少数民族艺术,,,,,15.0,8.0,0.533333
青海民族学院,社会发展学院,中外政治制度,,,,,25.0,20.0,0.8
青海民族学院,社会发展学院,马克思主义基本原理,,,,,8.0,15.0,1.875
青海民族学院,社会发展学院,思想政治教育,,,,,0.0,0.0,0.0
青海民族学院,蒙文系,中国少数民族语言文学,,,,,25.0,10.0,0.4
青海民族学院,化学与生命科学学院,物理化学,,,,,49.0,24.0,0.489796
青海民族学院,化学与生命科学学院,药物分析学,,,,,28.0,13.0,0.464286
青海大学,农学系,作物栽培学与耕作学,0.0,0.0,0.0,,,,
青海大学,农学系,作物遗传育种,40.0,13.0,0.325,,,,
青海大学,农学系,园林植物与观赏园艺,0.0,0.0,0.0,,,,
青海大学,草业科学系,草业科学,34.0,11.0,0.323529,,,,
青海大学,动物科学系,动物营养与饲料科学,16.0,6.0,0.375,,,,
青海大学,动物医学系,基础兽医学,0.0,0.0,0.0,,,,
青海大学,材料学学位点,材料学,0.0,0.0,0.0,,,,
青海大学,社会科学系,马克思主义基本原理,0.0,0.0,0.0,,,,
青海大学,社会科学系,思想政治教育,0.0,0.0,0.0,,,,
青海大学,基础医学系,免疫学,13.0,4.0,0.307692,,,,
青海大学,基础医学系,病理学与病理生理学,11.0,4.0,0.363636,,,,
青海大学,临床医学系,内科学,45.0,16.0,0.355556,,,,
青海大学,临床医学系,皮肤病与性病学,9.0,3.0,0.333333,,,,
青海大学,临床医学系,影像医学与核医学,8.0,3.0,0.375,,,,
青海大学,临床医学系,外科学,38.0,10.0,0.263158,,,,
青海大学,藏医学系,民族医学,18.0,5.0,0.277778,,,,
青海大学,中医学系,中西医结合临床,15.0,4.0,0.266667,,,,
