序号,产品名称,代发价,会员价,市场价,会员价毛利,原产地,规格,详情页,品类,仓库,价格走势,库存,创建人,创建日期,最后修改人,最后修日期查询
1,手机,"¥4,813.00",¥84.00,"¥4,039.00","¥3,227.00",原产地1,XXL,www.docer.com,品类1,仓库1,"¥1,406.00",39,苏妤霭,2021-02-19,殷启文,2021-02-17
2,电脑,"¥4,665.00","¥1,695.00","¥1,548.00","¥2,580.00",原产地2,大,www.docer.com,品类2,仓库2,"¥1,840.00",42,卢梦娟,2021-02-20,盛媛,2021-02-18
3,充电器,"¥4,962.00","¥3,462.00","¥1,879.00","¥1,116.00",原产地3,中,www.docer.com,品类3,仓库3,¥71.00,4,郭宜,2021-02-19,郝航珠,2021-02-19
4,洗衣机,"¥4,197.00",¥551.00,"¥2,005.00","¥2,913.00",原产地4,M,www.docer.com,品类4,仓库4,"¥1,473.00",27,贺淇倩,2021-02-20,林瑶,2021-02-21
5,电冰箱,"¥2,046.00",¥548.00,"¥4,207.00","¥3,742.00",原产地5,XXL,www.docer.com,品类5,仓库5,"¥4,920.00",20,危时,2021-02-22,孟泓,2021-02-19
6,消毒柜,"¥4,026.00","¥1,452.00","¥2,047.00","¥2,282.00",原产地6,大,www.docer.com,品类6,仓库6,"¥3,806.00",3,刁文璧,2021-02-20,田馨渊,2021-02-22
7,手机,"¥4,947.00","¥1,994.00","¥3,622.00","¥4,521.00",原产地7,中,www.docer.com,品类7,仓库7,"¥2,904.00",22,戚冰,2021-02-21,米清仪,2021-02-21
8,电脑,"¥1,292.00","¥2,795.00","¥3,293.00","¥1,415.00",原产地8,M,www.docer.com,品类8,仓库8,"¥3,028.00",34,喻韵晴,2021-02-23,徐允纯,2021-02-23
9,充电器,¥872.00,"¥1,554.00","¥2,031.00","¥3,337.00",原产地9,XXL,www.docer.com,品类9,仓库9,"¥1,340.00",24,吕惠晨,2021-02-23,江美,2021-02-26
10,洗衣机,"¥3,473.00","¥1,477.00","¥4,751.00","¥4,450.00",原产地10,大,www.docer.com,品类10,仓库10,"¥2,540.00",20,俞镇,2021-02-24,虞筠英,2021-02-26
