Unnamed: 0,工程成本核算表,工程成本核算表.1,工程成本核算表.2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
基本信息,基本信息,基本信息,基本信息,项目费用支出, 项目费用支出 , 项目费用支出 , 项目费用支出 , 项目费用支出 , 项目费用支出 , 项目费用支出 , 项目费用支出 ,项目毛利率,,,,,,,,,当前年份,2023年,,
序号,项目名称,开工日期,合同金额,材料费用,设备费用,运输费用,人工费,加工费,差旅费,其他费用,合计费用,项目毛利率,,,,,,,,,月份,合同数量,合同金额,
1,项目1,2023/1/1,2000.0,70.0,400.0,200.0,120.0,200.0,100.0,100.0,1190.0,40.50%,,,,,,,,,1,1,2000.0,
2,项目2,2023/2/1,1500.0,60.0,500.0,250.0,110.0,190.0,150.0,130.0,1390.0,7.33%,,,,,,,,,2,1,1500.0,
3,项目3,2023/3/1,1700.0,70.0,600.0,100.0,150.0,240.0,200.0,140.0,1500.0,11.76%,,,,,,,,,3,1,1700.0,
4,项目4,2023/4/1,2100.0,90.0,270.0,120.0,80.0,200.0,170.0,125.0,1055.0,49.76%,,,,,,,,,4,1,2100.0,
5,项目5,2023/5/1,2300.0,180.0,190.0,170.0,170.0,180.0,200.0,135.0,1225.0,46.74%,,,,,,,,,5,1,2300.0,
6,项目6,2023/6/1,2500.0,340.0,120.0,100.0,200.0,230.0,220.0,145.0,1355.0,45.80%,,,,,,,,,6,1,2500.0,
7,项目7,2023/7/1,1900.0,240.0,140.0,120.0,190.0,190.0,240.0,155.0,1275.0,32.89%,,,,,,,,,7,1,1900.0,
8,项目8,2023/8/1,1100.0,350.0,100.0,110.0,200.0,150.0,260.0,142.0,1312.0,-19.27%,,,,,,,,,8,1,1100.0,
9,项目9,2023/9/1,1400.0,170.0,180.0,100.0,170.0,220.0,150.0,135.0,1125.0,19.64%,,,,,,,,,9,1,1400.0,
10,项目10,2023/10/1,1600.0,150.0,220.0,150.0,140.0,170.0,150.0,130.0,1110.0,30.63%,,,,,,,,,10,1,1600.0,
11,项目11,2023/11/1,1900.0,120.0,105.0,140.0,120.0,120.0,170.0,120.0,895.0,52.89%,,,,项目名称,项目1,,,,11,1,1900.0,
12,项目12,2023/12/1,2000.0,200.0,115.0,200.0,110.0,200.0,150.0,125.0,1100.0,45.00%,,,,开工日期,2023/1/1,,,,12,15,30105.0,
13,项目13,2023/12/2,2001.0,201.0,116.0,201.0,111.0,201.0,151.0,126.0,1107.0,44.68%,,,,合同金额,2000.0,,,,,,,
14,项目14,2023/12/3,2002.0,202.0,117.0,202.0,112.0,202.0,152.0,127.0,1114.0,44.36%,,,,材料费用,70.0,,,,项目名称,项目费用,,
15,项目15,2023/12/4,2003.0,203.0,118.0,203.0,113.0,203.0,153.0,128.0,1121.0,44.03%,,,,设备费用,400.0,,,2.0,材料费用,4945.0,,
16,项目16,2023/12/5,2004.0,204.0,119.0,204.0,114.0,204.0,154.0,129.0,1128.0,43.71%,,,,运输费用,200.0,,,4.0,设备费用,4655.0,,
17,项目17,2023/12/6,2005.0,205.0,120.0,205.0,115.0,205.0,155.0,130.0,1135.0,43.39%,,,,人工费,120.0,,,3.0,运输费用,4665.0,,
18,项目18,2023/12/7,2006.0,206.0,121.0,206.0,116.0,206.0,156.0,131.0,1142.0,43.07%,,,,加工费,200.0,,,7.0,人工费,3405.0,,
19,项目19,2023/12/8,2007.0,207.0,122.0,207.0,117.0,207.0,157.0,132.0,1149.0,42.75%,,,,差旅费,100.0,,,1.0,加工费,5195.0,,
20,项目20,2023/12/9,2008.0,208.0,123.0,208.0,118.0,208.0,158.0,133.0,1156.0,42.43%,,,,其他费用,100.0,,,5.0,差旅费,4365.0,,
21,项目21,2023/12/10,2009.0,209.0,124.0,209.0,119.0,209.0,159.0,134.0,1163.0,42.11%,,,,合计费用,1190.0,,,6.0,其他费用,3437.0,,
22,项目22,2023/12/11,2010.0,210.0,125.0,210.0,120.0,210.0,160.0,135.0,1170.0,41.79%,,,,项目毛利率,40.50%,,,,,,,
23,项目23,2023/12/12,2011.0,211.0,126.0,211.0,121.0,211.0,161.0,136.0,1177.0,41.47%,,,,,,,,,项目名称,项目费用,,
24,项目24,2023/12/13,2012.0,212.0,127.0,212.0,122.0,212.0,162.0,137.0,1184.0,41.15%,,,,,,,,,加工费,5195.0,16.94%,83.06%
25,项目25,2023/12/14,2013.0,213.0,128.0,213.0,123.0,213.0,163.0,138.0,1191.0,40.83%,,,,,,,,,材料费用,4945.0,16.12%,83.88%
26,项目26,2023/12/15,2014.0,214.0,129.0,214.0,124.0,214.0,164.0,139.0,1198.0,40.52%,,,,,,,,,运输费用,4665.0,15.21%,84.79%
