激光切割报价成本分析表模板-材料,激光切割报价成本分析表模板-厚度,激光切割报价成本分析表模板-平均切割速度mm/min,激光切割报价成本分析表模板-切割用辅助气体,激光切割报价成本分析表模板-辅助气体每分钟成本(RMB),激光切割报价成本分析表模板-激光气体每分钟成本(RMB),激光切割报价成本分析表模板-功率(KW),激光切割报价成本分析表模板-电力每分钟成本(RMB),激光切割报价成本分析表模板-每分钟总成本(RMB),激光切割报价成本分析表模板-每米切割成本(RMB),激光切割报价成本分析表模板-镜片更换时间及成本
SPCC,1.0MM,9000,O2,0.127778,0.087778,26.4,0.44,0.66,0.07,0.04
SPCC,1.0MM,9500,N2,0.8111,0.087778,35.5,0.59167,1.49,0.16,0.04
SPCC,3.0MM,4200,O2,0.1278,0.087778,26.4,0.44,0.66,0.16,0.04
,3.0MM,3800,N2,1.1889,0.087778,36.9,0.615,1.89,0.5,0.04
SPCC,6.0MM,2800,O2,0.0667,0.087778,34.2,0.57,0.72,0.26,0.04
SPCC,9.0MM,2000,O2,0.0667,0.087778,35,0.58333,0.74,0.37,0.04
SPCC,12.0MM,1400,O2,0.0944,0.087778,35.5,0.59167,0.77,0.55,0.04
AL,1.2MM,10000,O2,0.1833,0.087778,29.7,0.495,0.77,0.08,0.04
AL,1.2MM,9000,N2,0.5611,0.087778,35.5,0.59167,1.24,0.14,0.04
AL,4MM,2600,N2,1.3333,0.087778,36.9,0.369,1.79,0.69,0.04
AL,5MM,2000,N2,2.2556,0.087778,36.9,0.369,2.71,1.36,0.04
SUS,1.0MM,9500,N2,0.9389,0.087778,35.5,0.59167,1.62,0.17,0.04
SUS,1.0MM,10000,O2,0.1833,0.087778,29.7,0.495,0.77,0.08,0.04
SUS,2.0MM,6500,N2,0.9389,0.087778,36.9,0.615,1.64,0.25,0.04
SUS,2.0MM,7900,O2,0.2222,0.087778,31.2,0.52,0.83,0.11,0.04
SUS,3.0MM,4200,N2,1.3611,0.087778,36.9,0.615,2.06,0.49,0.04
SUS,3.0MM,5800,O2,0.2444,0.087778,32.7,0.545,0.88,0.15,0.04
,,,,,,,,,,
,,激光气,Co2,0.087778,,,Co2: 400 per bottle,,,
,,,N2,,,N2: 70 per bottle,,,,
,,,He,,,He: 700 per bottle,,,,
,,切割气,O2,3.333333,per M3,,"RMB20 per bottle, 6 m3 per bottle",,,
,,,N2,3.333333,per M3,,"RMB20 per bottle, 6 m3 per bottle",,,
,,,,,,,,,,
,,电费,1,100 cents per KW,,,,,,
,,,,,,,,,,
,,镜片,5000,2000,hours per lens,,,,,
,,,,,,,,,,
服务收费,,260元/小时,"年保养合同35000元,包含全年保养费用和工程师交通住宿费用,配件除外.",,,,,,,
气体收费,,N2,300元/125KG,2.5元/KG,,,,,,
,,O2,390元/180KG,2.2元/KG,,,,,,
,,"包括气体管道安装费用20000元,配小罐",,,,,,,,
