工程项目收支管理表-工程项目收支管理表,工程项目收支管理表-工程项目收支管理表.1,工程项目收支管理表-工程项目收支管理表.2,工程项目收支管理表-工程项目收支管理表.3,工程项目收支管理表-工程项目收支管理表.4,今日日期-2024/2/18,总期初-53000.0,总收入-35693.0,总支出-2770.0,总结存金额-85923.0,Unnamed: 10
,,,,,,,,,,
日期,凭证号,业务摘要,分类,科目名称,项目或部门,期初金额,收入金额,支出金额,结存金额,经手人
2022/4/7,,期初金额,期初,,,50000.0,,,50000.0,曾四平
2022/4/7,,期初金额,期初,,,3000.0,,,53000.0,小李
2022/4/9,,工人工资,支出,人员工资,西岸银座,,,400.0,52600.0,小李
2022/4/10,,收王总工程款,收入,工程款,菁英趣庭,,1200.0,,53800.0,港婷婷
2022/4/11,,支付施工费,支出,施工费,新城汇电影院,,,345.0,53455.0,小李
2022/5/12,,支付水电费,其他,其他,汇龙苑,,,245.0,53210.0,港婷婷
2022/5/13,,租赁叉车收入,收入,工程款,宝银大众,,4500.0,,57710.0,曾四平
2022/5/14,,支付施工费,支出,施工费,无印良品,,,300.0,57410.0,辉煌
2022/5/15,,变卖剩余材料,其他,其他,赤灣,,5490.0,,62900.0,辉煌
2022/5/16,,员工伙食费,支出,施工费,山海逸居,,,240.0,62660.0,港婷婷
2022/5/17,,购买水果,支出,员工福利,海祥阁,,,560.0,62100.0,曾四平
2022/5/18,,其他收入,收入,其他收入,山语海苑,,500.0,,62600.0,辉煌
2022/5/19,,支付租车费,支出,租车费用,汇龙苑,,,680.0,61920.0,小李
2022/5/20,,其他收入,收入,其他收入,汇龙苑,,6000.0,,67920.0,港婷婷
2022/5/21,,收取工程款,收入,工程款,山语海苑,,6000.0,,73920.0,港婷婷
2022/5/22,,收取工程款,收入,工程款,汇龙苑,,6001.0,,79921.0,小李
2022/5/23,,收取工程款,收入,工程款,汇龙苑,,6002.0,,85923.0,辉煌
