序号,材料名称及规格型号,单位：元-单位,单位：元-2014年2季度综合信息价
钢  材,钢  材,钢  材,钢  材
1,低碳热轧盘条 HPB300 Φ6.5,t,3267.0
2,低碳热轧盘条 HPB300 Φ8,t,3267.0
3,低碳热轧盘条 HPB300 Φ10,t,3267.0
4,低碳热轧盘条 HPB300 Φ12,t,3217.0
5,低碳热轧盘条 HPB300 Φ14,t,3217.0
6,低碳热轧盘条 HPB300 Φ16,t,3217.0
7,热轧光圆钢筋 HPB300 Φ10,t,3377.0
8,热轧光圆钢筋 HPB300 Φ12,t,3327.0
9,热轧光圆钢筋 HPB300 Φ14,t,3327.0
10,热轧光圆钢筋 HPB300 Φ16,t,3327.0
11,热轧光圆钢筋 HPB300 Φ18,t,3477.0
12,热轧光圆钢筋 HPB300 Φ20,t,3477.0
13,热轧光圆钢筋 HPB300 Φ22,t,3477.0
14,热轧带肋钢筋 HRB400E Φ10,t,3627.0
15,热轧带肋钢筋 HRB400E Φ12,t,3577.0
16,热轧带肋钢筋 HRB400E Φ14,t,3577.0
17,热轧带肋钢筋 HRB400E Φ16,t,3327.0
18,热轧带肋钢筋 HRB400E Φ18,t,3327.0
19,热轧带肋钢筋 HRB400E Φ20,t,3327.0
20,热轧带肋钢筋 HRB400E Φ22,t,3327.0
21,热轧带肋钢筋 HRB400E Φ25,t,3327.0
22,热轧带肋钢筋 HRB400E Φ28,t,3607.0
23,热轧带肋钢筋 HRB400E Φ30,t,3607.0
24,热轧带肋钢筋 HRB400E Φ32,t,3607.0
25,热轧带肋钢筋 HRB400E Φ36以上,t,3707.0
26,热轧带肋钢筋 HRB500E Φ10,t,3877.0
27,热轧带肋钢筋 HRB500E Φ12,t,3827.0
28,热轧带肋钢筋 HRB500E Φ14,t,3827.0
29,热轧带肋钢筋 HRB500E Φ16,t,3577.0
30,热轧带肋钢筋 HRB500E Φ18,t,3577.0
31,热轧带肋钢筋 HRB500E Φ20,t,3577.0
32,热轧带肋钢筋 HRB500E Φ22,t,3577.0
33,热轧带肋钢筋 HRB500E Φ25,t,3577.0
34,热轧带肋钢筋 HRB500E Φ28,t,3857.0
35,热轧带肋钢筋 HRB500E Φ30,t,3857.0
36,热轧带肋钢筋 HRB500E Φ32,t,3857.0
37,热轧带肋钢筋 HRB500E Φ36以上,t,3957.0
38,带肋钢筋盘条 HRB335E Φ8,t,3527.0
39,带肋钢筋盘条 HRB335E Φ10-14,t,3527.0
40,带肋钢筋盘条 HRB400E Φ8,t,3777.0
41,带肋钢筋盘条 HRB400E Φ10-14,t,3777.0
44,冷轧带肋钢筋Φ5,t,3327.0
45,冷轧带肋钢筋Φ6,t,3327.0
46,冷轧带肋钢筋Φ7,t,3327.0
47,冷轧带肋钢筋Φ8,t,3327.0
48,冷轧带肋钢筋Φ9,t,3427.0
49,冷轧带肋钢筋Φ10,t,3427.0
型  材,型  材,型  材,型  材
50,热轧工字钢 I20a,t,4477.0
51,热轧工字钢 I25a,t,4477.0
52,热轧工字钢 I28a,t,4477.0
53,热轧槽钢 Q235 5,t,4037.0
54,热轧槽钢 Q235 8,t,4037.0
55,热轧槽钢 Q235 10,t,4037.0
56,热轧槽钢 Q235 12.6,t,4037.0
57,热轧槽钢 Q235 16a,t,4037.0
58,热轧槽钢 Q235 20,t,4037.0
59,热轧槽钢 Q235 28a,t,4037.0
60,热轧不等边角钢 Q235 63×40×4,t,3977.0
61,热轧不等边角钢 Q235 75×50×6,t,3977.0
62,热轧不等边角钢 Q235 80×50×6,t,3977.0
63,热轧不等边角钢 Q235 90×56×6,t,3977.0
64,热轧不等边角钢 Q235 100×60×10,t,3977.0
65,热轧不等边角钢 Q235 100×63×6,t,3977.0
66,热轧不等边角钢 Q235 100×63×8,t,3977.0
67,热轧不等边角钢 Q235 100×63×10,t,4187.0
68,热轧不等边角钢 Q235 100×75×10,t,4187.0
69,热轧不等边角钢 Q235 100×80×6,t,4187.0
70,热轧不等边角钢 Q235 100×80×7,t,4187.0
71,热轧不等边角钢 Q235 110×70×6,t,4187.0
72,热轧不等边角钢 Q235 110×70×8,t,4387.0
73,热轧不等边角钢 Q235 125×80×7,t,4387.0
74,热轧不等边角钢 Q235 125×80×8,t,4387.0
75,热轧不等边角钢 Q235 125×80×10,t,4387.0
76,热轧不等边角钢 Q235 140×90×10,t,4387.0
77,热轧不等边角钢 Q235 140×90×12,t,4387.0
78,热轧不等边角钢 Q235 160×100×10,t,4387.0
79,热轧不等边角钢 Q235 160×100×12,t,4387.0
80,热轧不等边角钢 Q235 180×110×10,t,4387.0
81,热轧不等边角钢 Q235 180×110×12,t,4387.0
82,热轧不等边角钢 Q235 200×125×12,t,4387.0
83,热轧等边角钢   Q235 20×3,t,3877.0
84,热轧等边角钢   Q235 25×3,t,3877.0
85,热轧等边角钢   Q235 25×4,t,3877.0
86,热轧等边角钢   Q235 30×3,t,3877.0
87,热轧等边角钢   Q235 30×4,t,3877.0
88,热轧等边角钢   Q235 32×4,t,3877.0
89,热轧等边角钢   Q235 32×6,t,3877.0
90,热轧等边角钢   Q235 35×4,t,3877.0
91,热轧等边角钢   Q235 36×4,t,3877.0
92,热轧等边角钢   Q235 40×3,t,3877.0
93,热轧等边角钢   Q235 40×4,t,3877.0
94,热轧等边角钢   Q235 40×5,t,3877.0
95,热轧等边角钢   Q235 45×4,t,3867.0
96,热轧等边角钢   Q235 45×5,t,3867.0
97,热轧等边角钢   Q235 45×6,t,3867.0
98,热轧等边角钢   Q235 50×4,t,3867.0
99,热轧等边角钢   Q235 50×5,t,3867.0
100,热轧等边角钢   Q235 50×6,t,3867.0
101,热轧等边角钢   Q235 56×5,t,3847.0
102,热轧等边角钢   Q235 56×6,t,3847.0
103,热轧等边角钢   Q235 56×8,t,3847.0
104,热轧等边角钢   Q235 63×5,t,3837.0
105,热轧等边角钢   Q235 63×6,t,3837.0
106,热轧等边角钢   Q235 70×5,t,3837.0
107,热轧等边角钢   Q235 70×6,t,3837.0
108,热轧等边角钢   Q235 75×5,t,3837.0
109,热轧等边角钢   Q235 75×6,t,3837.0
110,热轧等边角钢   Q235 75×8,t,3837.0
111,热轧等边角钢   Q235 80×5,t,4037.0
112,热轧等边角钢   Q235 80×6,t,4037.0
113,热轧等边角钢   Q235 80×7,t,4037.0
114,热轧等边角钢   Q235 90×6,t,4037.0
115,热轧等边角钢   Q235 90×8,t,4037.0
116,热轧等边角钢   Q235 90×10,t,4037.0
117,热轧等边角钢   Q235 100×7,t,4037.0
118,热轧等边角钢   Q235 100×10,t,4037.0
119,热轧等边角钢   Q235 100×16,t,4037.0
120,热轧等边角钢   Q235 110×8,t,4037.0
121,热轧等边角钢   Q235 125×14,t,4037.0
122,热轧扁钢 Q235 12×4,t,3857.0
123,热轧扁钢 Q235 14×3,t,3857.0
124,热轧扁钢 Q235 14×4,t,3857.0
125,热轧扁钢 Q235 14×5,t,3857.0
126,热轧扁钢 Q235 14×6,t,3857.0
127,热轧扁钢 Q235 16×4,t,3857.0
128,热轧扁钢 Q235 20×3,t,3857.0
129,热轧扁钢 Q235 20×4,t,3857.0
130,热轧扁钢 Q235 24×4,t,3857.0
131,热轧扁钢 Q235 25×3,t,3857.0
132,热轧扁钢 Q235 25×4,t,3857.0
133,热轧扁钢 Q235 25×5,t,3857.0
134,热轧扁钢 Q235 25×6,t,3857.0
135,热轧扁钢 Q235 30×3,t,3857.0
136,热轧扁钢 Q235 30×4,t,3857.0
137,热轧扁钢 Q235 30×5,t,3857.0
138,热轧扁钢 Q235 30×6,t,3857.0
139,热轧扁钢 Q235 32×4,t,3857.0
140,热轧扁钢 Q235 35×4,t,3857.0
141,热轧扁钢 Q235 36×6,t,3857.0
142,热轧扁钢 Q235 40×4,t,3857.0
143,热轧扁钢 Q235 40×5,t,3857.0
144,热轧扁钢 Q235 40×6,t,3857.0
145,热轧扁钢 Q235 45×4,t,3857.0
146,热轧扁钢 Q235 50×4,t,3857.0
147,热轧扁钢 Q235 50×5,t,3857.0
148,热轧扁钢 Q235 50×6,t,3857.0
149,热轧扁钢 Q235 60×6,t,3857.0
150,热轧扁钢 Q235 65×5,t,3857.0
151,热轧扁钢 Q235 70×4,t,3857.0
152,热轧扁钢 Q235 100×10,t,3857.0
153,冷轧普通钢板 Q235 δ1,t,4487.0
154,热轧普通钢板 Q235 δ1.5,t,4137.0
155,热轧普通钢板 Q235 δ2,t,3887.0
156,热轧普通钢板 Q235 δ3,t,3937.0
157,热轧普通钢板 Q235 δ4,t,3837.0
158,热轧普通钢板 Q235 δ5,t,3837.0
159,热轧普通钢板 Q235 δ6,t,3837.0
160,热轧普通钢板 Q235 δ8,t,3837.0
161,热轧普通钢板 Q235 δ10,t,3837.0
162,热轧普通钢板 Q235 δ12,t,3837.0
163,热轧普通钢板 Q235 δ14,t,3837.0
164,热轧普通钢板 Q235 δ16,t,3837.0
165,热轧普通钢板 Q235 δ18,t,3837.0
166,热轧普通钢板 Q235 δ20,t,3837.0
167,热轧普通钢板 Q235 δ24,t,3837.0
168,热轧普通钢板 Q235 δ25,t,3837.0
169,热轧普通钢板 Q235 δ28,t,4087.0
170,热轧普通钢板 Q235 δ30,t,4087.0
171,热轧普通钢板 Q235 δ35,t,4087.0
172,热轧普通钢板 Q235 δ40,t,4137.0
173,热轧普通钢板 Q235 δ42,t,4137.0
174,热轧普通钢板 Q235 δ45,t,4137.0
175,热轧普通钢板 Q235 δ50,t,4237.0
176,热轧普通钢板 Q235 δ60,t,4237.0
水  泥,水  泥,水  泥,水  泥
177,复合硅酸盐水泥（R）32.5,t,310.0
178,普通硅酸盐水泥（R）42.5,t,410.0
179,普通硅酸盐水泥（R）52.5,t,620.0
混 凝 土,混 凝 土,混 凝 土,混 凝 土
180,商品混凝土C10 （泵送）,m3,360.0
181,商品混凝土C15 （泵送）,m3,380.0
182,商品混凝土C20 （泵送）,m3,400.0
183,商品混凝土C25 （泵送）,m3,430.0
184,商品混凝土C30 （泵送）,m3,450.0
185,商品混凝土C35 （泵送）,m3,500.0
186,商品混凝土C40 （泵送）,m3,520.0
187,商品混凝土C45 （泵送）,m3,525.0
188,商品混凝土C50 （泵送）,m3,550.0
189,商品混凝土C55 （泵送）,m3,580.0
190,商品混凝土C60 （泵送）,m3,610.0
191,沥青混凝土  AC-13,t,472.0
192,沥青混凝土  AC-16,t,443.0
193,沥青混凝土  AC-20,t,412.0
194,沥青混凝土  AC-25,t,378.0
195,改性沥青混凝土 SMA-13 (掺聚脂或木质素),t,819.0
196,改性沥青混凝土 SMA-16 (掺聚脂或木质素）,t,766.0
砖 砂 石,砖 砂 石,砖 砂 石,砖 砂 石
197,纯陶粒空心砌块,m3,250.0
198,加气混凝土砌块,m3,250.0
199,多孔砖,千块,600.0
200,砌筑砂,m3,40.0
201,抹面砂,m3,42.0
202,砾石,m3,44.0
203,砾石 10mm,m3,44.0
204,砾石 10mm以内,m3,44.0
205,砾石 20mm,m3,44.0
206,砾石 20mm以内,m3,44.0
207,砾石 40mm,m3,42.0
208,砾石 40mm以内,m3,42.0
209,碎石 5mm,m3,44.0
210,碎石 10mm,m3,44.0
211,碎石 15mm,m3,44.0
212,碎石 20mm,m3,44.0
213,碎石 25mm,m3,44.0
214,碎石 30mm,m3,44.0
215,碎石 40mm,m3,42.0
216,碎石 50mm,m3,42.0
217,碎石 60mm,m3,42.0
218,碎石 70mm,m3,42.0
219,稳定土  4.0%,t,75.0
220,稳定土  4.5%,t,77.0
221,稳定土  5.0%,t,80.0
门  窗,门  窗,门  窗,门  窗
222,60系列单框双玻塑钢平开窗（白色）（注1）,m2,275.0
223,60系列单框双玻塑钢平开窗（彩色）,m2,296.0
224,65系列单框双玻塑钢平开窗（白色）,m2,317.0
225,65系列单框双玻塑钢平开窗（彩色）,m2,338.0
226,65系列单框三玻塑钢平开窗（白色）,m2,348.0
227,65系列单框三玻塑钢平开窗（彩色）,m2,370.0
228,65系列单框双玻断桥隔热铝合金平开窗 (注2),m2,575.0
229,65系列单框三玻断桥隔热铝合金平开窗,m2,670.0
230,65系列单框双玻断桥隔热铝合金平开门,m2,1161.0
231,三元乙丙胶条,kg,23.0
保 温 材 料,保 温 材 料,保 温 材 料,保 温 材 料
232,阻燃性B1级聚苯板 干密度≥22%kg/m3,m3,463.0
233,阻燃性B1级挤塑板 干密度≥32%kg/m3,m3,790.0
235,保温粘结砂浆 聚合物胶粉≥2.5%,t,1735.0
236,保温抹面砂浆 聚合物胶粉≥2.5%,t,1790.0
