项目,贝塔值-（威布尔形状因子）-低,贝塔值-（威布尔形状因子）-典型,贝塔值-（威布尔形状因子）-高,埃塔值-（威布尔特征寿命-小时）-低,埃塔值-（威布尔特征寿命-小时）-典型,埃塔值-（威布尔特征寿命-小时）-高
组件,,,,,,
球轴承,0.7,1.3,3.5,14000.0,40000.0,250000.0
滚子轴承,0.7,1.3,3.5,9000.0,50000.0,125000.0
含油轴承,0.7,1.0,3.0,10000.0,50000.0,143000.0
传动皮带,0.5,1.2,2.8,9000.0,30000.0,91000.0
波纹管，液压,0.5,1.3,3.0,14000.0,50000.0,100000.0
螺栓,0.5,3.0,10.0,125000.0,300000.0,100000000.0
离合器，摩擦,0.5,1.4,3.0,67000.0,100000.0,500000.0
离合器，磁性材料,0.8,1.0,1.6,100000.0,150000.0,333000.0
联轴器,0.8,2.0,6.0,25000.0,75000.0,333000.0
联轴器齿轮,0.8,2.5,4.0,25000.0,75000.0,1250000.0
液压缸,1.0,2.0,3.8,9000000.0,900000.0,200000000.0
金属膜片,0.5,3.0,6.0,50000.0,65000.0,500000.0
橡胶膜片,0.5,1.1,1.4,50000.0,60000.0,300000.0
液压垫圈,0.5,1.1,1.4,700000.0,75000.0,3300000.0
油过滤器,0.5,1.1,1.4,20000.0,25000.0,125000.0
齿轮,0.5,2.0,6.0,33000.0,75000.0,500000.0
叶轮,0.5,2.5,6.0,125000.0,150000.0,1400000.0
接头，机械,0.5,1.2,6.0,1400000.0,150000.0,10000000.0
刃形支轴,0.5,1.0,6.0,1700000.0,2000000.0,16700000.0
内胆,0.5,1.8,3.0,20000.0,50000.0,300000.0
螺帽,0.5,1.1,1.4,14000.0,50000.0,500000.0
弹性“O”型圈,0.5,1.1,1.4,5000.0,20000.0,33000.0
填料,0.5,1.1,1.4,5000.0,20000.0,33000.0
销,0.5,1.4,5.0,17000.0,50000.0,170000.0
转轴,0.5,1.4,5.0,300000.0,400000.0,1400000.0
活塞发动机,0.5,1.4,3.0,20000.0,75000.0,170000.0
泵用润滑,0.5,1.1,1.4,13000.0,50000.0,125000.0
机械密封装置,0.8,1.4,4.0,3000.0,25000.0,50000.0
泵轴,0.8,1.2,3.0,50000.0,50000.0,300000.0
弹簧,0.5,1.1,3.0,14000.0,25000.0,5000000.0
振动挂载,0.5,1.1,2.2,17000.0,50000.0,200000.0
泵耐磨环,0.5,1.1,4.0,10000.0,50000.0,90000.0
阀门,0.5,1.4,4.0,3000.0,40000.0,80000.0
,,,,,,
机械设备,,,,,,
断路器,0.5,1.5,3.0,67000.0,100000.0,1400000.0
离心式压缩机,0.5,1.9,3.0,20000.0,60000.0,120000.0
压缩机叶片,0.5,2.5,3.0,400000.0,800000.0,1500000.0
压缩机静叶,0.5,3.0,4.0,500000.0,1000000.0,2000000.0
膜片联轴器,0.5,2.0,4.0,125000.0,300000.0,600000.0
刀片/叶片,1.2,2.5,6.6,10000.0,250000.0,300000.0
燃气机,0.9,1.6,2.7,10000.0,125000.0,160000.0
交流电机,0.5,1.2,3.0,1000.0,100000.0,200000.0
直流电机,0.5,1.2,3.0,100.0,50000.0,100000.0
离心泵,0.5,1.2,3.0,1000.0,35000.0,125000.0
蒸汽涡轮机,0.5,1.7,3.0,11000.0,65000.0,170000.0
汽轮机导叶,0.5,2.5,3.0,400000.0,800000.0,1500000.0
汽轮机叶片,0.5,3.0,3.0,500000.0,900000.0,1800000.0
变压器,0.5,1.1,3.0,14000.0,200000.0,14200000.0
,,,,,,
仪表,,,,,,
气动控制器,0.5,1.1,2.0,1000.0,25000.0,1000000.0
固态控制器,0.5,0.7,1.1,20000.0,100000.0,200000.0
控制阀,0.5,1.0,2.0,14000.0,100000.0,333000.0
电动阀,0.5,1.1,3.0,17000.0,25000.0,1000000.0
电磁阀,0.5,1.1,3.0,50000.0,75000.0,1000000.0
传感器,0.5,1.0,3.0,11000.0,20000.0,90000.0
变送器,0.5,1.0,2.0,100000.0,150000.0,1100000.0
温度指标,0.5,1.0,2.0,140000.0,150000.0,3300000.0
压力指标,0.5,1.2,3.0,110000.0,125000.0,3300000.0
流量仪表,0.5,1.0,3.0,100000.0,125000.0,10000000.0
液位仪表,0.5,1.0,3.0,14000.0,25000.0,500000.0
电气 - 机械零件,0.5,1.0,3.0,13000.0,25000.0,1000000.0
,,,,,,
静电设备,,,,,,
锅炉冷凝器,0.5,1.2,3.0,11000.0,50000.0,3300000.0
压力容器,0.5,1.5,6.0,1250000.0,2000000.0,33000000.0
过滤器,0.5,1.0,3.0,5000000.0,5000000.0,200000000.0
止回阀,0.5,1.0,3.0,100000.0,100000.0,1250000.0
安全阀,0.5,1.0,3.0,100000.0,100000.0,1000000.0
,,,,,,
服务液体,,,,,,
冷却液,0.5,1.1,2.0,11000.0,15000.0,33000.0
润滑油，螺杆,0.5,1.1,3.0,11000.0,15000.0,40000.0
润滑油，矿物,0.5,1.1,3.0,3000.0,10000.0,25000.0
润滑油，合成,0.5,1.1,3.0,33000.0,50000.0,250000.0
润滑脂,0.5,1.1,3.0,7000.0,10000.0,33000.0
