仓库最终盘点表-材料分类,仓库最终盘点表-序号,仓库最终盘点表-材料名称,仓库最终盘点表-规格/型号,仓库最终盘点表-单价,仓库最终盘点表-单位,仓库最终盘点表-数量,仓库最终盘点表-返仓,仓库最终盘点表-使用中,仓库最终盘点表-库存,仓库最终盘点表-金额,仓库最终盘点表-供应商名称,仓库最终盘点表-可调配,仓库最终盘点表-备注
水电材料,1,防水插座盒,86*86,,个,79,,,79,￥0.00,友源机电设备,,
水电材料,2,五孔插座,10A,￥9.80,个,100,,,100,￥980.00,友源机电设备,,
水电材料,3,三联单控开关,10A,￥14.80,个,30,,,30,￥444.00,友源机电设备,,
水电材料,4,双联单控开关,10A,￥10.00,个,30,,,30,￥300.00,友源机电设备,,
水电材料,5,消防应急灯,,￥73.00,个,28,,,28,"￥2,044.00",伟普五金,,
水电材料,6,T5灯管,8W 0.3米,￥14.14,支,270,,,270,"￥3,817.80",联想工程灯饰,,
水电材料,7,T5灯管,14W  0.6米,￥17.19,支,16,,,16,￥275.04,联想工程灯饰,,
水电材料,8,花洒（美标）,,￥328.00,套,4,,4,0,￥0.00,网上订购,,未入公司台账
水电材料,9,冷热阀,,￥578.00,个,7,,7,0,￥0.00,网上订购,,未入公司台账
水电材料,10,感应龙头,cf-8601.000,"￥1,550.00",个,10,,,10,"￥15,500.00",熊静,,
水电材料,11,包胶软管,￠16,￥2.20,米,1279,,,1279,"￥2,813.80",何兆玉建材,,
水电材料,12,镀锌线盒,86H50,￥1.40,个,1800,,,1800,"￥2,520.00",何兆玉建材,,
水电材料,13,灯盘,1200*600,￥163.00,套,20,,,20,"￥3,260.00",科凌斯科技,,
水电材料,14,灯盘,600*600,￥100.00,套,2,,,2,￥200.00,科凌斯科技,,
水电材料,15,灯盘,1200*300,￥80.00,套,8,,,8,￥640.00,科凌斯科技,,
水电材料,16,T5灯管,21W 0.9米,￥18.42,套,120,,,120,"￥2,210.40",科凌斯科技,,
水电材料,17,T5灯管,28W 1.2米,￥19.64,套,600,,,600,"￥11,784.00",科凌斯科技,,
水电材料,18,5寸双螺筒灯,2*11W,￥42.34,套,108,,,108,"￥4,572.72",科凌斯科技,,
水电材料,19,吸顶灯,22W,￥27.97,个,10,,,10,￥279.70,科凌斯科技,,
水电材料,20,松凌换气扇,250,￥78.00,个,4,,,4,￥312.00,科凌斯科技,,
水电材料,21,洗手盆（美标）,cp-0470.200,￥418.00,个,11,,,11,"￥4,598.00",熊静,,
水电材料,22,一通线管,￠20,￥5.27,米,672,,,672,"￥3,541.44",何兆玉建材,,
水电材料,23,NH-BV电线（双色）,2.5m㎡,￥261.00,卷,8,,,8,"￥2,088.00",南方阻燃电线厂,,
水电材料,24,NH-BV电线（红）,2.5m㎡,￥253.00,卷,3,,,3,￥759.00,南方阻燃电线厂,,
水电材料,25,NH-BV电线（黄）,2.5m㎡,￥253.00,卷,3,,,3,￥759.00,南方阻燃电线厂,,
水电材料,26,NH-BV电线（蓝）,2.5m㎡,￥253.00,卷,6,,,6,"￥1,518.00",南方阻燃电线厂,,
水电材料,27,NH-BV电线（绿）,2.5m㎡,￥253.00,卷,2,,,2,￥506.00,南方阻燃电线厂,,
水电材料,28,一通线管,￠25,￥6.94,米,1008,,,1008,"￥6,995.52",何兆玉建材,,
装饰材料,29,天花减震吊钩,DT-JY-50,￥8.00,个,840,,,840,"￥6,720.00",青岛宜美佳五金经营部,,
装饰材料,30,墙面减震吊钩,,￥6.80,个,6,,,6,￥40.80,青岛宜美佳五金经营部,,
装饰材料,31,拉法基纸带,1箱/10卷,￥10.00,卷,30,,,30,￥300.00,普菲可特科技,,
装饰材料,32,拉法基金属纸带,1箱/10卷,￥95.00,卷,50,,,50,"￥4,750.00",普菲可特科技,,
装饰材料,33,铰链,中弯,￥15.50,个,107,,,107,"￥1,658.50",普菲可特科技,,
装饰材料,34,铰链,直弯,￥15.50,个,28,,,28,￥434.00,普菲可特科技,,
装饰材料,35,门吸,,￥22.00,个,88,,,88,"￥1,936.00",重庆模块家建,,
装饰材料,36,暗插销,,￥23.00,个,31,,,31,￥713.00,重庆模块家建,,
装饰材料,37,刮削钻尾螺丝,4.8*50,￥56.00,盒,54,,,54,"￥3,024.00",伟普五金,,
装饰材料,38,墙板钉,3.5*20,￥26.00,盒,27,,,27,￥702.00,伟普五金,,
装饰材料,39,墙板钉,3.5*50,￥26.00,盒,252,,,252,"￥6,552.00",伟普五金,,
装饰材料,40,植筋胶,,￥150.00,件,2,,,2,￥300.00,济海贸易,,
装饰材料,41,原子灰,3Kg,￥35.00,桶,6,,,6,￥210.00,嘉宝莉装卖店,,
装饰材料,42,阿姆斯壮矿棉板,600*600,￥43.50,m²,90.72,,,90.72,"￥3,946.32",通远达建材,,
装饰材料,43,中性透明玻璃胶,,￥9.50,支,228,,,228,"￥2,166.00",通远达建材,,
装饰材料,44,铝箔胶带,8cm,￥13.30,卷,11,,,11,￥146.30,伟普五金,,
装饰材料,45,金色铆钉,80mm,￥10.50,个,91,,,91,￥955.50,上海五金,,
装饰材料,46,金色铆钉,40mm,￥3.00,个,98,,,98,￥294.00,上海五金,,
装饰材料,47,隔声毡,10米*1.24米,￥102.00,m²,1029,,,1029,"￥104,958.00",天盛恒达,,
装饰材料,48,浅色金丝柚条形吸音板,2440*128*15,￥170.00,m²,16.8,,,16.8,"￥2,856.00",众友建材,,
装饰材料,49,深色金丝柚条形吸音板,2440*128*15,￥170.00,m²,43.8,,,43.8,"￥7,446.00",众友建材,,
装饰材料,50,阿姆斯壮付骨,600*240*25,￥2.50,支,840,,,840,"￥2,100.00",通远达建材,,
装饰材料,51,阿姆斯壮主骨,3000*24*25,￥14.00,支,20,,,20,￥280.00,通远达建材,,
装饰材料,52,木饰线条,2*4,￥2.50,米,128,,,128,￥320.00,雨竹家具经营部,,
装饰材料,53,保温钉,,,套,4000,,,4000,￥0.00,,,
装饰材料,54,六角钻尾螺丝,4.8*3.5,￥56.00,盒,4,,,4,￥224.00,伟普五金,,
装饰材料,55,穿孔铝板,1200*2400,￥330.00,m²,14.8,,,14.8,"￥4,884.00",美固雅特,,
装饰材料,56,防火涂料,（20kg）饰面型,￥305.00,桶,27,,,27,"￥8,235.00",嘉宝莉专卖店,,
装饰材料,57,防火涂料,（20kg）钢结构,￥305.00,桶,2,,,2,￥610.00,嘉宝莉专卖店,,
装饰材料,58,沥青清漆,,,桶,20,,,20,￥0.00,,,
装饰材料,59,黑色乳胶漆,黑色,￥150.00,桶,3,,,3,￥450.00,嘉宝莉专卖店,,
装饰材料,60,三峡油漆,硝基万用清漆,￥333.00,桶,3,,,3,￥999.00,嘉宝莉专卖店,,
装饰材料,61,易施宝,防水涂料,,套,10,,,10,￥0.00,,,
装饰材料,62,镀锌筛网,900mm宽,￥72.50,卷,70,,,70,"￥5,075.00",伟普五金,,
装饰材料,63,防火板,1220*2440,￥45.00,张,2,,,2,￥90.00,雨竹家具经营部,,
装饰材料,64,拉法基主连,50,￥0.35,个,448,,,448,￥156.80,普菲可特科技,,包装有名直接
装饰材料,65,拉法基付连,50,￥0.20,个,587,,,587,￥117.40,普菲可特科技,,包装有名付接
装饰材料,66,龙骨平水件,50,￥0.12,个,5545,,,5545,￥665.40,普菲可特科技,,
装饰材料,67,支撑卡,100,￥0.50,个,1080,,,1080,￥540.00,普菲可特科技,,
装饰材料,68,龙骨付挂,50,￥0.40,个,1500,,,1500,￥600.00,普菲可特科技,,
装饰材料,69,静电地板支撑杆,580mm长,,支,380,,,380,￥0.00,,,
临时用电材料,70,漏电断路器,3p+N/63A,,个,1,,,1,￥0.00,,,
临时用电材料,71,漏电断路器,3p/40A,,个,9,,,9,￥0.00,,,
临时用电材料,72,漏电断路器,3p+N/100A,,个,11,,,11,￥0.00,,,
临时用电材料,73,漏电断路器,3p/63A,,个,3,,,3,￥0.00,,,
临时用电材料,74,漏电接头,,,个,14,,,14,￥0.00,,,
临时用电材料,75,漏电断路器,3p/100A,,个,4,,,4,￥0.00,,,
临时用电材料,76,漏电断路器,3p+N/100A,,个,1,,,1,￥0.00,,,
临时用电材料,77,电箱插座,16A,,个,5,,,5,￥0.00,,,
临时用电材料,78,金卤灯镇流器,400W,,个,1,,,1,￥0.00,,,
临时用电材料,79,风扇,650#,,套,31,,,31,￥0.00,,,
