序号,竞争品牌及机型市场调查-类别,竞争品牌及机型市场调查-品牌,竞争品牌及机型市场调查-机型,竞争品牌及机型市场调查-工作重量（kg）,竞争品牌及机型市场调查-斗容（m3）,竞争品牌及机型市场调查-发动机-型号,竞争品牌及机型市场调查-发动机-功率（kw/rpm）,竞争品牌及机型市场调查-无尾型,竞争品牌及机型市场调查-大臂侧转,竞争品牌及机型市场调查-产地-进口／合资／国产,竞争品牌及机型市场调查-市场价（万）,竞争品牌及机型市场调查-代理价（万）,竞争品牌及机型市场调查-服务费（万）,竞争品牌及机型市场调查-返利政策（万）,竞争品牌及机型市场调查-商务条件,竞争品牌及机型市场调查-备注
1,日本系,小松,PC35,3620,0.11,ISUZU AA-3LD2,23.5/2450,YES,YES,国产,31.5,29,0.65,"2%返利额度,与市场占有率、目标达成率相挂钩。","*光大30％首付，二至三年按揭                     *代理商实施授信额度，分期销售                           *首付20%,三年融资租赁.",山东济宁产
2,日本系,小松,PC50,5420,0.2,小松4D88E-5,29.4/2350,YES,NO,国产,停产,34.8(停产),0.65,"2%返利额度,与市场占有率、目标达成率相挂钩。","*光大30％首付，二至三年按揭                     *代理商实施授信额度，分期销售                           *首付20%,三年融资租赁.",山东济宁产
3,日本系,小松,PC55,5420,0.2,小松4D88E-5,29.4/2350,YES,NO,国产,37.5,34.8,0.65,"2%返利额度,与市场占有率、目标达成率相挂钩。","*光大30％首付，二至三年按揭                     *代理商实施授信额度，分期销售                           *首付20%,三年融资租赁.",山东济宁产
4,日本系,小松,PC60-7,6300/6460,0.28,小松4D95LE,40/2100,NO,NO,国产,43,38.6,0.65,"2%返利额度,与市场占有率、目标达成率相挂钩。","*光大30％首付，二至三年按揭                     *代理商实施授信额度，分期销售                           *首付20%,三年融资租赁.",山东济宁产
5,日本系,小松,PC60-7B,6300/6460,0.28,小松4D95LE,40/2100,NO,NO,国产,46,40.5,0.65,"2%返利额度,与市场占有率、目标达成率相挂钩。","*光大30％首付，二至三年按揭                     *代理商实施授信额度，分期销售                           *首付20%,三年融资租赁.",仅增加推土板/济宁产
6,日本系,日立,ZX35U,3620,0.11,ISUZU AA-3LD2,23.5/2450,YES,YES,,32,28,0.5,"返利额度:2万/台,与市场占有率、目标达成率相挂钩。",*光大30％首付，2-3年按揭                     *代理商实施授信额度，分期销售,进口机量已很少
7,日本系,日立,ZX55U,5380,0.2,ISUZU CC-4LE2,33.1/2400,YES,YES,进口/国产,38,34(进口加5万),0.5,"返利额度:2万/台,与市场占有率、目标达成率相挂钩。",*光大30％首付，2-3年按揭                     *代理商实施授信额度，分期销售,进口机量已很少
8,日本系,日立,ZX70,6510,0.3,ISUZU CC-4JG1,40.5/2100,NO,NO,进口/国产,44,40(进口加5万),0.5,"返利额度:2万/台,与市场占有率、目标达成率相挂钩。",*光大30％首付，2-3年按揭                     *代理商实施授信额度，分期销售,进口机量已很少
9,日本系,神钢,SK35SR,3720,0.11,3TNV88,21.2/2300,YES,YES,进口,,,,,*光大按揭30%首付，2-3年按揭（10%额度的分期，降低首付）               *中国水电水电提供3年融资租赁,
10,日本系,神钢,SK55UR,5260,0.21,4TNV88,30.4/2400,YES,YES,进口,,,,,*光大按揭30%首付，2-3年按揭（10%额度的分期，降低首付）               *中国水电水电提供3年融资租赁,
11,日本系,神钢,SK70,6700/6925,0.28,ISUZU CC-4JG1,40.5/2100,YES,YES,进口,,,,,*光大按揭30%首付，2-3年按揭（10%额度的分期，降低首付）               *中国水电水电提供3年融资租赁,
12,日本系,久保田,U35-3,3480,0.13,D1503-KA,20.6/2300,YES,YES,进口,30,26,0.4,"*返利基数0.5万/台,依达成率.                          *代理商的销售人员0.3万/台奖金","*依代理商能力在当地开通，厂家提供债权担保及银行保函              *东林融资租赁已开通，日新融资开通中(华东)               *试用机制度                      *部分代理商50%首付,1年分期",
13,日本系,久保田,U50-3,5115,0.19,V2203KA,29.4/2250,YES,YES,进口,38,33.5,0.4,"*返利基数0.5万/台,依达成率.                          *代理商的销售人员0.3万/台奖金","*依代理商能力在当地开通，厂家提供债权担保及银行保函              *东林融资租赁已开通，日新融资开通中(华东)               *试用机制度                      *部分代理商50%首付,1年分期",
14,日本系,久保田,U161-3,5675,0.22,V2403-M,34.6/2200,YES,YES,进口,40.5,36,0.4,"*返利基数0.5万/台,依达成率.                          *代理商的销售人员0.3万/台奖金","*依代理商能力在当地开通，厂家提供债权担保及银行保函              *东林融资租赁已开通，日新融资开通中(华东)               *试用机制度                      *部分代理商50%首付,1年分期",
