生产物料/原材料入库明细表-登记日期,生产物料/原材料入库明细表-入库批次号,生产物料/原材料入库明细表-产品编码,生产物料/原材料入库明细表-类别,生产物料/原材料入库明细表-产品名称,生产物料/原材料入库明细表-产品规格,生产物料/原材料入库明细表-数量,生产物料/原材料入库明细表-供货方,生产物料/原材料入库明细表-供货联系人,生产物料/原材料入库明细表-采购人,生产物料/原材料入库明细表-验货人,生产物料/原材料入库明细表-入库经办人
2016/1/1,20160101001,A0005,原材料,甲,20*30,23,公司A,张三,***,***,***
2016/1/2,20160102001,A0003,辅料,乙,20*31,24,公司C,李四,***,***,***
2016/2/3,20160203001,B0001,配件,丙1,20*32,25,自产,王五,***,***,***
2016/3/4,20160304001,B0002,配件,丙2,20*33,26,公司C,赵六,***,***,***
2016/3/5,20160305001,B0003,配件,丙3,20*34,27,公司D,韩七,***,***,***
2016/4/27,20160427001,A0005,原材料,甲,20*30,28,公司A,张三,***,***,***
2016/5/4,20160504001,A0003,辅料,乙,20*31,29,公司C,李四,***,***,***
2016/6/6,20160606001,B0002,配件,丙2,20*33,30,公司E,陶十,***,***,***
2016/9/7,20160907001,B0003,配件,丙3,20*34,31,公司D,韩七,***,***,***
2016/12/9,20161209001,B0003,配件,丙3,20*34,32,公司D,韩七,***,***,***
2016/12/9,20161209002,A0005,原材料,甲,20*30,33,公司B,牛人,***,***,***
2016/8/17,20160817001,A0005,原材料,甲,20*30,33,公司B,牛人,***,***,***
2016/10/18,20161018001,A0005,原材料,甲,20*30,33,公司B,牛人,***,***,***
2016/12/12,20161212002,A005,原材料,甲,20*30,33,公司B,牛人,***,***,***
