序号-序号,项目名称-项目名称,夯扩桩工程量-数量(根),夯扩桩工程量-桩长(m),夯扩桩工程量-桩径(m),夯扩桩工程量-合计(m3),单价(元/m3)-单价(元/m3),合价(万元)-合价(万元),楼座建筑面积-楼座建筑面积,单方指标(元/m2)-单方指标(元/m2),备注-备注
1,5 层住宅(19#地块)    6栋,336.0,22.0,0.45,1576.48,1050.0,165.53,10314.0,160.49,
2,7 层住宅(19#地块)    5栋,295.0,22.0,0.45,1479.63,1050.0,155.36,9750.0,159.34,
3,8 层住宅(08#地块),536.0,22.0,0.45,2153.26,1050.0,226.09,15514.0,145.73,加入配套商业126根
4,9 层住宅(08#地块),672.0,22.0,0.45,3057.57,1050.0,321.04,28483.0,112.71,
5,8 层住宅(19#地块),329.0,22.0,0.45,1638.47,1050.0,172.04,10336.0,166.45,
6,9 层住宅(19#地块),1187.0,22.0,0.45,9293.71,1050.0,975.84,49648.0,196.55,
7,7 层板楼住宅         1栋,113.0,22.0,0.45,287.99,1050.0,30.24,4492.0,67.32,
8,9 层板楼住宅         1栋,172.0,22.0,0.45,575.06,1050.0,60.38,8112.0,74.43,
9,11层板楼住宅         3栋,423.0,22.0,0.45,1792.83,1050.0,188.25,21427.0,87.86,
10,13~15层板楼住宅     1/3栋,493.0,22.0,0.45,1973.9,1050.0,207.26,35328.0,58.67,
11,人防车库,1687.0,22.0,0.5,8179.95,1050.0,858.89,31423.0,273.33,
12,非人防车库,1687.0,22.0,0.5,8179.95,1050.0,858.89,31423.0,273.33,
11,,,,,,,4219.82,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
