楼层-楼层,Unnamed: 1,构件名称-构件名称,工程量名称-地面积(m2),工程量名称-块料地面积(m2),工程量名称-地面周长(m),工程量名称-水平防水面积(m2),工程量名称-立面防水面积(小于最低立面防水高度)(m2)
第-1层,,05J1-12地1,23.1094,23.1094,30.24,23.1768,0.0
第-1层,,地1[地下戊类储藏室],876.5965,876.5965,250.62,883.4893,0.0
第-1层,,05J1-24地69[配电室],267.3581,267.3581,158.16,268.9162,0.0
第-1层,,05J1-12地1[管井、储藏间],2.7262,2.7262,9.68,3.0912,0.0
第-1层,,05J1-14地25[楼梯间],73.7677,73.7677,66.6,75.9468,0.0
第-1层,,采光井地面,3.441,3.441,13.31,7.434,3.993
第-1层,,小计,1246.9989,1246.9989,528.61,1262.0543,3.993
首层,,05J1-26楼1[管井间],2.9134,2.9134,10.0,0.0,0.0
首层,,楼2（卫生间楼面）[卫生间],34.5491,34.5491,47.16,48.8344,12.8954
首层,,O5J1-28楼13[楼梯间],74.4193,74.4193,66.6,0.0,0.0
首层,,O5J1-30楼21[消防控制室],34.9163,34.9163,24.7,0.0,0.0
首层,,楼1[营业厅],1071.3142,1071.3142,172.025,0.0,0.0
首层,,小计,1218.1123,1218.1123,320.485,48.8344,12.8954
第2层,,05J1-26楼1[管井间],2.879,2.879,9.9,0.0,0.0
第2层,,楼2（卫生间楼面）[卫生间],34.601,34.601,47.16,48.7845,12.8455
第2层,,O5J1-28楼13[楼梯间],50.3138,50.3138,44.3,0.0,0.0
第2层,,楼1[营业厅],1157.934,1157.934,161.45,0.0,0.0
第2层,,小计,1245.7278,1245.7278,262.81,48.7845,12.8455
第3层,,05J1-26楼1[管井间],2.951,2.951,10.06,0.0,0.0
第3层,,楼2（卫生间楼面）[卫生间],34.601,34.601,47.16,48.7845,12.8455
第3层,,O5J1-28楼13[楼梯间],50.3138,50.3138,44.3,0.0,0.0
第3层,,楼1[营业厅],1157.934,1157.934,161.45,0.0,0.0
第3层,,小计,1245.7998,1245.7998,262.97,48.7845,12.8455
第4层,,05J1-26楼1[管井间],2.951,2.951,10.06,0.0,0.0
第4层,,楼2（卫生间楼面）[卫生间],34.601,34.601,47.16,48.7845,12.8455
第4层,,O5J1-28楼13[楼梯间],50.3138,50.3138,44.3,0.0,0.0
第4层,,楼1[营业厅],1157.934,1157.934,161.45,0.0,0.0
第4层,,小计,1245.7998,1245.7998,262.97,48.7845,12.8455
合计,合计,合计,6202.4386,6202.4386,1637.845,1457.2422,55.4249
