设备润滑注油周期表-单位：-设备编号或名称-设备编号或名称,设备润滑注油周期表-注油部位名称-注油部位名称,设备润滑注油周期表-注油点数-（个/台）,设备润滑注油周期表-润滑油牌号-润滑油牌号,设备润滑注油周期表-注油周期-注油周期,设备润滑注油周期表-检查周期-检查周期,设备润滑注油周期表-换油周期-换油周期,设备润滑注油周期表-用量-用量,设备润滑注油周期表-备注-备注
皮带机（编号、型号）,减速器,,参照说明书,每周,1周,6个月,油位处于油标上下线之间,随时检查油位，及时注油
皮带机（编号、型号）,机头主驱动滚筒轴承或轴承座,,3号或2号锂基脂,每周,每天,12个月,内腔的1/2--2/3,随时检查，及时注油
皮带机（编号、型号）,一般滚筒轴承,,3号或2号锂基脂,每周,每天,,内腔的1/2--2/3,随时检查，及时注油
皮带机（编号、型号）,液压站,,参照说明书,每周,每天,12个月,油位处于油标上下线之间,随时检查油位，及时注油
皮带机（编号、型号）,涨紧绞车减速器,,参照说明书,每周,每天,12个月,油位处于油标上下线之间,无油标的以内腔1／２
皮带机（编号、型号）,皮带机电机轴承,,3号或2号锂基脂,3个月,每天,12个月,油位处于油标上下线之间,随时检查，及时注油
皮带机（编号、型号）,涨紧绞车电机轴承,,3号或2号锂基脂,3个月,,12个月,内腔的1/2--2/3,随时检查，及时注油
皮带机（编号、型号）,液压制动器,1,25＃变压器油,每周,每天,,低于上面油孔30－40mm,随时检查，及时注油
刮板运输机,减速器,,参照说明书,每周,1周,6个月,油位处于油标上下线之间,随时检查油位，及时注油
刮板运输机,减速器一轴,,3号或2号锂基脂,每周,每天,6个月,注入新油将旧油挤出为准,随时检查，及时注油
刮板运输机,机头、机尾链轮轴组,,参照说明书,每周,每天,6个月,注满,随时检查，及时注油
刮板运输机,电机轴承,,3号或2号锂基脂,3个月,每天,12个月,内腔的1/2--2/3,随时检查，及时注油
耙装机,电机轴承,2,3号或2号锂基脂,3个月,每天,12个月,内腔的1/2--2/3,随时检查，及时注油
耙装机,减速器,,参照说明书,每周,每天,6个月,油位处于油标上下线之间,无油标的以内腔1／２－2/3
耙装机,各转动部位及钢丝绳,,废机油,每周,每天,,适量涂油养护,
绞车,电机轴承,2,3号或2号锂基脂,3个月,每天,12个月,内腔的1/2--2/3,随时检查，及时注油
绞车,滚筒,1,N320中负荷工业齿轮油,1个月,每天,6个月,,随时检查，及时注油
绞车,刹车油泵,1,25＃变压器油,7天,,,低于上面油孔30－40mm,随时检查，及时注油
喷浆机,电机轴承,2,3号或2号锂基脂,3个月,每天,12个月,内腔的1/2--2/3,随时检查，及时注油
喷浆机,齿轮箱,1,N320中负荷工业齿轮油,1个月,每天,6个月,内腔的1/2--2/3,随时检查，及时注油
割煤机,左右驱动轮轴承,2,3#锂基润滑脂,7天,,适量,,
割煤机,左右截煤部铰轴、油缸铰轴,4,3#锂基润滑脂,7天,,适量,,
割煤机,左右截割部（摇臂）,4,N320#齿轮油,,每天,3个月,摇臂放平加至油标中线,随时检查，及时注油
割煤机,主泵箱,1,N100#液压油,,每月,3个月,加至油位计中线,随时检查，及时注油
乳化泵,主减速箱,2,N68#全损耗系统用油,,每月,3个月,油位处于油标上下线之间,随时检查，及时注油
架线机车ZK6－6/250  550－3型,机车电机轴承,4,3#工业锂基脂,12个月,,,,
架线机车ZK6－6/250  550－3型,集电弓绞支点,1/7,2#锂基脂,7天,,,随时检查油位，及时注油,
架线机车ZK6－6/250  550－3型,凸轮控制器凸轮盘,1/2,2#锂基脂,7天,,,,
架线机车ZK6－6/250  550－3型,凸轮控制器轴承滚柱,1/4,11#汽缸油,1天,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型,制动器轴承,2,1#钙基脂,1个月,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,制动器螺母,1,1#钙基脂,7天,,,随时检查油位，及时注油,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,减速器轴承,20,2#钙基脂,3个月,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,减速器齿轮,3,HL－20齿轮油,1个月,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,轴承盒与滑块,4,1#钙基脂,7天,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,制动器连杆销子,12,1#钙基脂,7天,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,弹簧装置弹簧片,1/4,50#机油,1个月,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,弹簧装置极弹簧支点,0,2#钙基脂,1个月,,,随时检查油位，及时注油,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,轴箱轴承,2/4,2#钙钠脂,6个月,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,轴箱导板槽,2/8,2#钙钠脂,7天,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,制动装置丝杆螺纹,5/3,20号机油,7天,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,制动装置轴承活节肖,5/13,50号机油,7天,,,,
防爆蓄电池机车XK5－6/88－KBT      CDXT－2.5B型                     ,撒砂装置销子支承点,6/12,50号机油,7天,,,,
井上下阻车器井上下道岔转辙机,翻矸架各压绳轮转向轮,10,30#机油,1天,,,,
井上下阻车器井上下道岔转辙机,压绳轮转向轮,16,废机油,7天,,,随时检查油位，及时注油,
矿车维修,矿车轮对,4,3#钙基脂,6个月,,,,
主、副井天轮,轴承,4,3#锂基脂,3个月,12个月,内腔1/3—1/2,,
主、副井天轮,轴瓦,24,3#锂基脂,1周,,,随时检查油位，及时注油,
主、副井提升机,轴承,2,3#锂基脂,3个月,12个月,内腔1/3—1/2,,
扇风机,电机轴承,2,津脂润滑脂,运行3000小时,12个月,80克/次,,
电液推杆,油箱,1,N68液压油,,18个月,3/4油箱容量,随时检查油位，及时注油,
液压闸板,油箱,1,N68液压油,,18个月,3/4油箱容量,随时检查油位，及时注油,
