区分-区分-区分,区分-区分-区分.1,区分-区分-区分.2,2014年8月生产情况-1-五,2014年8月生产情况-2-六,2014年8月生产情况-3-日,2014年8月生产情况-4-一,2014年8月生产情况-5-二,2014年8月生产情况-6-三,2014年8月生产情况-7-四,2014年8月生产情况-8-五,2014年8月生产情况-9-六,2014年8月生产情况-10-日,2014年8月生产情况-11-一,2014年8月生产情况-12-二,2014年8月生产情况-13-三,2014年8月生产情况-14-四,2014年8月生产情况-15-五,2014年8月生产情况-16-六,2014年8月生产情况-17-日,2014年8月生产情况-18-一,2014年8月生产情况-19-二,2014年8月生产情况-20-三,2014年8月生产情况-21-四,2014年8月生产情况-22-五,2014年8月生产情况-23-六,2014年8月生产情况-24-日,2014年8月生产情况-25-一,2014年8月生产情况-26-二,2014年8月生产情况-27-三,2014年8月生产情况-28-四,2014年8月生产情况-29-五,2014年8月生产情况-30-六,31-日,合计-合计-合计
装配,L002005 C60F,月度计划,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,80.0,,,270.0
装配,L002005 C60F,计划调整,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,40.0,,,,100.0
装配,L002005 C60F,完成数量,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,190.0
装配,L002007 C61X,月度计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,30.0
装配,L002007 C61X,计划调整,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,35.0
装配,L002007 C61X,完成数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
自制件当前库存,L00240046,一档被齿,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,
自制件当前库存,L00240052,二档被齿,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,761.0,
自制件当前库存,L00240006,三档主齿,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,
自制件当前库存,L00240013,四档主齿,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,
自制件当前库存,L00240021,倒档被齿,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,
