生产计划表-产品数量9,生产计划表-产品数量9.1,生产计划表-己完成1,生产计划表-己完成1.1,生产计划表-生产中5,生产计划表-生产中5.1,生产计划表-生产中5.2,生产计划表-订单编号,生产计划表-订单编号.1,生产计划表-订单数量,生产计划表-订单数量.1,生产计划表-订单数量.2,生产计划表-已生产,生产计划表-进度,生产计划表-交货日期,生产计划表-交货日期.1
"产品数量
9","产品数量
9","   己完成
     1","   己完成
     1","生产中
    5","生产中
    5","生产中
    5",1235,1235,1000,1000,1000,400,40%,22/5/21,22/5/21
"客户
名称","订单
编号","产品
名称",规格,"订单
数量",单位,"生量
日产","开始
日 期","预计
完成","生量
已产",(天),(天),"生产
进度",音脂,"剩余
天数","负责
人"
稻壳,123,手机壳,个,2000,个,500,5/11,5/16,2000,4.0,4.0,100%,5月20日,1,木木
稻壳,1235,电池,个,1000,个,400,5/15,5/18,400,2.5,2.5,40%,5月21日,2,木木
稻壳,1236,手机壳,个,800,个,400,5/16,5/19,480,2.0,2.0,60%,5月21日,2,木木
稻壳,1237,电池,个,700,个,300,5/17,5/20,360,2.3,2.3,51%,5月22日,3,木木
稻壳,123,手机壳,个,600,个,230,5/18,5/2,300,2.6,2.6,50%,5月23日,4,木木
稻壳,1239,电池,个,504,个,200,5/19,5/22,150,25,25 ,30%,5月24日,5,木木
稻壳,1240,手机壳,个,505,个,150,5/20,5/24,,3.4,3.4,0%,5月25日,6,木木
稻壳,1241,电池,个,506,个,150,5/21,5/25,,3.4,3.4,0%,5月26日,7,木木
稻壳,1242,手机壳,个,507,个,200,5/22,5/25,,2.5,2.5,0%,5月27日,8,木木
