商品编号,商品名称,进价,Unnamed: 3,商品编号.1,商品名称.1,本次录入数量,Unnamed: 7,商品编号.2,商品名称.2,本次录入数量.1,Unnamed: 11,商品编号.3,商品名称.3,本次录入数量.2
15527.0,鸡胸肉,17.5,,15534,凤爪,10,,70353,雪梨,0,,125763.0,土豆,40.0
15533.0,鸡胗,24.5,,87499,鸡中翅,60,,70411,火龙果,0,,70556.0,红薯,50.0
15534.0,凤爪,17.0,,210990,半边鸭,40,,917904,特级水晶红富士75#,130,,320149.0,大芋头,15.2
39269.0,鸡翅尖,20.1,,87579,鸡全翅,84,,商品编号,商品名称,本次录入数量,,125756.0,冬瓜,390.0
82040.0,鸡翅根,18.0,,127304,鸡小腿,60,,70353,雪梨,0,,81969.0,红萝卜,13.0
82072.0,大骨,14.6,,88701,鸡翅根,80,,917904,特级水晶红富士75#,3780,,125778.0,小红椒,3.0
82086.0,猪腰,39.8,,126259,鸭肾,19,,70411,火龙果,210,,125758.0,蒜头,14.0
82087.0,猪肝,13.0,,632411,鸭脖,35,,,,,,125773.0,白萝卜,60.0
82099.0,猪手,22.0,,312891,鸭掌A,20,,商品编号,商品名称,本次录入数量,,122625.0,子姜,4.0
87495.0,猪肚,38.0,,779266,鸭锁骨,10,,918696,绿豆（自营）,0,,70473.0,玉米,22.4
87499.0,鸡中翅,43.8,,375699,鸭边腿,25,,82856,鹌鹑蛋,3,,70467.0,淮山,40.0
87579.0,鸡全翅,26.0,,312892,鸭翅,25,,70601,鸭蛋,17,,125775.0,西红柿,130.0
90838.0,猪心,28.0,,15533,鸡胗,11,,876274,绿壳鲜鸡蛋,60,,122588.0,长白菜,16.0
123165.0,鸡骨架,5.2,,123165,鸡骨架,3,,909043,乐之鲜红枣（新疆若羌）,96.2,,125746.0,韭菜,18.2
126259.0,鸭肾,23.5,,239630,鸡边腿,40,,14563,白壳鲜鸡蛋,375,,125751.0,芹菜,41.5
127304.0,鸡小腿,17.0,,15527,鸡胸肉,15,,126909,白糖,0,,122633.0,白菜心,6.0
210990.0,半边鸭,8.0,,82072,大骨,180,,918620,A级中香菇,20,,125736.0,生菜,3.4
312891.0,鸭掌A,14.0,,39269,鸡翅尖,24,,918697,黑木耳（自营）,2,,122596.0,生葱,4.3
312892.0,鸭翅,10.8,,388057,玉米粒(生配菜),5,,81987,桂圆干,137.2,,125749.0,香菜,0.5
,,,,388060,鸡块,8,,商品编号,商品名称,本次录入数量,,147819.0,黑茄子,3.0
,,,,499161,双汇猪肚(人人乐鲜肉),35,,70665,中国香米（JD）,525,,125734.0,菜芯,4.0
,,,,498156,双汇板油,155,,70666,珍珠米（JD）,1325,,125782.0,大葱,17.0
,,,,66708,肋排,40,,28371,油粘米（JD）,0,,70499.0,莲藕,50.0
,,,,82039,猪碎肉,4.4,,70667,丝苗米（JD）,1625,,125760.0,洋葱,12.4
,,,,商品编号,商品名称,本次录入数量,,637055,桥米（JD）,500,,122590.0,水瓜,29.0
,,,,125824,板油,0,,305646,东北珍珠米（JD）,1000,,122630.0,小瓜,21.0
,,,,89092,排骨,1.9,,70675,白糯米（JD）,475,,312616.0,日本小青瓜,3.0
,,,,82087,猪肝,2,,,,,,149566.0,绿豆芽,8.0
,,,,82099,猪手,6.2,,,,,,130169.0,折耳根,5.0
,,,,82070,前腿肉,4.7,,,,,,87986.0,七彩椒,2.0
,,,,82069,后腿肉,5.3,,,,,,128152.0,蒜仁,2.5
,,,,82071,五花肉,0,,,,,,122587.0,红茄子,6.0
,,,,124943,瘦肉,10.3,,,,,,,,
,,,,499161,双汇猪肚(人人乐鲜肉),0,,,,,,,,
,,,,66708,肋排,0,,,,,,,,
,,,,82083,龙骨,9.1,,,,,,,,
,,,,82089,猪大肠,36.4,,,,,,,,
,,,,商品编号,商品名称,本次录入数量,,,,,,,,
,,,,581971,带皮白条后段,0,,,,,,,,
,,,,581969,带皮白条前段,0,,,,,,,,
,,,,581970,带皮白条中段,0,,,,,,,,
,,,,519171,良种一级带皮白条,40,,,,,,,,
,,,,82099,猪手,10,,,,,,,,
,,,,82087,猪肝,10,,,,,,,,
,,,,商品编号,商品名称,本次录入数量,,,,,,,,
,,,,15534,凤爪,2.3,,,,,,,,
,,,,87499,鸡中翅,7.2,,,,,,,,
,,,,210990,半边鸭,8.1,,,,,,,,
,,,,87579,鸡全翅,2.5,,,,,,,,
,,,,127304,鸡小腿,4,,,,,,,,
,,,,88701,鸡翅根,2.7,,,,,,,,
,,,,126259,鸭肾,1.6,,,,,,,,
,,,,632411,鸭脖,0.7,,,,,,,,
,,,,312891,鸭掌A,1.3,,,,,,,,
,,,,779266,鸭锁骨,3.6,,,,,,,,
,,,,375699,鸭边腿,0.5,,,,,,,,
,,,,312892,鸭翅,2,,,,,,,,
,,,,15533,鸡胗,0.7,,,,,,,,
,,,,123165,鸡骨架,0,,,,,,,,
,,,,239630,鸡边腿,0.5,,,,,,,,
,,,,15527,鸡胸肉,0,,,,,,,,
,,,,39269,鸡翅尖,0,,,,,,,,
