电商产品运营计划表-基础情况-日期,电商产品运营计划表-基础情况-业绩目标,电商产品运营计划表-基础情况-实际完成,电商产品运营计划表-基础情况-uv,电商产品运营计划表-基础情况-订单数,电商产品运营计划表-基础情况-转化率,电商产品运营计划表-基础情况-咨询量,电商产品运营计划表-基础情况-咨询率,电商产品运营计划表-基础情况-客单价,电商产品运营计划表-退款-退款笔数,电商产品运营计划表-退款-退款金额,电商产品运营计划表-退款-退款率,电商产品运营计划表-推广-预计推广费,电商产品运营计划表-推广-实际花费,电商产品运营计划表-推广-ROI
2020/10/1,2300,2000,3,4,133.33%,,0.00%,500.0,2,30.0,50%,5,6,400.0
2020/10/2,1800,800,3,4,133.33%,2.0,66.67%,200.0,2,30.0,50%,5,6,160.0
2020/10/3,3200,200,3,4,133.33%,15.0,500.00%,50.0,2,30.0,50%,5,6,40.0
2020/10/4,2600,260,3,4,133.33%,36.0,1200.00%,65.0,2,30.0,50%,5,6,52.0
2020/10/5,3600,1590,3,4,133.33%,56.0,1866.67%,397.5,2,30.0,50%,5,6,318.0
2020/10/6,2300,2301,3,4,133.33%,57.0,1900.00%,575.25,2,30.0,50%,5,6,460.2
2020/10/7,3200,200,3,4,133.33%,40.0,1333.33%,50.0,2,30.0,50%,5,6,40.0
2020/10/8,2600,260,3,4,133.33%,35.0,1166.67%,65.0,2,30.0,50%,5,6,52.0
2020/10/9,3600,1590,3,4,133.33%,23.0,766.67%,397.5,2,30.0,50%,5,6,318.0
2020/10/10,2300,2000,3,4,133.33%,5.0,166.67%,500.0,2,30.0,50%,5,6,400.0
2020/10/11,1800,800,3,4,133.33%,7.0,233.33%,200.0,2,30.0,50%,5,6,160.0
2020/10/12,3200,200,3,4,133.33%,15.0,500.00%,50.0,2,30.0,50%,5,6,40.0
