订单分析表-日期,订单分析表-箱数,订单分析表-订单数,订单分析表-箱/订单,订单分析表-产品总数,订单分析表-产品数/单,订单分析表-人数/天,订单分析表-完成订单数/人
每日平均,90.0,57.0,,623.97,10.92,2.45,20.64
月度总计,2692.0,1714.0,1.57,18719.0,316.59,76.0,619.25
2016/3/1,19.0,20.0,0.95,184.0,9.2,2.0,10.0
2016/3/2,216.0,115.0,1.88,1434.0,12.47,3.0,38.33
2016/3/3,215.0,123.0,1.75,2564.0,20.85,4.0,30.75
2016/3/4,234.0,115.0,2.03,1702.0,14.8,4.0,28.75
2016/3/5,291.0,141.0,2.06,2559.0,18.15,4.0,35.25
2016/3/6,151.0,77.0,1.96,2241.0,29.1,4.0,19.25
2016/3/7,464.0,257.0,1.81,1063.0,4.14,4.0,64.25
2016/3/8,295.0,134.0,2.2,1737.0,12.96,3.0,44.67
2016/3/9,27.0,24.0,1.13,108.0,4.5,2.0,12.0
2016/3/10,39.0,37.0,1.05,184.0,4.97,2.0,18.5
2016/3/11,17.0,17.0,1.0,112.0,6.59,2.0,8.5
2016/3/12,23.0,21.0,1.1,105.0,5.0,2.0,10.5
2016/3/13,25.0,24.0,1.04,133.0,5.54,2.0,12.0
2016/3/14,35.0,34.0,1.03,155.0,4.56,2.0,17.0
2016/3/15,29.0,29.0,1.0,189.0,6.52,2.0,14.5
2016/3/16,33.0,30.0,1.1,154.0,5.13,2.0,15.0
2016/3/17,41.0,41.0,1.0,176.0,4.29,2.0,20.5
2016/3/18,38.0,32.0,1.19,270.0,8.44,2.0,16.0
2016/3/19,38.0,34.0,1.12,179.0,5.26,2.0,17.0
2016/3/20,63.0,57.0,1.11,743.0,13.03508772,2.0,28.5
2016/3/21,,81.0,0.0,0.0,0.0,3.0,27.0
2016/3/22,135.0,18.0,7.5,1179.0,65.5,2.0,9.0
2016/3/23,24.0,23.0,1.04,127.0,5.52,2.0,11.5
2016/3/24,30.0,29.0,1.03,159.0,5.48,2.0,14.5
2016/3/25,30.0,29.0,1.03,135.0,4.66,2.0,14.5
2016/3/26,39.0,37.0,1.05,178.0,4.81,2.0,18.5
2016/3/27,25.0,24.0,1.04,131.0,5.46,2.0,12.0
2016/3/28,31.0,29.0,1.07,214.0,7.38,2.0,14.5
2016/3/29,27.0,26.0,1.04,226.0,8.69,2.0,13.0
2016/3/30,29.0,29.0,1.0,165.0,5.69,2.0,14.5
2016/3/31,29.0,27.0,1.07,213.0,7.89,3.0,9.0
,,,,,,,
,,,超过一箱,,套餐计数为1.,,"1、订单数>40;
2、产品总数>300pcs,满足其一，需2人。"
,,,hold单/未出货,,,,
