期间,科目代码,科目名称,期初余额(借方),期初余额(贷方),本期发生额(借方),本期发生额(贷方),本年累计发生额(借方),本年累计发生额(贷方),期末余额(借方),期末余额(贷方)
2,1001.0,库存现金,101780,0,6000,5000,91800,14020,102780,0
2,1002.0,银行存款,344420,0,230100,85760,263500,374740,488760,0
2,1004.0,备用金,0,0,5000,0,5000,0,5000,0
2,1012.0,其他货币资金,18200,0,50000,0,50000,1800,68200,0
2,1101.0,短期投资,60000,0,0,60000,0,60000,0,0
2,1121.0,应收票据,0,0,0,0,0,0,0,0
2,1122.0,应收账款,213800,0,4680,110000,250380,143400,108480,0
2,1123.0,预付账款,50000,0,0,50000,50000,50000,0,0
2,1131.0,应收股利,2100,0,0,2100,2100,2100,0,0
2,1132.0,应收利息,0,0,0,0,0,0,0,0
2,1221.0,其他应收款,51600,0,0,0,48000,0,51600,0
2,1401.0,材料采购,0,0,0,100,0,100,-100,0
2,1402.0,在途物资,90000,0,0,90000,90000,90000,0,0
2,1403.0,原材料,2200,0,0,0,0,800,2200,0
2,1404.0,材料成本差异,0,0,0,0,0,0,0,0
2,1405.0,库存商品,207800,0,140000,0,140000,167200,347800,0
2,1407.0,商品进销差价,0,0,0,0,0,0,0,0
2,1408.0,委托加工物资,0,0,0,0,0,0,0,0
2,1411.0,周转材料,0,0,0,0,0,0,0,0
2,1412.0,包装物,0,0,0,0,0,0,0,0
2,1413.0,低值易耗品,3200,0,0,0,1200,0,3200,0
2,1421.0,消耗性生物资产,0,0,0,0,0,0,0,0
2,1501.0,长期债券投资,0,0,0,0,0,0,0,0
2,1511.0,长期股权投资,0,0,0,0,0,0,0,0
2,1601.0,固定资产,18000,0,0,9000,0,9000,9000,0
2,1602.0,累计折旧,0,5000,2500,0,2500,500,0,2500
2,1604.0,在建工程,0,0,0,0,0,0,0,0
2,1605.0,工程物资,0,0,0,0,0,0,0,0
2,1606.0,固定资产清理,0,0,6500,0,6500,0,6500,0
2,1621.0,生产性生物资产,0,0,0,0,0,0,0,0
2,1622.0,生产性生物资产累计折旧,0,0,0,0,0,0,0,0
2,1701.0,无形资产,1500,0,0,0,0,0,1500,0
2,1702.0,累计摊销,0,0,0,150,0,150,0,150
2,1801.0,长期待摊费用,0,0,0,0,0,0,0,0
2,1901.0,待处理财产损溢,0,0,0,0,0,0,0,0
2,2001.0,短期借款,0,100000,0,0,0,0,0,100000
2,2201.0,应付票据,0,0,0,0,0,0,0,0
2,2202.0,应付账款,0,0,0,0,0,0,0,0
2,2203.0,预收账款,0,2000,0,0,0,0,0,2000
2,2211.0,应付职工薪酬,0,22800,22800,0,22800,22800,0,0
2,2221.0,应交税费,0,4460,12960,680,48660,40840,0,-7820
2,2231.0,应付利息,0,0,0,0,0,0,0,0
2,2232.0,应付利润,0,0,0,0,0,0,0,0
2,2241.0,其他应付款,0,3100,0,0,0,0,0,3100
2,2401.0,递延收益,0,0,0,0,0,0,0,0
2,2501.0,长期借款,0,0,0,0,0,0,0,0
2,2701.0,长期应付款,0,0,0,0,0,0,0,0
2,3001.0,实收资本,0,1000000,0,0,0,0,0,1000000
2,3002.0,资本公积,0,0,0,0,0,0,0,0
2,3101.0,盈余公积,0,0,0,0,0,0,0,0
2,3103.0,本年利润,0,27240,150,67900,220810,315800,0,94990
2,3104.0,利润分配,0,0,0,0,0,0,0,0
2,4001.0,生产成本,0,0,0,0,0,0,0,0
2,4002.0,劳务成本,0,0,0,0,0,0,0,0
2,4101.0,制造费用,0,0,0,0,0,0,0,0
2,4301.0,研发支出,0,0,0,0,0,0,0,0
2,4401.0,工程施工,0,0,0,0,0,0,0,0
2,4403.0,机械作业,0,0,0,0,0,0,0,0
2,5001.0,主营业务收入,0,0,10000,10000,227300,227300,0,0
2,5051.0,其他业务收入,0,0,0,0,2500,2500,0,0
2,5111.0,投资收益,0,0,57900,57900,60000,60000,0,0
2,5301.0,营业外收入,0,0,0,0,26000,26000,0,0
2,5401.0,主营业务成本,0,0,0,0,167200,167200,0,0
2,5402.0,其他业务成本,0,0,0,0,800,800,0,0
2,5403.0,营业税金及附加,0,0,0,0,4460,4460,0,0
2,5601.0,销售费用,0,0,0,0,23120,23120,0,0
2,5602.0,管理费用,0,0,150,150,22650,22650,0,0
2,5603.0,财务费用,0,0,0,0,280,280,0,0
2,5711.0,营业外支出,0,0,0,0,2300,2300,0,0
2,5801.0,所得税费用,0,0,0,0,0,0,0,0
0,,合   计,1164600,1164600,548740,548740,1829860,1829860,1194920,1194920
