产品生产不良率统计分析表-统计区域,产品生产不良率统计分析表-统计区域.1,产品生产不良率统计分析表-统计区域.2,产品生产不良率统计分析表,产品生产不良率统计分析表-日期,产品生产不良率统计分析表-板位号,产品生产不良率统计分析表-工站,产品生产不良率统计分析表-产品料号,产品生产不良率统计分析表-其他,产品生产不良率统计分析表-工单,产品生产不良率统计分析表-生产数量,产品生产不良率统计分析表-不良数量,产品生产不良率统计分析表-不良率,产品生产不良率统计分析表-良率
,今日日期,,,2022/1/2,59-696,功能测试,1.1.01.04.17942,其他1,7M07FDD,8628,3,0.03%,99.97%
,2024/2/7,,,2022/1/3,59-696,AOI-B,1.1.01.04.17942,其他2,7M08A16,12622,5,0.04%,99.96%
,,,,2022/1/4,59-696,AOI-T,1.1.01.04.17942,其他3,7M08A16,3657,1,0.03%,99.97%
,总生产数量,,,2022/1/4,91-013,功能测试,1.1.01.04.19137,其他4,7M08A11,911,5,0.55%,99.45%
,51161.0,,,2022/1/5,91-013,功能测试,1.1.01.04.19137,其他5,7M08A11,3257,6,0.18%,99.82%
,,,,2022/1/6,91-013,功能测试,1.1.01.04.19137,其他6,7M08A11,3482,5,0.14%,99.86%
,总不良数量,,,2022/1/7,91-013,功能测试,1.1.01.04.17942,其他7,7M08A16,1782,1,0.06%,99.94%
,55.0,,,2022/1/7,91-013,功能测试,1.1.01.04.19137,其他8,7M08A11,3313,2,0.06%,99.94%
,,,,2022/1/8,91-013,功能测试,1.1.01.04.19137,其他9,7M08A11,3328,3,0.09%,99.91%
,总不良率,,,2022/1/8,91-013,功能测试,1.1.01.04.19138,其他10,7M08A11,11,1,9.09%,90.91%
,0.11%,,,2022/1/9,91-013,功能测试,1.1.01.04.19137,其他11,7M08A11,3600,8,0.22%,99.78%
,,,,2022/1/9,91-013,功能测试,1.1.01.04.19138,其他12,7M08811,40,1,2.50%,97.50%
,总良率,,,2022/1/10,91-013,功能测试,1.1.01.04.19137,其他13,7M08A11,5631,8,0.14%,99.86%
,99.89%,,,2022/1/10,91-028,功能测试,1.1.01.04.18680,其他14,7M08014,890,5,0.56%,99.44%
,,,,2022/1/10,91-013,功能测试,1.1.01.04.19138,其他15,7M08811,9,1,11.11%,88.89%
