序号,日期,项目名称,简要内容,负责人,收入金额,支出金额,剩余金额,备注,按日期查询：,2020.4.15
1,2020.4.15,请客吃饭,/,玉皇大帝,3500.0,2000.0,1500.0,1,收入金额,3500
2,2020.4.16,购买办公用具,/,玉皇大帝,1000.0,960.0,40.0,2,支出金额,2000
3,2020.4.17,预定金,/,玉皇大帝,10000.0,2000.0,8000.0,3,剩余金额,1500
4,2020.4.18,项目款,项目款,玉皇大帝,50000.0,0.0,50000.0,4,按项目查询,请客吃饭
5,2020.4.19,员工奖金,公司奖励,玉皇大帝,0.0,2000.0,-2000.0,5,收入金额,85942.85714
6,2020.4.20,请客吃饭,/,玉皇大帝,0.0,1000.0,-1000.0,6,支出金额,3924.190476
7,2020.4.21,请客吃饭,/,玉皇大帝,12700.0,938.666667,11761.3333,7,剩余金额,82018.66667
8,2020.4.22,购买办公用具,/,玉皇大帝,13257.1429,827.809524,12429.3333,8,收入汇总,293000
9,2020.4.23,预定金,/,玉皇大帝,13814.2857,716.952381,13097.3333,9,支出汇总,11013.33333
10,2020.4.24,项目款,项目款,玉皇大帝,14371.4286,606.095238,13765.3333,10,剩余汇总,281986.6667
