项目要素-项目要素,名称-代码,格力电器,贵州茅台,中国平安
基本股票信息,股价,18,120,25
基本股票信息,每股盈利,2.35,13.44,2.45
基本股票信息,当前市盈率,7.65,8.93,10.2
基本股票信息,市净率,2.57,2.37,1.38
基本股票信息,每股净资产,7,50.6,18.12
基本股票信息,股息率,0.083,0.036,0.01
基本股票信息,总市值,1020,2142,4575
历史与未来,最高点,31.55,259,46.9
历史与未来,历史底部市盈率,7.58,6.7,11.8
历史与未来,历史底部市净率,2.4,2.1,1.5
历史与未来,历史底部股息率,0.053,0.0714,0.006
历史与未来,未来一年预测利润,2.82,13.72,2.95
历史与未来,未来一年市盈率,6.38,8.74,8.475
历史与未来,未来两年预测利润,3.39,15.09,3.93
历史与未来,未来两年市盈率,5.3,7.95,6.36
历史与未来,PEG,0.54,1.24,0.33
巴菲特三数据,净资产收益率15%,32%,30%,13%
巴菲特三数据,净利润率5%,11%,49%,10%
巴菲特三数据,毛利率40%,36%,92%,17%
