6.角型板安装-工作内容：构件场内运输，就位堆放，安装校正、固定。-定额编号-项目-项目-项目,6.角型板安装-定额编号-项目-项目-项目,6.角型板安装-定额编号-项目-项目-项目.1,6.角型板安装-定额编号-单位-单位-单位,6.角型板安装-定额编号-单价（元）-单价（元）-单价（元）,6.角型板安装-补7-33-角型板宽度（mm）-150-数量,6.角型板安装-补7-33-角型板宽度（mm）-150-合价,6.角型板安装-补7-34-角型板宽度（mm）-200-数量,6.角型板安装-补7-34-角型板宽度（mm）-200-合价,6.角型板安装-补7-35-角型板宽度（mm）-250-数量,6.角型板安装-补7-35-角型板宽度（mm）-250-合价,6.角型板安装-补7-36-角型板宽度（mm）-300-数量,6.角型板安装-补7-36-角型板宽度（mm）-300-合价,6.角型板安装-补7-37-角型板宽度（mm）-350-数量,6.角型板安装-补7-37-角型板宽度（mm）-350-合价,6.角型板安装-补7-38-角型板宽度（mm）-400-数量,6.角型板安装-补7-38-角型板宽度（mm）-400-合价,6.角型板安装-补7-39-角型板宽度（mm）-450-数量,6.角型板安装-计量单位：10m-补7-39-角型板宽度（mm）-450-合价,6.角型板安装-补7-40-角型板宽度（mm）-500-数量,6.角型板安装-补7-40-角型板宽度（mm）-500-合价
基         价,基         价,基         价,基         价,元,1372.48,1372.48,1475.62,1475.62,1599.08,1599.08,1711.59,1711.59,2128.06,2128.06,2656.42,2656.42,3175.69,3175.69,3694.95,3694.95
"其

中",人工费,人工费,人工费,元,26.0,26.0,26.0,26.0,45.5,45.5,54.6,54.6,63.7,63.7,83.2,83.2,93.6,93.6,104.0,104.0
"其

中",材料费,材料费,材料费,元,1342.64,1342.64,1444.14,1444.14,1545.64,1545.64,1647.14,1647.14,2053.14,2053.14,2560.64,2560.64,3068.14,3068.14,3575.64,3575.64
"其

中",机械费,机械费,机械费,元,3.84,3.84,5.48,5.48,7.94,7.94,9.85,9.85,11.22,11.22,12.58,12.58,13.95,13.95,15.31,15.31
综合工日,综合工日,综合工日,工日,26.0,1.0,26.0,1.0,26.0,1.75,45.5,2.1,54.6,2.45,63.7,3.2,83.2,3.6,93.6,4.0,104.0
材料,1324,ALC角型板150,m,110.0,10.15,1116.5,,,,,,,,,,,,,,
材料,1325,ALC角型板200,m,120.0,,,10.15,1218.0,,,,,,,,,,,,
材料,1326,ALC角型板250,m,130.0,,,,,10.15,1319.5,,,,,,,,,,
材料,1327,ALC角型板300,m,140.0,,,,,,,10.15,1421.0,,,,,,,,
材料,1328,ALC角型板350,m,180.0,,,,,,,,,10.15,1827.0,,,,,,
材料,1329,ALC角型板400,m,230.0,,,,,,,,,,,10.15,2334.45,,,,
材料,1330,ALC角型板450,m,280.0,,,,,,,,,,,,,10.15,2842.0,,
材料,1331,ALC角型板500,m,330.0,,,,,,,,,,,,,,,10.15,3349.5
材料,6-43,连接铁件,t,5190.28,0.017,88.23,0.017,88.23,0.017,88.23,0.017,88.23,0.017,88.23,0.017,88.23,0.017,88.23,0.017,88.23
材料,4300,专用安装镀锌件,Kg,8.5,16.06,136.51,16.06,136.51,16.06,136.51,16.06,136.51,16.06,136.51,16.06,136.51,16.06,136.51,16.06,136.51
材料,4150,电焊条,Kg,5.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.1,0.02,0.1
材料,4160,合金钢切割锯片,片,65.0,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3
材料,,,,,,,,,,,,,,,,,,,,
"机

械",9514,电动葫芦2t,台班,31.0,0.05,1.55,0.05,1.55,0.05,1.55,0.05,1.55,0.05,1.55,0.05,1.55,0.05,1.55,0.05,1.55
"机

械",9930,电焊机20kvA,台班,88.0,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09
"机

械",9730,电动切割机,台班,16.0,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02
"机

械",10007,塔式起重机械,台班,273.0,0.008,2.18,0.014,3.82,0.023,6.28,0.03,8.19,0.035,9.56,0.04,10.92,0.045,12.29,0.05,13.65
