2.外墙普通板安装-工作内容：构件场内运输，就位堆放，安装校正、固定。-定额编号-项目-项目,2.外墙普通板安装-定额编号-项目-项目,2.外墙普通板安装-定额编号-项目-项目.1,2.外墙普通板安装-定额编号-单位-单位,2.外墙普通板安装-定额编号-单价（元）-单价（元）,2.外墙普通板安装-补7-13-外墙普通板安装-100,2.外墙普通板安装-补7-13-100,2.外墙普通板安装-补7-14-125,2.外墙普通板安装-补7-14-125.1,2.外墙普通板安装-补7-15-外墙板厚-150,2.外墙普通板安装-补7-15-度（mm）-150,2.外墙普通板安装-补7-16-175,2.外墙普通板安装-计量单位：10m2-补7-16-175,2.外墙普通板安装-计量单位：10m2-补7-17-200,2.外墙普通板安装-计量单位：10m2-补7-17-200.1
项     目,项     目,项     目,"单

位","单
价
（元）",数量,合价,数量,合价,数量,合价,数量,合价,数量,合价
基         价,基         价,基         价,基         价,元,923.71,923.71 ,1101.58,1101.58,1278.94,1278.94,1458.35,1458.35,1831.93,1831.93
"其

中",人工费,人工费,人工费,元,26.0,26.00 ,28.86,28.86,32.24,32.24,35.62,35.62,39.26,39.26
"其

中",材料费,材料费,材料费,元,885.14,885.14,1057.69,1057.69,1229.22,1229.22,1402.79,1402.79,1770.27,1770.27
"其

中",机械费,机械费,机械费,元,12.57,12.57,15.03,15.03,17.48,17.48,19.94,19.94,22.4,22.40 
综合工日,综合工日,综合工日,工日,26.0,1.0,26.0,1.11,28.86,1.24,32.24,1.37,35.62,1.51,39.26
"材
   
料",1306,ALC外墙普通板100,m2,67.9,10.15,689.19,,,,,,,,
"材
   
料",1307,ALC外墙普通板125,m2,84.9,,,10.15,861.74,,,,,,
"材
   
料",1308,ALC外墙普通板150,m2,101.8,,,,,10.15,1033.27,,,,
"材
   
料",1309,ALC外墙普通板175,m2,118.9,,,,,,,10.15,1206.84,,
"材
   
料",1310,ALC外墙普通板200,m2,135.8,,,,,,,,,10.15,1378.37
"材
   
料",6-43,连接铁件,t,5190.28,0.02,103.81,0.02,103.81,0.02,103.81,0.02,103.81,0.02,103.81
"材
   
料",4300,专用安装镀锌件,Kg,8.5,9.3,79.05,9.3,79.05,9.3,79.05,9.3,79.05,9.3,79.05
"材
   
料",3002,钢筋(φ8),t,2300.0,0.002,4.6,0.002,4.6,0.002,4.6,0.002,4.6,0.002,4.6
"材
   
料",8363,水泥砂浆(1:2),m3,209.5,0.02,4.19,0.02,4.19,0.02,4.19,0.02,4.19,0.02,4.19
"材
   
料",4160,合金钢切割锯片,片,65.0,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25,0.05,3.25
"材
   
料",4150,电焊条,Kg,5.1,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05,0.01,0.05
"材
   
料",3041,金属钻头,个,10.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,1.0
"材
   
料",,,,,,,,,,,,,,
"机

械",9514,电动葫芦2t,台班,31.0,0.08,2.48,0.08,2.48,0.08,2.48,0.08,2.48,0.08,2.48
"机

械",9930,交流电焊机20kvA,台班,88.0,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09,0.001,0.09
"机

械",9730,电动切割机,台班,16.0,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02,0.001,0.02
"机

械",9602,砂浆拌合机200L,台班,50.0,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15,0.003,0.15
"机

械",10007,塔式起重机械,台班,273.0,0.036,9.83,0.045,12.29,0.054,14.74,0.063,17.2,0.072,19.66
