订单（款号）成本核算表,订单（款号）成本核算表.1,订单（款号）成本核算表.2,订单（款号）成本核算表.3,订单（款号）成本核算表.4,订单（款号）成本核算表.5,订单（款号）成本核算表.6,订单（款号）成本核算表.7,订单（款号）成本核算表.8,订单（款号）成本核算表.9,订单（款号）成本核算表.10,订单（款号）成本核算表.11,订单（款号）成本核算表.12,订单（款号）成本核算表.13,订单（款号）成本核算表.14,订单（款号）成本核算表.15,订单（款号）成本核算表.16,订单（款号）成本核算表.17
客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.,客户：魅力港湾      （亚泰）订单号：YT009         款号：NT0022         品名：少女短袖花衫           订单数量：100件          订单日期：2009.7.2.      完工日期：2009.7.8.
日期,摘要,主料,主料,主料,辅料,辅料,辅料,包装物,包装物,包装物,加工费,加工费,加工费,加工费,加工费,加工费,制造费             用分摊
日期,摘要,数量,单价,金额,数量,单价,金额,数量,单价,金额,人工,裁床,印花费,绣花费,压花费,后整,制造费             用分摊              
7.3.,领用面料,80,35.0,2800.0,,,,,,,,,,,,,
7.3.,领用花边,,,,100米,1.1,110.0,,,,,,,,,,
7.4.,大发印花厂：印花费,,,,,,,,,,,,60.0,,,,
7.5.,领用线,,,,6筒,3.5,21.0,,,,,,,,,,
7.7.,领用胶袋,,,,,,,100个,0.1,10.0,,,,,,,
7.7.,领用纸箱,,,,,,,2个,8.6,17.2,,,,,,,
7.8.,制造费用分摊,,,,,,,,,,,,,,,,70.0
分  项  小  计,分  项  小  计,,,2800.0,,,131.0,,,27.2,0.0,0.0,60.0,0.0,0.0,0.0,70.0
总生产成本（元）,总生产成本（元）,3088.2,"3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20","3,088.20"
完工入库数（件）,完工入库数（件）,98.0,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00
单位生产成本（元/件）,单位生产成本（元/件）,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51,31.51
财务主管:,财务主管:,,,,,成本会计:,,,,,,,,制表日期:,,,
,备注:,1.要有营销订单,,,,,,,,,,,,,,,
,,2.要有生产算料单,,,,,,,,,,,,,,,
,,3.每天根据仓库出库单的数量填写单价金额.再将其数填入此表.,,,,,,,,,,,,,,,
,,4.将每个订单--款号的加工费填上.,,,,,,,,,,,,,,,
,,5.将成品入库的数量填上.,,,,,,,,,,,,,,,
,,6.其他.,,,,,,,,,,,,,,,
