出入库商品统计表-日期-日期,出入库商品统计表-产品名称-产品名称,出入库商品统计表-规格-规格,出入库商品统计表-期切库存-数量单位,出入库商品统计表-期切库存-数量单位.1,出入库商品统计表-入库情况-入库数量单位,出入库商品统计表-入库情况-入库数量单位.1,出入库商品统计表-出库情况-出库数量单位,出入库商品统计表-出库情况-出库数量单位.1,出入库商品统计表-当前剩余库存-库存数量单位,出入库商品统计表-当前剩余库存-库存数量单位.1
2019/12/5,广西台农芒果,5斤装,18,箱,25,箱,30,箱,13,箱
2019/12/6,商品名称1,XXX,38,箱,57,箱,36,箱,59,箱
2019/12/7,商品名称2,XXX,37,箱,50,箱,34,箱,53,箱
2019/12/8,商品名称3,XXX,39,箱,47,箱,44,箱,42,箱
2019/12/9,商品名称4,XXX,55,箱,0,箱,47,箱,8,箱
2019/12/10,商品名称5,XXX,32,箱,37,箱,50,箱,19,箱
2019/12/11,商品名称6,XXX,55,箱,50,箱,46,箱,59,箱
2019/12/12,商品名称7,XXX,45,箱,56,箱,39,箱,62,箱
2019/12/13,商品名称8,XXX,35,箱,60,箱,47,箱,48,箱
2019/12/14,商品名称9,XXX,50,箱,30,箱,32,箱,48,箱
2019/12/15,商品名称10,XXX,54,箱,60,箱,36,箱,78,箱
2019/12/16,商品名称11,XXX,40,箱,57,箱,60,箱,37,箱
2019/12/17,商品名称12,XXX,48,箱,34,箱,60,箱,22,箱
2019/12/18,商品名称13,XXX,38,箱,48,箱,47,箱,39,箱
2019/12/19,商品名称14,XXX,42,箱,60,箱,60,箱,42,箱
