利润表分析-编制单位：广东韶钢松山股份有限公司-项目-项目,利润表分析-编制单位：广东韶钢松山股份有限公司-2009.12.31-合并数,利润表分析-编制单位：广东韶钢松山股份有限公司-2008.12.31-合并数,利润表分析-所属行业：冶金-资产负债表水平分析-变动额,利润表分析-所属行业：冶金-资产负债表水平分析-变动率,利润表分析-资产负债表水平分析-变动对净利润的影响,利润表分析-资产负债表垂直分析-2007年,利润表分析-单位：百万元-资产负债表垂直分析-2006年,利润表分析-单位：百万元-资产负债表垂直分析-结构变动,Unnamed: 9
一、营业总收入,13349.68,19108.43,-5758.75,-30.14%,-6212.51%,100.00%,100.00%,0.00%,
,,,,,,,,,
二、营业总成本,13263.08,20912.55,-7649.46,-36.58%,-8252.20%,99.35%,109.44%,-10.09%,
其中：营业成本,12584.96,19209.42,-6624.46,-34.49%,-7146.43%,94.27%,100.53%,-6.26%,
营业税金及附加,52.08,76.42,-24.35,-31.86%,-26.26%,0.39%,0.40%,-0.01%,
销售费用,34.21,45.73,-11.51,-25.18%,-12.42%,0.26%,0.24%,0.02%,
管理费用,284.63,408.51,-123.88,-30.33%,-133.64%,2.13%,2.14%,-0.01%,
财务费用,306.46,338.85,-32.39,-9.56%,-34.94%,2.30%,1.77%,0.52%,
资产减值损失,0.75,833.62,-832.87,-99.91%,-898.50%,0.01%,4.36%,-4.36%,
,,,,,,,,,
三、营业利润,86.6,-1804.12,1890.71,-104.80%,2039.69%,0.65%,-9.44%,10.09%,
加：营业外收入,45.98,6.03,39.95,662.02%,43.09%,0.34%,0.03%,0.31%,
减：营业外支出,23.06,17.7,5.36,30.29%,5.78%,0.17%,0.09%,0.08%,
其中：非流动资产处置损失,23.06,17.7,5.36,30.29%,5.78%,0.17%,0.09%,0.08%,从你的报表来看，问你几个问题：
,,,,,,,,,（1）资产规模没有下降（不是增长了6%吗？），销售却下降了30%，你不觉得奇怪吗？为什么？
四、利润总额,109.52,-1815.78,1925.3,-106.03%,2077.00%,0.82%,-9.50%,10.32%,（2）看看结构的变动，想想看，哪部分对于企业的影响最大？最有可能发生了什么事情？能找到相关的证据吗？
减：所得税费用,16.82,-204.28,221.1,-108.23%,238.52%,0.13%,-1.07%,1.20%,注意：报表数字只能找到问题，至于问题的答案，还需要其他的证据。
,,,,,,,,,
五、净利润,92.7,-1611.5,1704.19,-105.75%,1838.47%,0.69%,-8.43%,9.13%,
,,,,,,,,,
,,,,,,,,,
