资产负债表分析-编制单位：广东韶钢松山股份有限公司-项目-项目,资产负债表分析-编制单位：广东韶钢松山股份有限公司-2009.12.31-合并,资产负债表分析-编制单位：广东韶钢松山股份有限公司-2008.12.31-合并,资产负债表分析-所属行业：冶金-变动额-变动额,资产负债表分析-所属行业：冶金-资产负债表的水平分析-变动率,资产负债表分析-所属行业：冶金-资产负债表的水平分析-对总资产的影响,资产负债表分析-资产负债表垂直分析-2009.12.31,资产负债表分析-单位：百万元-资产负债表垂直分析-2008.12.31,资产负债表分析-单位：百万元-资产负债表垂直分析-结构变动,Unnamed: 9
货币资金,1367.25,1185.19,182.06,15.36%,1.05%,7.45%,6.86%,0.60%,
应收票据,680.03,723.79,-43.76,-6.05%,-0.25%,3.71%,4.19%,-0.48%,
应收账款,42.06,2.81,39.25,1395.13%,0.23%,0.23%,0.02%,0.21%,
预付款项,419.99,607.29,-187.3,-30.84%,-1.08%,2.29%,3.51%,-1.22%,
应收利息,4.37,0.0,4.37,,0.03%,0.02%,0.00%,0.02%,
其他应收款,9.77,9.27,0.5,5.44%,0.00%,0.05%,0.05%,0.00%,
存货,2763.61,2622.55,141.06,5.38%,0.82%,15.07%,15.18%,-0.11%,
流动资产合计,5287.08,5150.9,136.18,2.64%,0.79%,28.83%,29.81%,-0.98%,红字有错误——重新计算——这种错误导致你在分析报告数字时看不出之间的关系。其实如果验证绝对数值也能看出来，可是你没有看。
固定资产,11350.22,9347.85,2002.37,21.42%,11.59%,61.88%,54.09%,7.79%,
在建工程,1012.25,2050.81,-1038.55,-50.64%,-6.01%,5.52%,11.87%,-6.35%,
工程物资,12.08,16.97,-4.89,-28.83%,-0.03%,0.07%,0.10%,-0.03%,
无形资产,317.13,320.04,-2.91,-0.91%,-0.02%,1.73%,1.85%,-0.12%,
长期待摊费用,0.88,18.31,-17.43,-95.18%,-0.10%,0.00%,0.11%,-0.10%,
递延所得税资产,361.18,376.28,-15.09,-4.01%,-0.09%,1.97%,2.18%,-0.21%,
非流动资产合计,13053.74,12130.26,923.48,7.61%,5.34%,71.17%,70.19%,0.98%,
