财务收支记账表,财务收支记账表.1,财务收支记账表.2,财务收支记账表.3,财务收支记账表.4,财务收支记账表.5,财务收支记账表.6,财务收支记账表.7,财务收支记账表.8,财务收支记账表.9,财务收支记账表.10,财务收支记账表.11,财务收支记账表.12,财务收支记账表.13,财务收支记账表.14
,,,,,,,,,,,,,,
"￥1,900.0","￥1,900.0 ",,"￥5,100.0","￥5,100.0 ","￥8,000.0","￥8,000.0 ","￥8,000.0 ","￥6,100.0","￥6,100.0 ",,,,,
支出费用,支出费用,,收入费用, 收入费用,,本月预算,,预算剩余, 预算剩余,,,,,
,,,,,,,,,,,,,,
支出明细,支出明细,支出明细,支出明细,支出明细,支出明细,支出明细,支出明细,支出明细,收入明细,收入明细,收入明细,收入明细,收入明细,收入明细
日期,支出分类,支出分类,项目,项目,金额,结算方式,记账人,备注,日期,收入分类,项目,金额,结算方式,记账人
2020-4-24,差旅费车费,差旅费车费,支出项目1,支出项目1,300,微信,姓名1,,2020-4-24,收入1,收入项目1,2000,微信,姓名1
2020-4-25,差旅费车费,差旅费车费,支出项目2,支出项目2,200,网银转账,姓名2,,2020-4-25,收入2,收入项目2,300,网银转账,姓名2
2020-4-26,宣传费,宣传费,支出项目3,支出项目3,1000,现金,姓名3,,2020-4-26,收入3,收入项目3,1700,现金,姓名3
2020-4-27,电讯费,电讯费,支出项目4,支出项目4,200,支付宝,姓名4,,2020-4-27,收入4,收入项目4,800,支付宝,姓名4
2020-4-28,其他,其他,支出项目5,支出项目5,200,网银转账,姓名5,,2020-4-28,收入5,收入项目5,300,网银转账,姓名5
