项目主要材料盈亏分析表-序号,项目主要材料盈亏分析表-物资名称,项目主要材料盈亏分析表-规格型号,项目主要材料盈亏分析表-单位,项目主要材料盈亏分析表-收入数量,项目主要材料盈亏分析表-调拨数量,项目主要材料盈亏分析表-结存数量,项目主要材料盈亏分析表-账面耗用数量,项目主要材料盈亏分析表-设计量,项目主要材料盈亏分析表-工程实际耗用量,项目主要材料盈亏分析表-工程实际耗用量.1,项目主要材料盈亏分析表-工程实际耗用量.2,项目主要材料盈亏分析表-盈亏量,项目主要材料盈亏分析表-截止日期：-盈亏量,项目主要材料盈亏分析表-实际盈亏比例,项目主要材料盈亏分析表-备注
序号,物资名称,规格型号,单位,收入数量,调拨数量,结存数量,账面耗用数量,设计量,结构工程,临时工程,小计,与设计对比,与实耗量对比,实际盈亏比例,备注
1,碎石,32MM,吨,295.99,1.0,32.57,463.36,463.55,463.55,1.0,464.55,-1.0,0.19,0.06%,
2,碎石,32MM,吨,585.0,2.0,583.0,544.0,524.0,542.0,2.0,544.0,-20.0,-2.0,-0.34%,
3,碎石,32MM,吨,254.0,3.0,251.0,653.0,655.0,652.0,3.0,655.0,0.0,-1.0,-0.39%,
4,碎石,32MM,吨,255.0,4.0,251.0,152.0,153.0,155.0,4.0,159.0,-6.0,3.0,1.18%,
5,碎石,32MM,吨,522.0,5.0,517.0,421.0,451.0,421.0,5.0,426.0,25.0,0.0,0.00%,
19,,,,,,0.0,,,,,0.0,0.0,0.0,,
20,,,,,,0.0,,,,,0.0,0.0,0.0,,
21,,,,,,0.0,,,,,0.0,0.0,0.0,,
22,,,,,,0.0,,,,,0.0,0.0,0.0,,
,,,,,,,,,,,,,,,
,项目主管：,,,,,工程：,,,,机料：,,,统计：,,
