账单统计明细-账单统计明细-序号,账单统计明细-账单统计明细-时间/月份,账单统计明细-账单统计明细-往来单位,账单统计明细-账单统计明细-前期欠款合计,账单统计明细-账单统计明细-前期欠款合计.1,账单统计明细-账单统计明细-本期欠款合计,账单统计明细-账单统计明细-本期欠款合计.1,账单统计明细-账单统计明细-核算明细,账单统计明细-账单统计明细-核算明细.1,账单统计明细-账单统计明细-目前仍欠款,账单统计明细-账单统计明细-是否结清
序号,时间/月份,往来单位,前期欠款,前期还款,本次欠款,本次还款,累计欠款,累计还款,目前仍欠款,是否结清
1,2017/3月1日,单位1,"￥5,500.00","￥5,500.00","￥7,200.00","￥7,200.00","￥12,700.00","￥12,700.00",￥0.00,是
2,2017/3月2日,单位2,"￥5,501.00","￥5,501.00","￥6,900.00","￥3,500.00","￥12,401.00","￥9,001.00","￥3,400.00",否
3,2017/3月3日,单位3,"￥5,502.00","￥5,502.00","￥8,100.00","￥7,500.00","￥13,602.00","￥13,002.00",￥600.00,否
4,2017/3月4日,单位4,"￥5,503.00","￥5,503.00","￥4,300.00","￥4,300.00",,"￥9,803.00","￥-9,803.00",是
5,2017/3月5日,单位5,"￥5,504.00","￥5,504.00","￥3,700.00","￥3,000.00","￥9,204.00","￥8,504.00",￥700.00,否
6,2017/3月6日,单位6,"￥5,505.00","￥5,505.00","￥3,300.00","￥2,900.00","￥8,805.00","￥8,405.00",￥400.00,否
7,2017/3月7日,单位7,"￥5,506.00","￥5,506.00","￥6,200.00","￥6,200.00","￥11,706.00","￥11,706.00",￥0.00,是
8,2017/4月8日,单位8,"￥5,507.00","￥5,507.00","￥6,201.00","￥6,201.00","￥11,708.00","￥11,708.00",￥0.00,是
9,2017/4月9日,单位9,"￥5,508.00","￥5,508.00","￥6,202.00","￥6,202.00","￥11,710.00","￥11,710.00",￥0.00,是
10,2017/4月10日,单位10,"￥5,509.00","￥5,509.00","￥4,300.00","￥4,300.00","￥9,809.00","￥9,809.00",￥0.00,是
11,2017/4月11日,单位11,"￥5,510.00","￥5,510.00","￥4,301.00","￥4,301.00","￥9,811.00","￥9,811.00",￥0.00,是
12,2017/4月12日,单位12,"￥5,511.00","￥5,511.00","￥5,700.00","￥4,800.00","￥11,211.00","￥10,311.00",￥900.00,否
13,2017/4月13日,单位13,"￥5,512.00","￥5,512.00","￥2,900.00","￥2,900.00","￥8,412.00","￥8,412.00",￥0.00,是
14,2017/4月14日,单位14,"￥5,513.00","￥5,513.00","￥2,901.00","￥2,901.00","￥8,414.00","￥8,414.00",￥0.00,是
15,2017/5月17日,单位15,"￥5,514.00",,"￥2,902.00",,"￥8,416.00",,"￥8,416.00",是
16,2017/5月18日,单位16,"￥5,515.00","￥5,515.00","￥2,903.00","￥2,903.00","￥8,418.00","￥8,418.00",,
17,2017/5月19日,单位17,"￥5,516.00","￥5,516.00","￥2,904.00","￥2,904.00","￥8,420.00","￥8,420.00",￥0.00,是
18,2017/5月20日,单位18,"￥5,517.00","￥5,517.00","￥2,905.00","￥2,905.00","￥8,422.00","￥8,422.00",￥0.00,是
19,2017/5月21日,单位19,"￥5,518.00","￥5,518.00","￥2,906.00","￥2,906.00","￥8,424.00","￥8,424.00",￥0.00,是
20,2017/5月22日,单位20,"￥5,519.00","￥5,519.00","￥2,907.00","￥2,907.00","￥8,426.00","￥8,426.00",￥0.00,是
21,2017/5月23日,单位21,"￥5,520.00","￥5,520.00","￥2,908.00","￥2,908.00","￥8,428.00","￥8,428.00",￥0.00,是
22,2017/5月24日,单位22,"￥5,521.00","￥5,521.00","￥2,909.00","￥2,909.00","￥8,430.00","￥8,430.00",￥0.00,是
23,2017/5月25日,单位23,"￥5,522.00","￥5,522.00","￥2,910.00","￥2,910.00","￥8,432.00","￥8,432.00",￥0.00,是
24,2017/5月26日,单位24,"￥5,523.00","￥5,523.00","￥2,911.00","￥2,911.00","￥8,434.00","￥8,434.00",￥0.00,是
25,2017/5月27日,单位25,"￥5,524.00","￥5,524.00","￥2,912.00","￥2,912.00","￥8,436.00","￥8,436.00",￥0.00,是
