序号-序号-序号,百货店各品类合作扣率及合同费用标准汇总表-品类-品类-品类,百货店各品类合作扣率及合同费用标准汇总表-合同内容-扣率-扣率,百货店各品类合作扣率及合同费用标准汇总表-合同内容-广告费-广告费,百货店各品类合作扣率及合同费用标准汇总表-合同内容-信用卡手续费%-国内卡,百货店各品类合作扣率及合同费用标准汇总表-合同内容-信用卡手续费%-国际卡,百货店各品类合作扣率及合同费用标准汇总表-合同内容-合同保证金-合同保证金,百货店各品类合作扣率及合同费用标准汇总表-合同内容-质量保证金-质量保证金,百货店各品类合作扣率及合同费用标准汇总表-合同内容-商场管理费-商场管理费,百货店各品类合作扣率及合同费用标准汇总表-合同内容-店庆促销费-店庆促销费,百货店各品类合作扣率及合同费用标准汇总表-合同内容-导购员培训费/月/人-导购员培训费/月/人,百货店各品类合作扣率及合同费用标准汇总表-合同内容-导购员服务保证金/人-导购员服务保证金/人,百货店各品类合作扣率及合同费用标准汇总表-合同内容-工装/套-工装/套,百货店各品类合作扣率及合同费用标准汇总表-合同内容-电费/千瓦-电费/千瓦,百货店各品类合作扣率及合同费用标准汇总表-备注-备注-备注
1,化妆品,22%-28%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
2,钟表,8%-13%,1%,1.0,4.0,"￥10,000.00","￥10,000.00","￥2,000.00","￥2,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
3,黄金珠宝,8%-22%,1%,1.0,4.0,"￥10,000.00","￥10,000.00","￥2,000.00","￥2,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
4,女鞋,22%-26%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
5,女性饰品,22%-26%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
6,女包,22%-28%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
7,成熟女装,22%-28%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
8,休闲女装,22%-28%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
9,内衣,20%-25%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
10,羊绒,18%-26%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
11,男士正装,20%-26%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
12,男士休闲,20%-26%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
13,男鞋,20%-26%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
14,男包,20%-26%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
15,运动,15%-18%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
16,儿童,16%-23%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
17,床用,22%-26%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
18,小家电,15%-18%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
19,电子、手机数码,5%-8%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
20,家居、礼品,18%-25%,1%,1.0,4.0,"￥5,000.00","￥3,000.00","￥1,000.00","￥1,000.00",￥10.00,￥200.00,￥350.00,￥0.80,
21,烟酒茶叶,租赁,,,,,,,,,,,,
22,其他杂类,,,,,,,,,,,,,
