联营扣点-序号,联营扣点-项目,联营扣点-联营扣点,联营扣点-销售保底额万/年,联营扣点-金额元/天,联营扣点-毛利润
1.0,猪、牛、羊肉,0.05,6480000.0,18000.0,324000.0
2.0,禽类,0.06,5184000.0,14400.0,311040.0
3.0,配菜,0.11,432000.0,1200.0,47520.0
4.0,水果,0.04,4752000.0,13200.0,190080.0
5.0,蔬菜,0.02,2160000.0,6000.0,43200.0
6.0,熟食,0.15,2880000.0,8000.0,432000.0
7.0,拌菜,0.16,1296000.0,3600.0,207360.0
8.0,五谷杂粮,0.16,1296000.0,3600.0,207360.0
9.0,腌腊制品,0.16,648000.0,1800.0,103680.0
10.0,加工食品,0.18,2808000.0,7800.0,505440.0
11.0,散装酱菜,0.16,432000.0,1200.0,69120.0
12.0,水产活鱼,0.02,936000.0,2600.0,18720.0
13.0,水产冰鲜,0.02,1080000.0,3000.0,21600.0
14.0,南北干货,0.16,2419200.0,6720.0,387072.0
15.0,冲调食品,0.16,2160000.0,6000.0,345600.0
16.0,奶制品,0.16,5184000.0,14400.0,829440.0
17.0,酒水饮料,0.13,4320000.0,12000.0,561600.0
18.0,冷冻冷藏食品,0.16,4320000.0,12000.0,691200.0
19.0,干性副食品,0.16,3888000.0,10800.0,622080.0
20.0,进口食品,0.25,2880000.0,8000.0,720000.0
21.0,化妆品,0.18,1296000.0,3600.0,233280.0
22.0,个人清洁用品,0.18,3456000.0,9600.0,622080.0
23.0,家居清洁用品,0.19,3456000.0,9600.0,656640.0
24.0,图书文具,0.22,648000.0,1800.0,142560.0
25.0,休闲、工具用品,0.21,475200.0,1320.0,99792.0
26.0,小家电,0.2,1368000.0,3800.0,273600.0
27.0,通讯器材,0.2,2160000.0,6000.0,432000.0
28.0,电脑及办公用品耗材,0.2,2160000.0,6000.0,432000.0
29.0,自行车电动车,0.2,2361600.0,6560.0,472320.0
30.0,鞋类,0.2,1296000.0,3600.0,259200.0
31.0,服装服饰,0.2,2376000.0,6600.0,475200.0
32.0,婴儿用品,0.2,1375200.0,3820.0,275040.0
33.0,纺织品,0.2,2095200.0,5820.0,419040.0
,合计,0.153,80078400.0,222440.0,11430864.0
