汽车运输公里数-省份,汽车运输公里数-站名,汽车运输公里数-里程,汽车运输公里数-省份.1,汽车运输公里数-站名.1,汽车运输公里数-里程.1,汽车运输公里数-省份.2,汽车运输公里数-站名.2,汽车运输公里数-里程.2,汽车运输公里数-省份.3,汽车运输公里数-站名.3,汽车运输公里数-里程.3,汽车运输公里数-省份.4,汽车运输公里数-站名.4,汽车运输公里数-里程.4
北京,北京,500.0,河南,隧平,500.0,山东,永城,620,湖北省,宜昌远安,897.0,湖南省,长沙,1185
北京,昌平,600.0,河南,邓州,620.0,山东,吕梁,589,湖北省,武汉,830.0,湖南省,岳阳,1051
北京,顺义,560.0,河南,获嘉,230.0,山东,济南,300,湖北省,十堰,780.0,湖南省,邵阳,1415
北京,涿州,450.0,河南,商丘,510.0,山东,聊城,200,湖北省,宜昌,920.0,湖南省,浏阳,
北京,机场,550.0,河南,登封,430.0,山东,高唐,220,湖北省,竹溪,1100.0,湖南省,衡阳,1365
北京,平谷,650.0,河南,济源,450.0,山东,临沂,580,湖北省,鄂州,890.0,湖南省,湘潭,1235
北京,大兴,550.0,河南,鲁山,485.0,山东,滨州,439,湖北省,黄石,920.0,湖南省,株洲,1230
北京,良乡,480.0,河南,济阳,355.0,山东,潍坊,550,湖北省,襄樊,670.0,湖南省,桂阳,1539
北京,丰谷,650.0,河南,夏浥,564.0,山东,五莲,580,湖北省,宜都,1100.0,湖南省,常德,1373
,,,河南,安阳,90.0,山东,济宁,370,湖北省,咸宁,920.0,湖南省,娄底,1355
,,,河南,辉县,240.0,山东,菏泽,320,湖北省,老河口,670.0,湖南省,吉首,1683
上海,上海,1300.0,河南,新安,460.0,山东,枣庄,580,湖北省,大冶,941.0,湖南省,耒阳,1434
上海,昆山,1250.0,河南,渑池,530.0,山东,日照,680,湖北省,谷城,700.0,湖南省,冷水江,1435
上海,金山,1300.0,河南,巩义,370.0,山东,青岛,700,湖北省,恩施,1450.0,湖南省,双峰,1358
上海,芦潮港,1400.0,河南,驻马店,500.0,山东,德州,290,江苏省,盛昌,1280.0,湖南省,祁阳,1472
上海,南江,1350.0,河南,舞阳,500.0,山东,淄博,450,江苏省 ,江宁,920.0,湖南省,石门,1478
上海,嘉水,1350.0,河南,灵宝,660.0,山东,烟台,850,江苏省 ,沭阳,740.0,湖南省,永州,1524
重庆,重庆,2197.0,河南,汝阳,550.0,山东,威海,910,江苏省 ,南京,900.0,云南,昆明,2842
重庆,茄子溪,2200.0,河南,博爱,368.0,山东,容城,900,江苏省 ,连云港,800.0,广西省,南宁,2400
河北,石家庄,230.0,河南,辉县,238.0,山东,泰安,390,江苏省 ,扬州,980.0,广西省,桂林,1800
河北,秦皇岛,830.0,,,,山东,莱芜,440,江苏省 ,苏州,1210.0,广西省,柳州,2200
河北,保定,360.0,,,,山东,曲阜,420,江苏省 ,南通,1250.0,广西省,钦州,2536
河北,张家口,740.0,,,,山东,龙口,720,江苏省 ,淮阴,860.0,广西省,北海,2620
河北,唐山,690.0,内蒙,包头,1250.0,山东,激扬,355,江苏省 ,镇江,1030.0,,桃江,1300
河北,丰南区,720.0,内蒙,呼和浩特,1100.0,山东,邹城,500,江苏省 ,丹阳,1030.0,,,
河北,迁安,840.0,内蒙,额尔多斯,1300.0,山东,章丘,350,江苏省 ,常州,1080.0,,,
河北,衡水,250.0,内蒙,赤峰,1000.0,山东,寿光,530,江苏省 ,盐城,1000.0,贵州省,贵阳,2224
河北,鹿泉,240.0,内蒙,鄂托克旗,1650.0,山东,诸城,640,江苏省 ,江阴,1220.0,贵州省,镇远县,2036
河北,沧州,440.0,内蒙,联合旗,1400.0,山东,商河,380,江苏省 ,无锡,1150.0,,,
河北,泊头,480.0,内蒙,丰镇,785.0,山东,胶洲,640,江苏省 ,泰州,1100.0,,,
河北,承德,750.0,内蒙,巴彦胡硕乌拉盖,1560.0,山东,冠县,140,江苏省 ,张家港,1230.0,江西省,南昌,1290
河北,滦平,700.0,内蒙,林河,1500.0,山东,兖州,460,江苏省 ,吴江,1230.0,江西省,抚州,1400
河北,新乐,260.0,内蒙,乌拉特中旗,1422.0,山东,滨州,439,江苏省 ,徐州,650.0,江西省,吉安,1510
河北,宣化,710.0,内蒙,乌神旗,1150.0,山东,邹平,375,江苏省 ,盛泽,1280.0,江西省,九江,1148
河北,廊坊,450.0,内蒙,乌海棋盘井,1698.0,山东,蓬莱,770,江苏省 ,淮安,870.0,江西省,赣州,1710
河北,冀县,340.0,内蒙,通辽,1429.0,山东,东营,510,江苏省 ,涟水,880.0,江西省,鹰潭,1485
河北,藁城,260.0,内蒙,丰镇,780.0,山东,胶南,730,江苏省 ,靖江,1200.0,江西省,樟树,1397
河北,唐县,350.0,内蒙,呼伦贝尔,2764.0,山东,青州,495,江苏省 ,丹徒,1010.0,江西省,丰城,1371
河北,深州,330.0,内蒙,伊金霍洛齐,1340.0,山东,崂山,720,江苏省 ,启东市,1348.0,江西省,远安,897
河北,邢台,97.0,内蒙,满洲里,2759.0,山东,乳山,797,江苏省 ,如东,1300.0,江西省,德兴,1384
河北,涉县,60.0,,,,山东,滕州,525,江苏省 ,淮南,904.0,江西省,上犹,1737
河北,辛集,270.0,,,,山西,晋中,430,浙江省,杭州,1300.0,广东省,广州,2200
河北,南宫,200.0,,,,山西,太原,400,浙江省,嘉兴,1300.0,广东省,湛江,2950
河北,黄骅,440.0,,,,山西,安唐,800,浙江省,宁波,1440.0,广东省,韶关,1960
河北,固安,473.0,,,,山西,离石,540,浙江省,宁海,1516.0,广东省,番禺,2290
河北,临城,160.0,,,,山西,临汾,330,浙江省,绍兴,1380.0,广东省,江门,2298
河北,辛集,270.0,,,,山西,长治,190,浙江省,乐清,1727.0,,,
河北,平山,300.0,,,,山西,左云,850,浙江省,温州,1772.0,四川省,成都,1800
河北,隆尧,160.0,辽宁省,阜新,1175.0,山西,右玉,800,浙江省,丽水,1650.0,四川省,雅安,1950
河北,深泽,311.0,辽宁省,沈阳,1270.0,山西,晋城,290,浙江省,建德,1460.0,,,
河北,尉县,835.0,辽宁省,营口,1200.0,山西,榆次,400,浙江省,千岛湖,1530.0,福建省,福州,2040
河北,宁晋,200.0,辽宁省,鞍山,1215.0,山西,阳泉,340,浙江省,金华,1600.0,福建省,厦门,2353
河北,固安,473.0,辽宁省,绥中,910.0,山西,大同,740,浙江省,台州,1750.0,福建省,泉州,2236
