年份,题量,分值,内容,题号,考查内容
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,
2011年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,16,
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,
2011年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,
2011年,1题（主观题2问）,14分=8+6,文化生活,39（2）,
2011年,1题（主观题2问）,14分=8+6,文化生活,39（3）,
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,19,
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,20,
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,21,
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,22,
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,23,
2011年,6题（选择题5个，主观题1问）,32分=20+12,哲学生活,39（1）,
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,
2012年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（1）,
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,16,
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,
2012年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（2）,
2012年,2题（选择题1个主观题1问）,16分=4+12,文化生活,21,
2012年,2题（选择题1个主观题1问）,16分=4+12,文化生活,39（1）,
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,19,
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,20,
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,22,
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,23,
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,39（2）,
2012年,6题（选择题4个，主观题2问）,30分=16+10+4,哲学生活,39（3）,
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,15,
2013年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,16,
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,
2013年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,
2013年,2题（选择题1个主观题1问）,14分=4+10,文化生活,20,
2013年,2题（选择题1个主观题1问）,14分=4+10,文化生活,39（1）,
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,19,
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,21,
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,22,
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,23,
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,39（2）,
2013年,6题（选择题4个，主观题2问）,32分=16+12+4,哲学生活,39（3）,
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,12,
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,13,
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,14,
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,16,
2014年,5题（选择4个、主观题1问）,30分=16+14,经济生活,38（2）,
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,15,
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,17,
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,18,
2014年,4题（选择题3个、主观题1问）,24分=12+12,政治生活,38（1）,
2014年,3题（选择题1个主观题2问）,18分=4+10+4,文化生活,19,
2014年,3题（选择题1个主观题2问）,18分=4+10+4,文化生活,39（1）,
2014年,3题（选择题1个主观题2问）,18分=4+10+4,文化生活,39（3）,
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,20,
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,21,
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,22,
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,23,
2014年,5题（选择题4个，主观题1问）,28分=16+12,哲学生活,39（2）,
