名称,型号,单位,数值
矩形空心型钢,□50×25×1.2,kg/m,1.338
矩形空心型钢,□50×25×1.5,kg/m,1.65
矩形空心型钢,□50×30×2.5,kg/m,2.817
矩形空心型钢,□50×30×3.0,kg/m,3.3029
矩形空心型钢,□50×30×4.0,kg/m,4.198
矩形空心型钢,□60×30×2.5,kg/m,3.209
矩形空心型钢,□60×30×3.0,kg/m,3.774
矩形空心型钢,□60×30×4.0,kg/m,4.8259
矩形空心型钢,□60×40×2.5,kg/m,3.6019
矩形空心型钢,□60×40×3.0,kg/m,4.245
矩形空心型钢,□60×40×4.0,kg/m,5.4539
矩形空心型钢,□70×50×3.0,kg/m,5.187
矩形空心型钢,□70×50×4.0,kg/m,6.71
矩形空心型钢,□70×50×5.0,kg/m,8.1289
矩形空心型钢,□80×40×2.5,kg/m,4.3869
矩形空心型钢,□80×40×3.0,kg/m,5.187
矩形空心型钢,□80×40×4.0,kg/m,6.71
矩形空心型钢,□80×40×5.0,kg/m,8.1289
矩形空心型钢,□80×60×3.0,kg/m,6.1289
矩形空心型钢,□80×60×4.0,kg/m,7.966
矩形空心型钢,□80×60×5.0,kg/m,9.6989
矩形空心型钢,□90×40×3.0,kg/m,5.658
矩形空心型钢,□90×40×4.0,kg/m,7.338
矩形空心型钢,□90×40×5.0,kg/m,8.9914
矩形空心型钢,□90×50×3.0,kg/m,6.1289
矩形空心型钢,□90×50×4.0,kg/m,7.966
矩形空心型钢,□90×50×5.0,kg/m,9.6989
矩形空心型钢,□90×60×3.0,kg/m,6.6
矩形空心型钢,□90×60×4.0,kg/m,8.5939
矩形空心型钢,□90×60×5.0,kg/m,40.484
矩形空心型钢,□100×50×3.0,kg/m,6.6
矩形空心型钢,□100×50×4.0,kg/m,8.5939
矩形空心型钢,□100×50×5.0,kg/m,10.484
矩形空心型钢,□120×60×3.0,kg/m,8.0129
矩形空心型钢,□120×60×4.0,kg/m,10.478
矩形空心型钢,□120×60×5.0,kg/m,12.839
矩形空心型钢,□120×80×6.0,kg/m,15.097
矩形空心型钢,□120×80×3.0,kg/m,8.955
矩形空心型钢,□120×80×4.0,kg/m,11.734
矩形空心型钢,□120×80×5.0,kg/m,14.409
矩形空心型钢,□120×80×6.0,kg/m,16.981
矩形空心型钢,□140×80×4.0,kg/m,12.99
矩形空心型钢,□140×80×5.0,kg/m,15.978
矩形空心型钢,□140×100×6.0,kg/m,18.865
矩形空心型钢,□150×100×4.0,kg/m,14.874
矩形空心型钢,□150×100×5.0,kg/m,18.334
矩形空心型钢,□150×100×6.0,kg/m,21.69
矩形空心型钢,□150×100×8.0,kg/m,28.096
矩形空心型钢,□160×80×4.0,kg/m,14.246
矩形空心型钢,□160×80×5.0,kg/m,17.548
矩形空心型钢,□160×80×6.0,kg/m,20.748
矩形空心型钢,□160×80×8.0,kg/m,26.84
矩形空心型钢,□180×100×4.0,kg/m,16.757
矩形空心型钢,□180×100×5.0,kg/m,20.689
矩形空心型钢,□180×100×6.0,kg/m,24.516
矩形空心型钢,□180×100×8.0,kg/m,31.864
矩形空心型钢,□200×100×4.0,kg/m,18.013
矩形空心型钢,□200×100×5.0,kg/m,22.259
矩形空心型钢,□200×100×6.0,kg/m,26.401
矩形空心型钢,□200×100×8.0,kg/m,34.375
