全国统一安装工程施工仪器仪表台班费用-编码,全国统一安装工程施工仪器仪表台班费用-名称及规格型号,全国统一安装工程施工仪器仪表台班费用-单位,全国统一安装工程施工仪器仪表台班费用-单价
200212460050,对讲机  motorola,台班,3.34
200212461000,对话机,台班,5.65
200212540050,低频信号发生器  XD7,台班,3.44
200212540100,低频信号发生器  XD-5,台班,6.07
200212540150,低频信号发生器  YS-39,台班,4.21
200212540200,低频信号发生器  QF1020,台班,3.44
200212540250,低频信号发生器  XD-1,台班,6.37
200212540300,低频信号发生器  MCR-4031,台班,11.75
200212540350,低频信号发生器  2201D,台班,3.75
200212540400,低频信号发生器  XFD-7,台班,3.44
200212540450,低频信号发生器  NF1032,台班,3.6
200212540500,高频信号发生器  QF1052,台班,13.9
200212540550,高频信号发生器  QF1052A,台班,14.98
200212540600,高频信号发生器  QF1052B,台班,10.37
200212540650,高频信号发生器  QF1055,台班,10.98
200212540700,高频信号发生器  QF1073,台班,9.06
200212540750,高频信号发生器  QF1075,台班,9.44
200212540800,高频信号发生器  QF1076,台班,14.06
200212540850,高频信号发生器  XB30,台班,3.44
200212540900,标准信号发生器  2017,台班,22.38
200212540950,标准信号发生器  2022A,台班,100.33
200212541000,标准信号发生器  XB10,台班,12.52
200212541050,标准信号发生器  XB16,台班,13.05
200212541100,标准信号发生器  XB28A,台班,10.52
200212541150,标准信号发生器  XB30,台班,13.28
200212541200,标准信号发生器  XB9A,台班,10.52
200212541250,标准信号发生器  XFC-6,台班,5.75
200212541300,标准信号发生器  XFG-7,台班,4.21
200212541350,标准信号发生器  JSG1051B,台班,36.5
200212541400,标准信号发生器  KSG-4110,台班,38.81
200212541450,标准信号源  LSG-3215,台班,37.28
200212541500,标准信号源  MSG-2000,台班,35.74
200212541550,标准信号源  MSG-2580,台班,54.19
200212541600,标准信号源  SG4110A,台班,34.21
200212541650,标准信号发生器  SG4162A/D,台班,34.21
200212541700,标准信号发生器  QF1090,台班,74.18
200212541750,标准信号发生器  ZN1070,台班,20.67
200212541800,标准信号发生器  XG-2,台班,20.36
200212541850,标准信号发生器  XB10A,台班,13.9
200212541900,标准信号发生器  XB38,台班,13.9
200212541950,标准信号发生器  XB20A,台班,10.52
200212542000,标准信号发生器  XB7,台班,5.14
