编号-编号,第七章金属结构制作工程项目名称-第七章金属结构制作工程项目名称,单位-单位,省基价-2003年,人工-人工,材料-材料,机械-机械
7-1-1,实腹钢柱|3t以内,t,4718.12,305.8,3185.09,1227.23
7-1-2,实腹钢柱|5t以内,t,4554.69,267.96,3090.47,1196.26
7-1-3,实腹钢柱|7t以内,t,4566.77,268.4,3117.59,1180.78
7-1-4,空腹钢柱|7t以内,t,4709.38,254.76,3278.49,1176.13
7-1-5,空腹钢柱|7t以外,t,4870.84,247.28,3458.27,1165.29
7-2-1,轻钢屋架,t,4819.68,474.54,3189.63,1155.51
7-2-2,钢屋架|3t以内,t,4244.08,341.88,3102.93,799.27
7-2-3,钢屋架|3t以内,t,4204.15,320.32,3095.5,788.33
7-2-4,钢屋架|5t以内,t,4090.88,297.0,3013.37,780.51
7-2-5,钢屋架|8t以内,t,4022.48,256.3,3013.82,752.36
7-2-6,钢托架|1.5t以内,t,4214.75,336.38,3026.84,851.53
7-2-7,钢托架|3t以内,t,4184.57,328.46,3004.58,851.53
7-2-8,钢托架|5t以内,t,4028.52,328.46,2848.53,851.53
7-3-1,钢吊车梁|3t以内,t,4561.43,281.6,3197.58,1082.25
7-3-2,钢吊车梁|5t以内,t,4469.55,277.2,3117.89,1074.46
7-3-3,钢吊车梁|5t以外,t,4434.25,270.6,3110.97,1052.68
7-3-4,钢制动梁,t,4717.43,424.16,3186.71,1106.56
7-3-5,单轨钢吊车梁|直型,t,3989.89,232.32,3257.03,500.54
7-3-6,单轨钢吊车梁|弯型,t,4087.9,325.6,3245.93,516.37
7-3-7,吊车钢车挡,t,4871.09,438.02,3065.42,1367.65
7-4-1,柱间钢支撑,t,4255.95,365.42,3043.67,846.86
7-4-2,屋架钢支撑|十字,t,4075.19,343.42,2973.15,758.62
7-4-3,屋架钢支撑|平面组合,t,4158.86,364.76,2944.79,849.31
7-4-4,型钢檩条,t,3867.67,262.24,2951.57,653.86
7-4-5,钢天窗架,t,4185.8,304.26,3097.9,783.64
7-4-6,钢挡风架,t,4250.4,294.58,3291.95,663.87
7-4-7,钢墙架,t,5069.76,447.92,3509.84,1112.0
7-4-8,钢防风桁架,t,3889.05,261.36,2976.32,651.37
7-5-1,钢平台|篦式,t,4592.43,415.36,3196.55,980.52
7-5-2,钢平台|板式,t,4738.68,330.0,3493.21,915.47
7-5-3,钢走道平台|板式,t,5299.28,533.94,3676.42,1088.92
7-5-4,钢梯子|踏步式,t,4985.06,696.3,3137.9,1150.86
7-5-5,钢梯子|直梯,t,4860.16,705.54,2906.2,1248.42
7-5-6,钢梯子|螺旋式,t,5142.39,463.1,3779.3,899.99
7-5-7,钢栏杆|型钢,t,4436.26,608.3,3062.27,765.69
7-5-8,钢栏杆|钢管,t,5467.46,732.16,3675.37,1059.93
7-5-9,钢栏杆|圆(方)钢,t,4259.11,488.4,3051.47,719.24
7-5-10,钢零星构件,t,5421.87,623.7,3612.95,1185.22
7-6-1,钢漏斗|方形,t,5174.0,409.64,3386.29,1378.07
7-6-2,钢漏斗|圆形,t,4929.47,310.2,3256.65,1362.62
7-6-3,H型钢,t,5329.66,317.46,2990.86,2021.34
7-7-1,板厚(mm)|16以内,10张,403.12,88.0,189.03,126.09
7-7-2,板厚(mm)|30以内,10张,435.91,97.68,190.88,147.35
7-7-3,板厚(mm)|42以内,10张,573.31,117.26,193.02,263.03
7-7-4,板厚(mm)|42以外,10张,721.91,159.94,196.32,365.65
7-7-5,板厚(mm)|25以内,10m,281.58,18.26,161.16,102.16
7-7-6,板厚(mm)|46以内,10m,389.08,24.2,210.93,153.95
7-7-7,板厚(mm)|80以内,10m,529.75,36.3,273.73,219.72
7-8-1,一般钢结构|轻锈,10kg,1.6,0.66,0.23,0.71
7-8-2,一般钢结构|中锈,10kg,2.27,1.1,0.46,0.71
7-8-3,一般钢结构|重锈,10kg,2.95,1.32,0.92,0.71
7-8-4,H型钢制钢结构|轻锈,10m2,30.52,9.02,3.8,17.7
7-8-5,H型钢制钢结构|中锈,10m2,39.37,14.08,7.59,17.7
7-8-6,H型钢制钢结构|重锈,10m2,78.86,45.98,15.18,17.7
7-8-7,金属面|轻锈,10m2,11.04,9.24,1.8,
7-8-8,金属面|中锈,10m2,31.67,22.66,9.01,
7-8-9,金属面|重锈,10m2,102.49,84.48,18.01,
7-8-10,喷石英砂|钢结构|10kg,10kg,29.6,1.76,10.04,17.8
7-8-11,喷石英砂|H型钢制钢结构|10m2,10m2,442.91,38.5,196.36,208.05
7-8-12,喷河砂|钢结构|10kg,10kg,31.62,2.64,4.01,24.97
7-8-13,喷河砂|H型钢制钢结构|10m2,10m2,402.48,55.0,58.75,288.73
7-8-14,金属面|一般,10m2,29.88,5.72,21.82,2.34
7-8-15,金属面|特殊,10m2,33.77,7.26,24.17,2.34
7-9-1,钢屋架、钢托架|1.5t以内,t,191.01,79.86,47.02,64.13
7-9-2,钢屋架、钢托架|3t以内,t,153.9,63.14,38.51,52.25
7-9-3,钢屋架、钢托架|5t以内,t,113.6,45.98,32.96,34.66
7-9-4,钢屋架、钢托架|8t以内,t,125.66,52.14,33.16,40.36
