名称,型号,单位,数值
方形空心型钢,□25×1.2,kg/m,0.8669
方形空心型钢,□25×1.5,kg/m,1.0609
方形空心型钢,□25×1.75,kg/m,1.215
方形空心型钢,□25×2.0,kg/m,1.363
方形空心型钢,□30×2.5,kg/m,2.032
方形空心型钢,□30×3.0,kg/m,2.361
方形空心型钢,□40×2.5,kg/m,2.817
方形空心型钢,□40×3.0,kg/m,3.3029
方形空心型钢,□40×4.0,kg/m,4.198
方形空心型钢,□50×2.5,kg/m,3.6019
方形空心型钢,□50×3.0,kg/m,4.245
方形空心型钢,□50×4.0,kg/m,5.4539
方形空心型钢,□60×2.5,kg/m,4.3869
方形空心型钢,□60×3.0,kg/m,5.187
方形空心型钢,□60×4.0,kg/m,6.71
方形空心型钢,□60×5.0,kg/m,8.1289
方形空心型钢,□70×3.0,kg/m,6.1289
方形空心型钢,□70×4.0,kg/m,7.966
方形空心型钢,□70×5.0,kg/m,9.6989
方形空心型钢,□80×3.0,kg/m,7.0709
方形空心型钢,□80×4.0,kg/m,9.2219
方形空心型钢,□80×5.0,kg/m,11.269
方形空心型钢,□90×3.0,kg/m,8.0129
方形空心型钢,□90×4.0,kg/m,10.478
方形空心型钢,□90×5.0,kg/m,10.839
方形空心型钢,□90×6.0,kg/m,15.097
方形空心型钢,□100×4.0,kg/m,11.734
方形空心型钢,□100×5.0,kg/m,14.409
方形空心型钢,□100×6.0,kg/m,16.981
方形空心型钢,□120×4.0,kg/m,14.246
方形空心型钢,□120×5.0,kg/m,17.548
方形空心型钢,□120×6.0,kg/m,20.748
方形空心型钢,□120×8.0,kg/m,26.84
方形空心型钢,□140×4.0,kg/m,16.757
方形空心型钢,□140×5.0,kg/m,20.689
方形空心型钢,□140×6.0,kg/m,24.516
方形空心型钢,□140×8.0,kg/m,31.864
方形空心型钢,□160×4.0,kg/m,19.27
方形空心型钢,□160×5.0,kg/m,23.829
方形空心型钢,□160×6.0,kg/m,28.285
方形空心型钢,□160×8.0,kg/m,36.887
