名称,型号,单位,数值
刻痕钢丝,5.0,kg/km,0.016
刻痕钢丝,0.055,kg/km,0.019
刻痕钢丝,0.063,kg/km,0.024
刻痕钢丝,7.0,kg/km,2.9999
刻痕钢丝,8.0,kg/km,0.039
刻痕钢丝,8.999,kg/km,5.0
刻痕钢丝,0.1,kg/km,0.062
刻痕钢丝,0.11,kg/km,7.4999
刻痕钢丝,0.12,kg/km,8.8999
刻痕钢丝,0.14,kg/km,0.121
刻痕钢丝,0.16,kg/km,0.158
刻痕钢丝,0.179,kg/km,0.199
刻痕钢丝,0.2,kg/km,0.246
刻痕钢丝,0.22,kg/km,0.2979
刻痕钢丝,0.25,kg/km,0.385
刻痕钢丝,0.28,kg/km,0.4839
刻痕钢丝,,kg/km,0.555
刻痕钢丝,0.32,kg/km,0.631
刻痕钢丝,0.35,kg/km,0.754
刻痕钢丝,0.4,kg/km,0.9889
刻痕钢丝,0.45,kg/km,1.248
刻痕钢丝,0.5,kg/km,1.5389
刻痕钢丝,0.55,kg/km,1.868
刻痕钢丝,,kg/km,2.22
刻痕钢丝,0.63,kg/km,2.47
刻痕钢丝,0.7,kg/km,3.0209
刻痕钢丝,0.8,kg/km,3.948
刻痕钢丝,0.9,kg/km,4.993
刻痕钢丝,1.0,kg/km,6.1619
刻痕钢丝,1.1,kg/km,7.58
刻痕钢丝,1.2,kg/km,8.878
刻痕钢丝,1.4,kg/km,12.08
刻痕钢丝,1.6,kg/km,15.79
刻痕钢丝,1.8,kg/km,19.98
刻痕钢丝,2.0,kg/km,24.66
刻痕钢丝,2.2,kg/km,29.84
刻痕钢丝,2.5,kg/km,38.539
刻痕钢丝,2.8,kg/km,48.34
刻痕钢丝,,kg/km,55.49
刻痕钢丝,3.2,kg/km,63.13
刻痕钢丝,3.5,kg/km,75.519
刻痕钢丝,4.0,kg/km,98.67
刻痕钢丝,4.5,kg/km,124.8
刻痕钢丝,5.0,kg/km,154.2
刻痕钢丝,5.5,kg/km,186.5
刻痕钢丝,,kg/km,221.9
刻痕钢丝,6.299,kg/km,244.7
刻痕钢丝,7.0,kg/km,302.1
刻痕钢丝,8.0,kg/km,394.6
刻痕钢丝,9.0,kg/km,499.4
刻痕钢丝,10.0,kg/km,616.5
刻痕钢丝,11.0,kg/km,746.0
刻痕钢丝,12.0,kg/km,887.8
刻痕钢丝,14.0,kg/km,1208.1
刻痕钢丝,16.0,kg/km,1578.6
注：,,,
1.表中的理论重量是按密度为7.85g/cm3 计算的，对特殊合金钢丝，在计算理论重量时应采用相应牌号的密度。,,,
