名称,型号,单位,数值
热轧槽钢,[5(50×37×4.5),kg/m,5.438
热轧槽钢,[6.3(63×40×4.8),kg/m,6.634
热轧槽钢,[8(80×43×5.0),kg/m,8.045
热轧槽钢,[10(100×48×5.3),kg/m,10.007
热轧槽钢,[12.6(126×53×5.5),kg/m,12.318
热轧槽钢,[14a(140×58×6.0),kg/m,14.535
热轧槽钢,[14b(140×60×8.0),kg/m,16.733
热轧槽钢,[16a(160×63×6.5),kg/m,17.24
热轧槽钢,[16(160×63×8.5),kg/m,19.752
热轧槽钢,[18a(180×68×7.0),kg/m,20.717
热轧槽钢,[18(180×70×9.0),kg/m,23.0
热轧槽钢,[20a×200×73×7.0),kg/m,22.637
热轧槽钢,[20(200×75×9.0),kg/m,25.777
热轧槽钢,[22a(220×77×7.0),kg/m,24.999
热轧槽钢,[22(220×79×9.0),kg/m,28.453
热轧槽钢,[25a(250×78×7.00,kg/m,27.41
热轧槽钢,[25b(250×80×9.0),kg/m,31.335
热轧槽钢,[25c(250×82×11.0),kg/m,35.26
热轧槽钢,[28a(280×82×7.5),kg/m,31.247
热轧槽钢,[28b(280×84×9.5),kg/m,35.823
热轧槽钢,[28c(280×86×11.5),kg/m,40.219
热轧槽钢,[32a(320×88×8.0),kg/m,38.083
热轧槽钢,[32b(320×90×10.0),kg/m,43.107
热轧槽钢,[32c(320×92×12.0),kg/m,48.131
热轧槽钢,[36a(360×96×9.0),kg/m,47.814
热轧槽钢,[36b(360×98×11.0),kg/m,53.466
热轧槽钢,[36c(360×100×13.0),kg/m,59.118
热轧槽钢,[40a(400×100×10.5),kg/m,58.928
热轧槽钢,[40b(400×102×12.5),kg/m,65.208
热轧槽钢,[40c(400×104×14.50),kg/m,71.488
热轧槽钢,[6.5(65×40×4.3),kg/m,6.709
热轧槽钢,[12(120×53×5.5),kg/m,12.059
热轧槽钢,[24a(240×78×7.0),kg/m,26.86
热轧槽钢,[24b(240×80×9.0),kg/m,30.628
热轧槽钢,[24c(240×80×11.0),kg/m,31.396
热轧槽钢,[27a(270×82×7.5),kg/m,30.838
热轧槽钢,[27b(270×84×9.5),kg/m,35.077
热轧槽钢,[27c(270×86×11.5),kg/m,39.316
热轧槽钢,[30a(300×85×7.5),kg/m,34.463
热轧槽钢,[30b(300×87×9.5),kg/m,39.173
热轧槽钢,[30c(300×89×11.5),kg/m,43.883
热轧槽钢,[10(100×45×4.0),kg/m,7.56
热轧槽钢,[12(120×55×4.2),kg/m,9.83
热轧槽钢,[14(140×60×4.4),kg/m,11.52
热轧槽钢,[16(160×65×4.6),kg/m,13.32
热轧槽钢,[18(180×70×4.8),kg/m,15.31
热轧槽钢,[20(200×75×4.8),kg/m,17.61
热轧槽钢,[22(80×5.4×9.7),kg/m,20.91
热轧槽钢,[25(250×85×5.8),kg/m,21.71
热轧槽钢,[28(280×90×6.0),kg/m,27.73
热轧槽钢,[32(320×95×6.2),kg/m,31.49
热轧槽钢,[36(360×105×6.5),kg/m,36.8
热轧槽钢,[40(400×115×7.0),kg/m,43.74
