危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-序号-序号-序号,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-活动、场所或设施--1,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-危险源--2,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-伤害类别--3,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-风险评价-风险评价-可能性L--4,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-风险评价-风险评价-频繁程度E--5,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-风险评价-风险评价-后果C--6,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-风险评价-风险评价-危险等级D--7,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-危险程度--8,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-时态--9,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-状态（10）,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-控制措施--11,危险源辨识及风险评价控制措施表-XX/XXX-05-02-17-2013-单位：铁运部编号：001-备注--12
1,乘务员登乘机车,脚踏板有积雪、油污,滑落摔伤,1,1,3,"一般危险,需要注意",一般,现在,异常,日常做好清理、冬季做好防护措施,
2,更换闸瓦,违章操作制动手柄,挤伤,1,1,0.5,稍有危险,一般,现在,异常,专人防护、呼唤应答,
3,地沟检查,机车底部各尖锐部件,碰伤,1,1,0.5,稍有危险,一般,现在,异常,配戴安全帽,
4,擦拭机车玻璃,脚踏不稳、手抓不牢,摔伤,1,1,0.5,稍有危险,一般,现在,异常,小心作业，加强防护,
5,清理电器间,电器元件漏电,触电,1,1,0.5,稍有危险,一般,现在,异常,关闭总开关、发现老化裸露及时处理,
6,清理电器间,电器间灰尘,粉尘危害,3,2,1,稍有危险,一般,现在,异常,配戴防护用品,
7,更换机车灯泡,电线老化漏电,触电,1,0.5,1,稍有危险,一般,过去,异常,关闭总开关、发现老化裸露及时处理,
8,更换机车灯泡,脚踏不稳、手抓不牢,摔伤,1,0.5,1,稍有危险,一般,现在,异常,小心作业，加强防护,
9,机车加水,登高作业处狭窄,坠落摔伤,1,0.5,1,稍有危险,一般,现在,异常,小心作业，加强防护，天气异常禁止作业,
10,乘务员检查机车,邻线运行机车,撞伤擦伤,1,10,3,"一般危险,需要注意",一般,将来,异常,设专人防护,
11,换端作业,机械间高温部件,灼、烫伤,3,2,1,稍有危险,一般,现在,异常,小心通过,
12,换端作业,机械间运动部件,机械伤害,3,2,1,稍有危险,一般,现在,异常,穿戴整齐、小心通过,
13,修理电器、更换保险,发生短路产生电弧,触电、电弧灼伤,3,2,1,稍有危险,一般,现在,异常,关闭总电源、加强防护,
14,机车运行作业,运行中机车车辆,车辆伤害,1,10,3,"一般危险,需要注意",一般,将来,紧急,禁止飞乘飞降,
15,机车运行作业,机械部件异常松动,机械伤害,1,6,3,"一般危险,需要注意",一般,将来,紧急,加强日常检查、发现异常及时处理,
