海源集团有限公司第二季度销售数据分析表-市区-市区,海源集团有限公司第二季度销售数据分析表-销售量-计划,海源集团有限公司第二季度销售数据分析表-销售量-实际,海源集团有限公司第二季度销售数据分析表-销售量-完成率,海源集团有限公司第二季度销售数据分析表-销售额-计划,海源集团有限公司第二季度销售数据分析表-销售额-实际,海源集团有限公司第二季度销售数据分析表-销售额-完成率,海源集团有限公司第二季度销售数据分析表-同期销售量相比-05年,海源集团有限公司第二季度销售数据分析表-同期销售量相比-同期相比,海源集团有限公司第二季度销售数据分析表-2006年第二季度-同期销售额相比-05年,海源集团有限公司第二季度销售数据分析表-2006年第二季度-同期销售额相比-同期相比
青岛市,2542,2110,83.01%,13500,12000,88.89%,2290,92.14%,12900,93.02%
烟台市,2436,2160,88.67%,13000,11080,85.23%,2300,93.91%,11500,96.35%
济南市,2635,2250,85.39%,11200,10300,91.96%,2100,107.14%,10000,103.00%
厦门市,3390,2870,84.66%,23000,21050,91.52%,2960,96.96%,22600,93.14%
上海市,3200,2890,90.31%,19000,16800,88.42%,2780,103.96%,15600,107.69%
北京市,3190,2900,90.91%,20070,17500,87.19%,2860,101.40%,16800,104.17%
西安市,3200,2980,93.13%,19800,15600,78.79%,3000,99.33%,16700,93.41%
大连市,3320,3000,90.36%,19000,16500,86.84%,2980,100.67%,16500,100.00%
深圳市,3460,3070,88.73%,22690,20080,88.50%,3000,102.33%,19800,101.41%
珠海市,3380,3100,91.72%,20000,16700,83.50%,3250,95.38%,17500,95.43%
广东市,3360,3100,92.26%,21500,19800,92.09%,3200,96.88%,20000,99.00%
全国,34113,30430,89.20%,202760,177410,87.50%,30720,99.06%,179900,98.62%
