会所项目预算-序号,会所项目预算-人员安排,会所项目预算-角色,会所项目预算-大致成本(元/月),会所项目预算-主要职责分工
1,,项目经理1名,,01.项目沟通交流
1,,项目经理1名,,02.项目进度掌控
1,,项目经理1名,,03.核心技术框架制定
1,,项目经理1名,,04.工作任务划分分配、审核、验收
1,,项目经理1名,,05.开发平台建设
1,,项目经理1名,,06.样例程序制作
1,,项目经理1名,,07.日常管理工作
1,,项目经理1名,,08.重要文档成果物的整理
1,,项目经理1名,,09.测试验收各个模块
1,,项目经理1名,,10.架构设计整个系统的核心权限部分
1,,项目经理1名,,11.解决疑难技术问题
1,,项目经理1名,,12.模块设计指导
2,,高级程序员1名,5000.0,01.工程管理模块相关工作完成
2,,高级程序员1名,5000.0,02.合同管理模块相关工作完成
2,,高级程序员1名,5000.0,03.客户服务处理模块相关工作完成
2,,高级程序员1名,5000.0,04.财务理模块相关工作完成
2,,高级程序员1名,5000.0,05.工单、回单相关工作完成
3,,高级程序员1名,4500.0,01.材料管理模块相关工作完成
3,,高级程序员1名,4500.0,02.水表管理模块相关工作完成
6,,初级程序员1名,2500.0,01.公共信息管理模块相关工作完成
6,,初级程序员1名,2500.0,02.个人信息模块相关工作完成
6,,初级程序员1名,2500.0,03.邮件管理相关工作完成
6,,初级程序员1名,2500.0,04.公共论坛相关工作完成
7,,测试工程师1名,2000.0,01.协助处理文档整理工作
7,,测试工程师1名,2000.0,02.协助验收审核各模块详细设计文档
7,,测试工程师1名,2000.0,03.协助项目经理协调项目待解决问题
,,,,
出差补贴、交通补贴、公司日常补贴等,出差补贴、交通补贴、公司日常补贴等,,,
8,7个人在职员工出差补贴,,7700.0,7个人 * 每月22天 * 50元/天 = 7700元
9,7个人出差交通费报销,,560.0,7个人 * 每月4次周末来回 * 20元/次 = 560元
10,7个人的伙食补贴,,1260.0,7个人 * 180元/月 = 1260元
11,7个人的通讯补贴,,700.0,7个人 * 100元/月 = 700元
,,,,
外协人员,,,,
12,空缺,UI美工1名,2000.0,01.设计整体网页框架
12,空缺,UI美工1名,2000.0,02.制定页面样式标准
12,空缺,UI美工1名,2000.0,03.制作标准样例模板
12,空缺,UI美工1名,2000.0,04.整体美化各模块
12,空缺,UI美工1名,2000.0,05.协助进行测试工作
13,空缺,编码实习生5名,4000.0,01.按详细设计进行编码
13,空缺,编码实习生5名,4000.0,02.论证详细设计
13,空缺,编码实习生5名,4000.0,03.按详细设计进行模块测试
13,空缺,编码实习生5名,4000.0,04.进行整体测试
13,空缺,编码实习生5名,4000.0,05.修正程序中的BUG
,,,,
其他开支,,,,
14,房租,,3000.0,1.能有三室1厅，干净一些，设备齐全一些
14,房租,,3000.0,2.大家都能住在一起成本节约一些
14,房租,,3000.0,3.提前要计算好地税开发票的成本
15,水电费,,500.0,1.夏天热了电费会比较多
15,水电费,,500.0,2.人多了，夏天水费也会很多
,,,,
,,每月开支（元）,51720.0,
,,6个月开支小计（元）,310320.0,
后期维护,,,,
16,上线后期半年的维护,,20000.0,
,,,,
项目外开支,项目外开支,,,
17,项目启动会招待费,,2500.0,
18,采购一台笔记本电脑,,0.0,公司固定资产、当文件服务器、开发环境建设、开发测试数据库
19,项目招待费,,5000.0,跟客户拉好关系、也别太小气
20,部门技术培训费,,0.0,技术培训、技术认证培训、项目管理培训
21,采购相关技术资料,,1000.0,购买一些技术书籍等
22,购买成熟的模块源码,,0.0,保证项目的按时交付，节省开发时间
,,,,
,,额外开支小计（元）,6000.0,
,,项目总成本合计（元）,430260.0,
