各主要设备厂家餐厨垃圾车信息汇总表,Unnamed: 1,青海洁神,青海洁神.1,青海洁神.2,青海洁神.3,青海洁神.4,青海洁神.5,中联重科,中联重科.1,中联重科.2,中联重科.3,烟台海德,烟台海德.1,烟台海德.2,烟台海德.3,烟台海德.4,福建龙马,福建龙马.1,福建龙马.2,福建龙马.3,其他（玉柴/徐工/东正）,其他（玉柴/徐工/东正）.1,其他（玉柴/徐工/东正）.2
,,QJS5160TCA,,QJS5101TCA,    QJS5101TCA,QJS5100TCA,,ZLJ5100TCAE3,ZLJ5100TCAE4,ZLJ5160TCAE3,ZLJ5160TCAE4,CHD5100ZZZ,CHD5123ZZZ,CHD5125ZZZ,CHD5162ZZZ,CHD5163ZZZ,FLM5160ZZZ,FLM5161ZZZ,FLM5100ZZZ,FLM5100ZZZE4,NZ5100TCA,XZJ5080TCAA49,SZD5120TCAD
底盘型号,底盘型号,DFL1160BXB,DFL1160BXB,QL11009KARY,QL11009KARY,QL1100TKARY,  QL1100TKARY,QL1100TKARY,QL11009KARY,DFL1160BX2,DFL1160BX4,QL1100TKARY,DFL1120B1,DFL1120B3,DFL1160BX1,DFL1120B3,DFL1160BX2,DFL1160BX4,QL1100TKARY,QL11009KARY,QL1100TKARY,BJ1089VEJEA-FC,DFL1120B1
前轮距,前轮距,1880,1880,1680,1680,1680,1680,1680,1680,1880,1880,1680,1880,1880,1880,1880,1880,1880,1680,1680,1680,1730（1530）（1685）,1880
后轮距,后轮距,1800（1860）,1800（1860）,1650,1650,1650,1650,1650,1650,1800（1860）,1860（1800）,1650,1800（1860）,1800,1800（1860）,1800,1800（1860）,1860（1800）,1650,1650,1650,1590（1525）（1615）,1800（1860）
底盘长,底盘长,7090（6400）,7090（6400）,6980,6980,6980,6980,6980,6980,77907490,7790（7190)(7490),6980,7090（6400）,6400（7090）,7090（6400）,6400（7090）,7790（7490）,7790（7190）7490,6980,6980,6980,5875,7090（6400）
底盘宽,底盘宽,2370,2370,2170,2170,2170,2170,2170,2170,2370,2370,2170,2370,2370,2370,2370,2370,2370,2170,2170,2170,2030,2370
底盘高,底盘高,2760（2840）,2760（2840）,2330（2410）,    2330（2410）,2350（2410）,   2350（2410）,2350（2410）,2330（2410）,2760（2840）,2760（2840）,2350（2410）,2760,2760（3400）,2760,2760（3400）,2760（2840）,2760（2760)2840,2350（2410）,2330（2410）,2350（2410）,2230,2760
总质量,总质量,16000(Kg),16000(Kg),10000(Kg),10000(Kg),10000(Kg),10000(Kg),10000(Kg),10000(Kg),16000(Kg),16000(Kg),10000(Kg),12490(Kg),12495(Kg),16000(Kg),12495(Kg),16000(Kg),16000(Kg),10000(Kg),10000(Kg),10000,8495(Kg),12490(Kg)
整备质量,整备质量,8100(Kg),     8100(Kg),"5500,5200(Kg)","5500,5200(Kg)",5500(Kg),5500(Kg),"5490,5335(Kg)","5490,5335(Kg)","8655,8500(Kg)","8655,8500(Kg)",5500(Kg),7800(Kg),7800(Kg),8100(Kg),7800(Kg),8100(Kg),8100(Kg),6050(Kg),"6050,6350(Kg)",5450,"5250,5050(Kg)",7395(Kg)
底盘整备质量,底盘整备质量,4450(Kg),4450(Kg),2970(Kg),2970(Kg),2970(Kg),2970(Kg),2970(Kg),2970(Kg),4550(Kg),5150(Kg),2970(Kg),4450(Kg),4450(Kg),4450(Kg),4450(Kg),4550(Kg),5150(Kg),2970(Kg),2970(Kg),2970(Kg),2560(Kg),4450(Kg)
最高车速,最高车速,80（90）,80（90）,110,110,110,110,110,110,8090,8090,110,9011080,10080,90,10080,8090,8090,110,110,110,95,9011080
转向形式,转向形式,方向盘,方向盘,方向盘,方向盘,方向盘,   方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘,方向盘
识别代号,识别代号,LGAX2A（B)12×,LGAX2A（B)12×,LWLDAR9G×,LWLDAR9G×,LWLDARTG×,LWLDARTG×,LWLDARTG×,LWLDAR9G×,LGAX2A（B)13×,LGAX2A（B)13×,LWLDARTG×,LGAX2A（B)12×,LGAX2A12×,LGAX2A（B)12×,LGAX2A12×,LGAX2A（B)13×,LGAX2A（B)13×,LWLDARTG×,LWLDAR9G×,LWLDARTG×,LVBV4JBB×,LGAX2A（B)12×
发动机排量,发动机排量,6700,6700,5193,5193,5193,5193,5193,5193,6700,6700,5193,6700,4500,6700,4500,6700,6700,5193,5193,5193,3760,5900
发动机厂商,发动机厂商,东风康明斯,东风康明斯,庆铃五十铃,庆铃五十铃,庆铃五十铃,庆铃五十铃,庆铃五十铃,庆铃五十铃,东风康明斯,东风康明斯,庆铃五十铃,东风康明斯,东风康明斯,东风康明斯,东风康明斯,东风康明斯,东风康明斯,庆铃五十铃,庆铃五十铃,庆铃五十铃,福田康明斯,东风康明斯
公告批次,公告批次,238,238,238,238,237,237,236,236,233,232,239,240,240,240,240,219,227,235,240,241,239,238
燃料种类,燃料种类,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
