壳程-壳程-液体——液体介质,管程-管程-液体——液体介质,总传热系数范围-W/(m2·℃)-液体——液体介质,包括在K中的总污垢热阻-(m2·℃)/W-液体——液体介质
稀释沥青,水,57~110,0.0018
乙醇胺（单乙醇胺或二乙醇胺）10%~25%,水或二乙醇胺或单乙醇胺,800~1100,0.00054
软化水,水,1700~2800,0.00018
燃料油,水,85~140,0.0012
燃料油,油,57~85,0.0014
汽油,水,340~570,0.00054
重油,重油,57~230,0.0007
富氢重整油,富氢重整油,510~880,0.00035
煤油或瓦斯油,水,140~280,0.00088
煤油或瓦斯油,油,110~200,0.00088
煤油或喷气发动机燃料,三氯乙烯,230~280,0.00026
夹套水,水,1300~1700,0.00035
润滑油(低粘度),水,140~280,0.00035
润滑油(高粘度),水,230~460,0.00054
润滑油,油,60~110,0.0011
石脑油,水,280~400,0.00088
石脑油,油,140~200,0.00088
有机溶剂,水,280~850,0.00054
有机溶剂,盐水,200~510,0.00054
有机溶剂,有机溶剂,110~340,0.00035
"妥尔油衍生物,植物油",水,110~280,0.0007
水,烧碱溶液10%~30%,570~1450,0.00054
水,水,1100~1420,0.00054
蜡馏出液,水,85~140,0.00088
蜡馏出液,油,74~130,0.00088
冷凝蒸汽——液体介质,冷凝蒸汽——液体介质,冷凝蒸汽——液体介质,冷凝蒸汽——液体介质
酒精蒸汽,水,570~1100,0.00035
沥清(232℃),导热姆蒸汽,230~340,0.0011
导热姆蒸汽,妥尔油及其衍生物,340~460,0.0007
导热姆蒸汽,导热姆液,460~680,0.00026
煤气厂焦油,水蒸汽,230~280,0.00097
高沸点烃类(真空),水,110~280,0.00054
低沸点烃类(大气压),水,460~1100,0.00054
烃类蒸汽(分凝器),油,140~230,0.0007
冷凝蒸汽——液体介质,冷凝蒸汽——液体介质,冷凝蒸汽——液体介质,冷凝蒸汽——液体介质
有机蒸汽,水,570~1100,0.00054
不凝性气体含量高的有机蒸汽(大气压),水或盐水,110~340,0.00054
不凝性气体含量低的有机蒸汽(真空),水或盐水,280~680,0.00054
煤油,水,170~340,0.0007
煤油,油,110~170,0.00088
石脑油,水,280~430,0.00088
石脑油,油,110~170,0.00088
稳压器的回流蒸汽,水,460~680,0.00054
水蒸汽,饮用水,2300~5700,0.00088
水蒸汽,6#燃料油,85~140,0.00097
水蒸汽,2#燃料油,340~510,0.00044
二氧化硫,水,850~1100,0.00054
"妥尔油衍生物,植物油(蒸汽)",,110~280,0.0007
水,芳香族蒸汽共沸物,230~460,0.00088
气体——液体介质,气体——液体介质,气体——液体介质,气体——液体介质
"空气,N2等(压缩)",水或压缩,230~460,0.00088
"空气,N2等(大气压)",水或压缩,57~280,0.00088
水或压缩,"空气,N2等(压缩)",110~230,0.00088
水或压缩,"空气,N2等(大气压)",30~110,0.00088
水,含天然气混合物的氢气,460~710,0.00054
汽化器,汽化器,汽化器,汽化器
无水氧,水蒸汽冷凝,850~1700,0.00026
氯气,水蒸汽冷凝,850~1700,0.00026
氯气,传热用轻油,230~340,0.00026
"丙烷,丁烷等",水蒸汽冷凝,1100~1700,0.00026
水,水蒸汽冷凝,1420~2300,0.00026
