流体名称,流速（m/s),流体名称.1,流速（m/s).1
饱和蒸汽（主管）,30~40,"水及粘度相似液体(0.10~0.29,glass)",0.5~2.0
饱和蒸汽（支管）,20~30,"水及粘度相似液体(≤0.98MPa,glass)",0.5~3.0
"低压蒸汽（<0.98MPa,abs)",15~20,"水及粘度相似液体(≤7.84MPa,glass)",2.0~3.0
"中压蒸汽（0.98~3.92MPa,abs)",20~40,"水及粘度相似液体(19.6~29.4MPa,glass)",2.0~3.5
"高压蒸汽（3.92~11.77MPa,abs)",40~60,"热网循环水,冷却水",0.5~1.0
过热蒸汽(主管),40~60,压力回水,0.5~2.0
过热蒸汽(支管),35~60,无压回水,0.5~1.2
一般气体(常压),10~20,"锅炉给水(≥0.78MPa,glass)",>3.0
高压乏气,80~100,蒸汽冷凝水,0.5~1.5
"氧气(0~0.05MPa,glass)",5~10,冷凝水(自流),0.2~0.5
"氧气(0.05~0.59MPa,glass)",7~8,过热水,2
"氧气(0.59~098MPa,glass)",4~6,"海水,微碱水(<0.59MPa,glass)",1.5~2.5
"氧气(0.98~1.96MPa,glass)",4~5,油及粘度大的液体,0.5~2.0
"氧气(1.96~2.94MPa,glass)",3~4,粘度50mPa·s液体(管道Φ25以下),0.5~0.9
"氮气(4.9~9.8MPa,abs)",2~5,粘度50mPa·s液体(管道Φ25~50),0.7~1.0
氢气,≤8.0,粘度50mPa·s液体(管道Φ50~100),1.0~1.6
"压缩空气(0.10~0.20MPa,glass)",10~15,粘度100mPa·s液体(管道Φ25以下),0.3~0.6
压缩气体(真空),5~10,粘度100mPa·s液体(管道Φ25~50),0.5~0.7
"压缩气体(0.1~0.2MPa,glass)",8~12,粘度100mPa·s液体(管道Φ50~100),0.7~1.0
"压缩气体(0.1~0.59MPa,glass)",10~20,粘度1000mPa·s液体(管道Φ25以下),0.1~0.2
"压缩气体(0.59~0.98MPa,glass)",10~15,粘度1000mPa·s液体(管道Φ25~50),0.16~0.25
"压缩气体(0.98~1.96MPa,glass)",8~10,粘度1000mPa·s液体(管道Φ50~100),0.25~0.35
"压缩气体(1.96~2.94MPa,glass)",3~6,粘度1000mPa·s液体(管道Φ100~200),0.35~0.55
"压缩气体(2.94~24.5MPa,glass)",0.5~3.0,离心泵(吸入口),1.0~2.0
煤气,8~10,离心泵(排出口),1.5~2.5
半水煤气(0.10~0.15MPa),10~15,往复式真空泵(吸入口),13~16
烟道气(烟道内),3.0~6.0,油封式真空泵(吸入口),10~13
烟道气(管道内),3.0~4.0,空气压缩机(吸入口),<10~15
工业烟囱(自然通风),2.0~8.0,空气压缩机(排出口),15~20
车间通风换气(主管),4.5~15,通风机(吸入口),10~15
车间通风换气(支管),2.0~8.0,通风机(排出口),15~20
风管距风机(最远处),1.0~4.0,齿轮泵(吸入口),<1.0
风管距风机(最近处),8~12,齿轮泵(排出口),1.0~2.0
废气(低压),20~30,往复泵(水类液体)吸入口,0.7~1.0
废气(高压),80~100,往复泵(水类液体)排出口,1.0~2.0
化工设备排气管,20~25,旋风分离器(入气),15~25
"自来水(主管,0.29MPa,glass)",1.5~3.5,旋风分离器(出气),4.0~15
"自来水(支管,0.29MPa,glass)",1.0~1.5,"工业供水(0.78MPa,glass)",1.5~3.5
易燃易爆液体,<1,,
