一些搅拌锅夹套传热系数(实测值)-过程,一些搅拌锅夹套传热系数(实测值)-材料,一些搅拌锅夹套传热系数(实测值)-物料,一些搅拌锅夹套传热系数(实测值)-载热体,一些搅拌锅夹套传热系数(实测值)-K(W/m2K)
冷却精制,钢,"粗硝基甲酸,5%NaOH",冷却水,326
冷却结晶,钢,"硝基甲酸,钾盐,水",冷却水,164
冷却还原,钢,"盐酸,销基卡因,铁粉,水",冷却水,151
冷却缩合,钢,"二溴乙烷,双腈",冷却水,163
冷却反应,搪玻璃,"对硝基甲苯,硫酸,水",冷却水,187
冷却盐析,搪玻璃,普鲁卡因NaCl,冷却水,135
冷却盐析,搪玻璃,普鲁卡因NaCl,盐水,171
冷却结晶,搪玻璃,溴化钾溶液,盐水,199
加热反应,搪玻璃,"对硝基甲苯,硫酸,水",水蒸汽冷凝,249
加热溶解,搪玻璃,普鲁卡因粗品,水蒸汽冷凝,240
加热精制,搪玻璃,溴化钾溶液,水蒸汽冷凝,352
沸腾蒸发,搪玻璃,溴化钾溶液,水蒸汽冷凝,170
沸腾蒸发,搪玻璃,溴化钾溶液,水蒸汽冷凝,298
沸腾蒸发,铸铁,二溴乙烷,水蒸汽冷凝,523
沸腾蒸发,钢,二乙胺,水蒸汽冷凝,233
加热精制,钢,"粗硝基甲酸,5%NaOH",水蒸汽冷凝,1454
加热中和,钢,"硝基甲酸,钾盐,水",水蒸汽冷凝,93
加热反应,钢,"二溴乙烷,硝基甲酸",水蒸汽冷凝,442
加热缩合,钢,"二溴乙烷,双脂",水蒸汽冷凝,159
加热还原,钢,"盐酸,销基卡因,铁粉,水",水蒸汽冷凝,1256
